3 0 3 ...ICC..HI..AAHJ.KDDDJ.KFGEE.KFG.... 
2 0 2 ...ICC..HI..AAHJ..DDDJ.KFGEE.KFG...K K99 
1 0 1 ..HICC..HI..AA.J..DDDJ.KFGEE.KFG...K H99 K99 
1 0 1 ..HICC..HI..AA.J..DDDJ.KFG.EEKFG...K E99 H99 K99 
1 0 1 ..HICC..HI...AAJ..DDDJ.KFG.EEKFG...K A99 E99 H99 K99 
1 0 1 ..HICC..HI...AAJ..DDDJ.KFGEE.KFG...K A99 H99 K99 
2 0 2 ..HICC..HI.K.AAJ.KDDDJ.KFGEE..FG.... A99 H99 K97 
2 0 2 ..HICC..HI.K.AAJ.KDDDJ.KFG..EEFG.... A99 E98 H99 K97 
1 0 1 ..HICC..HI.K.AA..KDDD..KFG.JEEFG.J.. A99 E98 H99 J98 K97 
1 0 1 ..HICC..HI.K.AA..K..DDDKFG.JEEFG.J.. A99 D98 E98 H99 J98 K97 
1 0 1 ..HICC..HI.K.AA..K.GDDDKFG.JEEF..J.. A99 D98 E98 G99 H99 J98 K97 
1 0 1 F.HICCF.HI.K.AA..K.GDDDK.G.JEE...J.. A99 D98 E98 F96 G99 H99 J98 K97 
1 0 1 F.HICCF.HI.K...AAK.GDDDK.G.JEE...J.. A97 D98 E98 F96 G99 H99 J98 K97 
1 0 1 F.HICCF.HI.K...AAK..DDDK.G.JEE.G.J.. A97 D98 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K...AAKDDD..K.G.JEE.G.J.. A97 D96 E98 F96 G98 H99 J98 K97 
1 0 1 F.HICCF.HI.K...AAKDDDJ.K.G.JEE.G.... A97 D96 E98 F96 G98 H99 J97 K97 
1 0 1 F.HICCF.HI.KAA...KDDDJ.K.G.JEE.G.... A94 D96 E98 F96 G98 H99 J97 K97 
1 0 1 F.HICCF.HI.K.AA..KDDDJ.K.G.JEE.G.... A95 D96 E98 F96 G98 H99 J97 K97 
1 0 1 ..HICCF.HI.KFAA..KDDDJ.K.G.JEE.G.... A95 D96 E98 F95 G98 H99 J97 K97 
1 0 1 ..HICCF.HI.KFAA..KDDD..K.G.JEE.G.J.. A95 D96 E98 F95 G98 H99 J96 K97 
1 0 1 ..HICCF.HI.KFAA..K.DDD.K.G.JEE.G.J.. A95 D95 E98 F95 G98 H99 J96 K97 
1 0 1 ..HICCF.HI.KF..AAK.DDD.K.G.JEE.G.J.. A93 D95 E98 F95 G98 H99 J96 K97 
1 0 1 ..HICC..HI.K...AAK.DDD.KFG.JEEFG.J.. A93 D95 E98 F92 G98 H99 J96 K97 
1 0 1 ..HICC..HI.KAA...K.DDD.KFG.JEEFG.J.. A90 D95 E98 F92 G98 H99 J96 K97 
1 0 1 ..HICC..HI.KAA...KFDDD.KFG.JEE.G.J.. A90 D95 E98 F91 G98 H99 J96 K97 
1 0 1 ..HICC..HI.KAA...KF.DDDKFG.JEE.G.J.. A90 D94 E98 F91 G98 H99 J96 K97 
