2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG.II... 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG.II... N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG....II I97 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGG..L.II I97 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGG..LII. I96 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGG..LII. E99 I96 L99 N99 
1 0 1 BBK..N..KDDN.AAM...EEMFFJ.LGGGJ.LII. E99 I96 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM...EEMFFJ.LGGGJ.L.II E99 I95 J97 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGG..L.II E99 I95 J95 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGG..L.II E99 I95 J96 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGG..L.II A99 E99 I95 J96 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGG..LII. A99 E99 I94 J96 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EE.MFFJ.LGGGJ.L.II E98 I95 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ...II E98 I95 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJII... E98 I92 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJII... A99 E98 I92 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ..II. A99 E98 I90 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EE.MFFJ.LGGGJ.LII. A99 E98 I90 J97 L97 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ.II.. A99 E98 I91 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ.II.. E98 I93 J97 L98 N99 
1 0 1 BBK..N..KDDN.AAM..EELMFFJ.LGGGJ..II. E98 I94 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EELMFFJ.LGGGJ...II A99 E98 I95 J97 L98 N99 
1 0 1 BBK..N..KDDNAA.M..EE.MFFJ.LGGGJ.L.II A99 E98 I95 J97 L99 N99 
1 0 1 BBK..N..KDDNAA.M...EEMFFJ.LGGGJ.L.II A99 E99 I95 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..EE.MFFJ.LGGGJ.LII. E98 I96 J97 L99 N99 
1 0 1 BBK..N..KDDNAA.M...EEMFFJ.LGGGJ.LII. A99 E99 I96 J97 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGG..LII. E99 I96 J98 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGG..LII. E99 I96 J99 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGG..L.II E99 I97 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG...II. I98 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGG..II.. I99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EELMFF..LGGGII.... I99 N99 
1 0 1 BBK..NJ.KDDNJAAM..EE.MFF..LGGGIIL... I99 L99 N99 
1 0 1 BBK..NJ.KDDNJAAM...EEMFF..LGGGIIL... E99 I99 L99 N99 
1 0 1 BBK..N..KDDN.AAM..JEEMFFJ.LGGGIIL... E99 I99 J98 L99 N99 
1 0 1 BBK..N..KDDNAA.M..JEEMFFJ.LGGGIIL... A99 E99 I99 J98 L99 N99 
1 0 1 BBK..N..KDDNJAAM..JEEMFF..LGGGIIL... E99 I99 J99 L99 N99 
2 0 2 BBK.....KDDNJAAM.NJEEMFF..LGGGIIL... E99 I99 J99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.N.EEMFF..LGGGIIL... E99 I99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGGIIL... I99 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGGII.... I99 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG..II.. I99 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG...II. I98 
2 0 2 BBK...J.KDDNJAAM.NEELMFF..LGGG....II I97 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGG..L.II I97 L99 N98 
2 0 2 BBK...J.KDDNJAAM.NEE.MFF..LGGG..LII. I96 L99 N98 
2 0 2 BBK...J.KDDNJAAM.N.EEMFF..LGGG..LII. E99 I96 L99 N98 
2 0 2 BBK.....KDDN.AAM.N.EEMFFJ.LGGGJ.LII. E99 I96 J97 L99 N98 
2 0 2 BBK.....KDDN.AAM.N.EEMFFJ.LGGGJ.L.II E99 I95 J97 L99 N98 
2 0 2 BBK.....KDDNJAAM.NJEEMFF..LGGG..L.II E99 I95 J95 L99 N98 
2 0 2 BBK.....KDDN.AAM.NJEEMFFJ.LGGG..L.II E99 I95 J96 L99 N98 
2 0 2 BB...N..KDDNAAKM..JEEMFFJ.LGGG..L.II A99 E99 I95 J96 K99 L99 N99 
2 0 2 ...BBN..KDDNAAKM..JEEMFFJ.LGGG..L.II A99 B97 E99 I95 J96 K99 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..JEEMFFJ.LGGG..L.II A99 B97 E99 I95 J96 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..JEEMFFJ.LGGG..LII. A99 B97 E99 I94 J96 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M...EEMFFJ.LGGGJ.LII. A99 B97 E99 I94 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..EE.MFFJ.LGGGJ.LII. A99 B97 E98 I94 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..EE.MFFJ.LGGGJ.L.II A99 B97 E98 I93 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDNAA.M..EELMFFJ.LGGGJ...II A99 B97 E98 I93 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDNAA.M..EELMFFJ.LGGGJII... A99 B97 E98 I90 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EELMFFJ.LGGGJII... A98 B97 E98 I90 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EELMFFJ.LGGGJ..II. A98 B97 E98 I88 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EELMFFJ.LGGGJ.II.. A98 B97 E98 I89 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDNAA.M..EELMFFJ.LGGGJ.II.. A99 B97 E98 I91 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EELMFFJ.LGGGJ...II A98 B97 E98 I93 J95 K98 L98 N99 
1 0 1 ..KBBN..KDDN.AAM..EE.MFFJ.LGGGJ.L.II A98 B97 E98 I93 J95 K98 L99 N99 
1 0 1 ..KBBN..KDDN.AAM...EEMFFJ.LGGGJ.L.II A98 B97 E97 I93 J95 K98 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM...EEMFF..LGGG..L.II A98 B97 E97 I93 J91 K98 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM...EEMFF..LGGG..LII. A98 B97 E97 I92 J91 K98 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EE.MFF..LGGG..LII. A98 B97 E96 I92 J91 K98 L99 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EELMFF..LGGG...II. A98 B97 E96 I92 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EELMFF..LGGG....II A98 B97 E96 I91 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EELMFF..LGGG....II A97 B97 E96 I91 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EELMFF..LGGGII.... A97 B97 E96 I87 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EE.MFF..LGGGIIL... A97 B97 E96 I87 J91 K98 L97 N99 
1 0 1 J.KBBNJ.KDDNAA.M...EEMFF..LGGGIIL... A97 B97 E95 I87 J91 K98 L97 N99 
1 0 1 J.KBBNJ.KDDN.AAM...EEMFF..LGGGIIL... A96 B97 E95 I87 J91 K98 L97 N99 
1 0 1 ..KBBN..KDDN.AAM..JEEMFFJ.LGGGIIL... A96 B97 E95 I87 J88 K98 L97 N99 
1 0 1 ..KBBN..KDDNAA.M..JEEMFFJ.LGGGIIL... A95 B97 E95 I87 J88 K98 L97 N99 
1 0 1 ..KBBN..KDDNJAAM..JEEMFF..LGGGIIL... A96 B97 E95 I87 J89 K98 L97 N99 
1 0 1 ..KBBNJ.KDDNJAAM...EEMFF..LGGGIIL... A96 B97 E95 I87 J90 K98 L97 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EE.MFF..LGGGIIL... A96 B97 E94 I87 J90 K98 L97 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EELMFF..LGGGII.... A96 B97 E94 I87 J90 K98 L96 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EELMFF..LGGG..II.. A96 B97 E94 I85 J90 K98 L96 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EELMFF..LGGG.II... A96 B97 E94 I86 J90 K98 L96 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EE.MFF..LGGGIIL... A96 B97 E96 I87 J91 K98 L97 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EELMFF..LGGG.II... A97 B97 E96 I88 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EELMFF..LGGG..II.. A97 B97 E96 I89 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDNAA.M..EE.MFF..LGGG..L.II A97 B97 E96 I91 J91 K98 L97 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EELMFF..LGGG....II A98 B97 E96 I91 J90 K98 L98 N99 
1 0 1 ..KBBNJ.KDDNJAAM..EE.MFF..LGGG..L.II A98 B97 E96 I91 J90 K98 L97 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EELMFF..LGGGII.... A98 B97 E96 I89 J91 K98 L98 N99 
1 0 1 J.KBBNJ.KDDN.AAM..EELMFF..LGGG.II... A98 B97 E96 I90 J91 K98 L98 N99 
