1 0 1 .BBBCCDDK..MJ.KAAMJEEE.MJFFLGG.IIL.. 
1 0 1 .BBBCCDDK..MJ.KAAMJEEE.MJFFLGGII.L.. I99 
1 0 1 .BBBCCDDK..MJ.KAAMJ.EEEMJFFLGGII.L.. E99 I99 
1 0 1 BBB.CCDDK..MJ.KAAMJ.EEEMJFFLGGII.L.. B99 E99 I99 
1 0 1 BBB.CCDDK..MJ.KAAMJ.EEEMJFFLGG.IIL.. B99 E99 I98 
1 0 1 BBB.CCDDK..M..KAAMJ.EEEMJFFLGGJIIL.. B99 E99 I98 J99 
1 0 1 BBB.CCDDK..M..KAAMJEEE.MJFFLGGJIIL.. B99 E98 I98 J99 
1 0 1 BBBCC.DDK..M..KAAMJEEE.MJFFLGGJIIL.. B99 C99 E98 I98 J99 
1 0 1 BBBCC.DDK..MJ.KAAMJEEE.MJFFLGG.IIL.. B99 C99 E98 I98 J98 
1 0 1 BBBCC.DDK..MJ.KAAMJEEE.MJFFLGGII.L.. B99 C99 E98 I97 J98 
1 0 1 BBBCCMDDK..MJ.KAAMJEEE..JFFLGGII.L.. B99 C99 E98 I97 J98 M99 
1 0 1 BBBCCMDDK..MJ.KAAMJ..EEEJFFLGGII.L.. B99 C99 E96 I97 J98 M99 
1 0 1 BBBCCMDDK..MJ.KAAMJ..EEEJFFLGG.IIL.. B99 C99 E96 I96 J98 M99 
1 0 1 BBBCCMDDK..M..KAAMJ..EEEJFFLGGJIIL.. B99 C99 E96 I96 J97 M99 
1 0 1 BBBCCMDDK..M..KAAMJ.EEE.JFFLGGJIIL.. B99 C99 E95 I96 J97 M99 
1 0 1 BBBCCMDD...M..KAAMJ.KEEEJFFLGGJIIL.. B99 C99 E96 I96 J97 K99 M99 
1 0 1 BBBCCM...DDM..KAAMJ.KEEEJFFLGGJIIL.. B99 C99 D97 E96 I96 J97 K99 M99 
1 0 1 BBBCCMJ..DDMJ.KAAMJ.KEEE.FFLGG.IIL.. B99 C99 D97 E96 I96 J95 K99 M99 
1 0 1 BBBCCMJ..DDMJ.KAAMJ.KEEE.FFLGGII.L.. B99 C99 D97 E96 I95 J95 K99 M99 
1 0 1 BBBCCMJ..DDMJ.KAAMJ.KEEEFF.LGGII.L.. B99 C99 D97 E96 F99 I95 J95 K99 M99 
1 0 1 BBBCCMJ..DDMJ..AAMJ..EEEFFKLGGIIKL.. B99 C99 D97 E96 F99 I95 J95 K97 M99 
1 0 1 BBBCCMJ..DDMJ..AAMJEEE..FFKLGGIIKL.. B99 C99 D97 E94 F99 I95 J95 K97 M99 
1 0 1 BBBCC.J..DDMJ..AAMJEEE.MFFKLGGIIKL.. B99 C99 D97 E94 F99 I95 J95 K97 M98 
1 0 1 BBBCC.J..DDMJ..AAMJ.EEEMFFKLGGIIKL.. B99 C99 D97 E93 F99 I95 J95 K97 M98 
1 0 1 BBBCC.J..DDMJAA..MJ.EEEMFFKLGGIIKL.. A98 B99 C99 D97 E93 F99 I95 J95 K97 M98 
1 0 1 BBBCCMJ..DDMJAA..MJ.EEE.FFKLGGIIKL.. A98 B99 C99 D97 E93 F99 I95 J95 K97 M97 
1 0 1 BBBCCMJ..DDMJ.AA.MJ.EEE.FFKLGGIIKL.. A97 B99 C99 D97 E93 F99 I95 J95 K97 M97 
1 0 1 BBBCCMJDD..MJ.AA.MJ.EEE.FFKLGGIIKL.. A97 B99 C99 D95 E93 F99 I95 J95 K97 M97 
1 0 1 BBBCCMJDD..MJ.AA.MJ..EEEFFKLGGIIKL.. A97 B99 C99 D95 E92 F99 I95 J95 K97 M97 
1 0 1 BBBCCMJDD..MJ.AA.MJ.KEEEFFKLGGII.L.. A97 B99 C99 D95 E92 F99 I95 J95 K96 M97 
1 0 1 BBBCCMJDD..MJ.AA.MJ.KEEEFFKLGG.IIL.. A97 B99 C99 D95 E92 F99 I94 J95 K96 M97 
1 0 1 BBBCCMJDD..MJ..AAMJ.KEEEFFKLGG.IIL.. A96 B99 C99 D95 E92 F99 I94 J95 K96 M97 
1 0 1 BBBCCMJDD..MJ.KAAMJ.KEEEFF.LGG.IIL.. A96 B99 C99 D95 E92 F99 I94 J95 K95 M97 
1 0 1 BBBCCMJ.DD.MJ.KAAMJ.KEEEFF.LGG.IIL.. A96 B99 C99 D94 E92 F99 I94 J95 K95 M97 
1 0 1 BBBCCMJ..DDMJ..AAMJ.KEEEFFKLGG.IIL.. A96 B99 C99 D93 E92 F99 I94 J95 K96 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ..EEEFF.LGG.IIL.. A96 B99 C99 D93 E92 F99 I94 J95 K94 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJEEE..FF.LGG.IIL.. A96 B99 C99 D93 E90 F99 I94 J95 K94 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJEEE..FF.LGGII.L.. A96 B99 C99 D93 E90 F99 I93 J95 K94 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJEEE...FFLGGII.L.. A96 B99 C99 D93 E90 F98 I93 J95 K94 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ.EEE..FFLGGII.L.. A96 B99 C99 D93 E89 F98 I93 J95 K94 M97 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ.EEE..FFLGG.IIL.. A96 B99 C99 D93 E89 F98 I92 J95 K94 M97 
1 0 1 BBBCCM..KDDM..KAAMJ.EEE.JFFLGGJIIL.. A96 B99 C99 D93 E89 F98 I92 J93 K94 M97 
1 0 1 BBBCCM..KDDM..KAAMJEEE..JFFLGGJIIL.. A96 B99 C99 D93 E88 F98 I92 J93 K94 M97 
1 0 1 BBBCCM..KDDMJ.KAAMJEEE..JFFLGG.IIL.. A96 B99 C99 D93 E88 F98 I92 J92 K94 M97 
1 0 1 BBBCCM..KDDMJ.KAAMJ..EEEJFFLGG.IIL.. A96 B99 C99 D93 E86 F98 I92 J92 K94 M97 
1 0 1 BBBCCM..KDDMJ.KAAMJ..EEEJFFLGGII.L.. A96 B99 C99 D93 E86 F98 I91 J92 K94 M97 
1 0 1 BBBCC...KDDMJ.KAAMJEEE.MJFFLGG.IIL.. A96 B99 C99 D93 E88 F98 I92 J92 K94 M96 
1 0 1 BBBCC...KDDMJ.KAAMJEEE.MJFFLGGII.L.. A96 B99 C99 D93 E88 F98 I91 J92 K94 M96 
1 0 1 BBBCC...KDDMJ.KAAMJ.EEEMJFFLGGII.L.. A96 B99 C99 D93 E87 F98 I91 J92 K94 M96 
1 0 1 BBB.CC..KDDMJ.KAAMJ.EEEMJFFLGGII.L.. A96 B99 C98 D93 E87 F98 I91 J92 K94 M96 
1 0 1 BBB.CC..KDDMJ.KAAMJ.EEEMJFFLGG.IIL.. A96 B99 C98 D93 E87 F98 I90 J92 K94 M96 
1 0 1 BBB.CC..KDDM..KAAMJ.EEEMJFFLGGJIIL.. A96 B99 C98 D93 E87 F98 I90 J91 K94 M96 
1 0 1 BBB.CC..KDDM..KAAMJEEE.MJFFLGGJIIL.. A96 B99 C98 D93 E86 F98 I90 J91 K94 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJEEE.M.FFLGG.IIL.. A96 B99 C98 D93 E86 F98 I90 J89 K94 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJEEE.M.FFLGGII.L.. A96 B99 C98 D93 E86 F98 I89 J89 K94 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJEEE.MFF.LGGII.L.. A96 B99 C98 D93 E86 F97 I89 J89 K94 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGGII.L.. A96 B99 C98 D93 E85 F97 I89 J89 K94 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGG.IIL.. A96 B99 C98 D93 E85 F97 I88 J89 K94 M96 
1 0 1 BBBCC.J.KDDMJ.KAAMJ.EEEMFF.LGG.IIL.. A96 B99 C97 D93 E85 F97 I88 J89 K94 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJ.EEEMFF.LGG.IIL.. A96 B98 C98 D93 E85 F97 I88 J89 K94 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJ.EEEM.FFLGG.IIL.. A96 B98 C98 D93 E85 F96 I88 J89 K94 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJ.EEEM.FFLGGII.L.. A96 B98 C98 D93 E85 F96 I87 J89 K94 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAM..EEEM.FFLGGII.L.. A96 B98 C98 D93 E85 F96 I87 J88 K94 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAM..EEEMFF.LGGII.L.. A96 B98 C98 D93 E85 F95 I87 J88 K94 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGGII.L.. A96 B98 C98 D93 E83 F95 I87 J88 K94 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGG.IIL.. A96 B98 C98 D93 E83 F95 I86 J88 K94 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEEL.MFF.LGG.II... A96 B98 C98 D93 E83 F95 I86 J88 K94 L99 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEEL.MFF.LGG....II A96 B98 C98 D93 E83 F95 I83 J88 K94 L99 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEE..MFF.LGG...LII A96 B98 C98 D93 E83 F95 I83 J88 K94 L98 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAMEEE..M.FFLGG...LII A96 B98 C98 D93 E83 F94 I83 J88 K94 L98 M96 
1 0 1 JBBBCCJ.KDDMJ.KAAM..EEEM.FFLGG...LII A96 B98 C98 D93 E81 F94 I83 J88 K94 L98 M96 
1 0 1 .BBBCC..KDDM..KAAMJ.EEEMJFFLGGJ..LII A96 B98 C98 D93 E81 F94 I83 J85 K94 L98 M96 
1 0 1 .BBBCC..KDDM..KAAMJEEE.MJFFLGGJ..LII A96 B98 C98 D93 E80 F94 I83 J85 K94 L98 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJEEE.M.FFLGG...LII A96 B98 C98 D93 E80 F94 I83 J83 K94 L98 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJEEE.MFF.LGG...LII A96 B98 C98 D93 E80 F93 I83 J83 K94 L98 M96 
1 0 1 .BBBCCJ.KDDMJ.KAAMJ.EEEMFF.LGG...LII A96 B98 C98 D93 E79 F93 I83 J83 K94 L98 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJ.EEEMFF.LGG...LII A96 B97 C98 D93 E79 F93 I83 J83 K94 L98 M96 
1 0 1 BBB.CCJ.KDDMJ.KAAMJ.EEEM.FFLGG...LII A96 B97 C98 D93 E79 F92 I83 J83 K94 L98 M96 
1 0 1 BBB.CC..KDDMJ.KAAMJ.EEEMJFFLGG...LII A96 B97 C98 D93 E79 F92 I83 J82 K94 L98 M96 
1 0 1 BBB.CC..KDDMJ.KAAMJEEE.MJFFLGG...LII A96 B97 C98 D93 E78 F92 I83 J82 K94 L98 M96 
1 0 1 BBBCC...KDDMJ.KAAMJEEE.MJFFLGG...LII A96 B97 C97 D93 E78 F92 I83 J82 K94 L98 M96 
1 0 1 BBBCC...KDDM..KAAMJEEE.MJFFLGGJ..LII A96 B97 C97 D93 E78 F92 I83 J81 K94 L98 M96 
1 0 1 BBBCC...KDDM..KAAMJ.EEEMJFFLGGJ..LII A96 B97 C97 D93 E77 F92 I83 J81 K94 L98 M96 
1 0 1 BBBCCM..KDDM..KAAMJ.EEE.JFFLGGJ..LII A96 B97 C97 D93 E77 F92 I83 J81 K94 L98 M95 
1 0 1 BBBCCM..KDDM..KAAMJ..EEEJFFLGGJ..LII A96 B97 C97 D93 E76 F92 I83 J81 K94 L98 M95 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ..EEE.FFLGG...LII A96 B97 C97 D93 E76 F92 I83 J79 K94 L98 M95 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ..EEEFF.LGG...LII A96 B97 C97 D93 E76 F91 I83 J79 K94 L98 M95 
1 0 1 BBBCCMJ.KDDMJ.KAAMJEEE..FF.LGG...LII A96 B97 C97 D93 E74 F91 I83 J79 K94 L98 M95 
1 0 1 BBBCC.J.KDDMJ.KAAMJEEE.MFF.LGG...LII A96 B97 C97 D93 E74 F91 I83 J79 K94 L98 M94 
1 0 1 BBBCCMJ.KDDMJ.KAAMJ.EEE.FF.LGG...LII A96 B97 C97 D93 E75 F91 I83 J79 K94 L98 M95 
1 0 1 BBBCCMJ..DDMJ..AAMJ..EEEFFKLGG..KLII A96 B97 C97 D93 E76 F91 I83 J79 K91 L98 M95 
1 0 1 BBBCCMJ..DDMJ..AAMJEEE..FFKLGG..KLII A96 B97 C97 D93 E74 F91 I83 J79 K91 L98 M95 
1 0 1 BBBCC.J..DDMJ..AAMJEEE.MFFKLGG..KLII A96 B97 C97 D93 E74 F91 I83 J79 K91 L98 M94 
1 0 1 BBBCC.J..DDMJ..AAMJ.EEEMFFKLGG..KLII A96 B97 C97 D93 E73 F91 I83 J79 K91 L98 M94 
1 0 1 BBBCC.J..DDMJAA..MJ.EEEMFFKLGG..KLII A94 B97 C97 D93 E73 F91 I83 J79 K91 L98 M94 
1 0 1 BBBCCMJ..DDMJAA..MJ.EEE.FFKLGG..KLII A94 B97 C97 D93 E73 F91 I83 J79 K91 L98 M93 
1 0 1 BBBCCMJ..DDMJ.AA.MJ.EEE.FFKLGG..KLII A93 B97 C97 D93 E73 F91 I83 J79 K91 L98 M93 
1 0 1 BBBCCMJDD..MJ.AA.MJ.EEE.FFKLGG..KLII A93 B97 C97 D91 E73 F91 I83 J79 K91 L98 M93 
1 0 1 BBBCCMJDD..MJ.AA.MJ..EEEFFKLGG..KLII A93 B97 C97 D91 E72 F91 I83 J79 K91 L98 M93 
1 0 1 BBBCCMJDD..MJ.AA.MJ.KEEEFFKLGG...LII A93 B97 C97 D91 E72 F91 I83 J79 K90 L98 M93 
1 0 1 BBBCCMJDD..MJ..AAMJ.KEEEFFKLGG...LII A92 B97 C97 D91 E72 F91 I83 J79 K90 L98 M93 
1 0 1 BBBCCMJDD..MJ.KAAMJ.KEEEFF.LGG...LII A92 B97 C97 D91 E72 F91 I83 J79 K89 L98 M93 
1 0 1 BBBCCMJDD..MJ.KAAMJ.KEEE.FFLGG...LII A92 B97 C97 D91 E72 F90 I83 J79 K89 L98 M93 
1 0 1 BBBCCM.DD..M..KAAMJ.KEEEJFFLGGJ..LII A92 B97 C97 D91 E72 F90 I83 J77 K89 L98 M93 
1 0 1 BBBCCM..DD.M..KAAMJ.KEEEJFFLGGJ..LII A92 B97 C97 D90 E72 F90 I83 J77 K89 L98 M93 
1 0 1 BBBCCM..DD.MJ.KAAMJ.KEEEJFFLGG...LII A92 B97 C97 D90 E72 F90 I83 J76 K89 L98 M93 
1 0 1 BBBCCM...DDMJ.KAAMJ.KEEEJFFLGG...LII A92 B97 C97 D89 E72 F90 I83 J76 K89 L98 M93 
1 0 1 BBBCCMDD...MJ.KAAMJ.KEEEJFFLGG...LII A92 B97 C97 D88 E72 F90 I83 J76 K89 L98 M93 
1 0 1 BBBCCMDDK..MJ.KAAMJ..EEEJFFLGG...LII A92 B97 C97 D88 E72 F90 I83 J76 K88 L98 M93 
1 0 1 BBBCCMDDK..M..KAAMJ..EEEJFFLGGJ..LII A92 B97 C97 D88 E72 F90 I83 J75 K88 L98 M93 
1 0 1 BBBCCMDDK..M..KAAMJEEE..JFFLGGJ..LII A92 B97 C97 D88 E70 F90 I83 J75 K88 L98 M93 
1 0 1 BBBCC.DDK..M..KAAMJEEE.MJFFLGGJ..LII A92 B97 C97 D88 E70 F90 I83 J75 K88 L98 M92 
1 0 1 BBBCC.DDK..M..KAAMJ.EEEMJFFLGGJ..LII A92 B97 C97 D88 E69 F90 I83 J75 K88 L98 M92 
1 0 1 BBBCC.DDK..MJ.KAAMJ.EEEMJFFLGG...LII A92 B97 C97 D88 E69 F90 I83 J74 K88 L98 M92 
1 0 1 BBB.CCDDK..MJ.KAAMJ.EEEMJFFLGG...LII A92 B97 C96 D88 E69 F90 I83 J74 K88 L98 M92 
1 0 1 BBB.CCDDK..MJ.KAAMJEEE.MJFFLGG...LII A92 B97 C96 D88 E68 F90 I83 J74 K88 L98 M92 
1 0 1 .BBBCCDDK..MJ.KAAMJEEE.MJFFLGG...LII A92 B96 C96 D88 E68 F90 I83 J74 K88 L98 M92 
1 0 1 .BBBCCDDK..M..KAAMJEEE.MJFFLGGJ..LII A92 B96 C96 D88 E68 F90 I83 J73 K88 L98 M92 
1 0 1 .BBBCCDDK..M..KAAMJ.EEEMJFFLGGJ..LII A92 B96 C96 D88 E67 F90 I83 J73 K88 L98 M92 
1 0 1 .BBBCCDDK..MJ.KAAMJ.EEEMJFFLGG...LII A92 B96 C96 D88 E69 F90 I83 J74 K88 L98 M92 
1 0 1 BBB.CCDDK..M..KAAMJ.EEEMJFFLGGJ..LII A92 B97 C96 D88 E69 F90 I83 J75 K88 L98 M92 
1 0 1 BBBCC.DDK..MJ.KAAMJEEE.MJFFLGG...LII A92 B97 C97 D88 E70 F90 I83 J74 K88 L98 M92 
1 0 1 BBB.CCDDK..M..KAAMJEEE.MJFFLGGJ..LII A92 B97 C96 D88 E70 F90 I83 J75 K88 L98 M92 
1 0 1 BBBCCMDDK..M..KAAMJ.EEE.JFFLGGJ..LII A92 B97 C97 D88 E71 F90 I83 J75 K88 L98 M93 
1 0 1 BBBCCMDDK..MJ.KAAMJEEE..JFFLGG...LII A92 B97 C97 D88 E70 F90 I83 J76 K88 L98 M93 
1 0 1 BBBCCMDDK..MJ.KAAMJ.EEE.JFFLGG...LII A92 B97 C97 D88 E71 F90 I83 J76 K88 L98 M93 
1 0 1 BBBCCMDD...M..KAAMJ.KEEEJFFLGGJ..LII A92 B97 C97 D90 E72 F90 I83 J77 K89 L98 M93 
