3 0 3 ...JCC..IJ..AAIK.LDDDK.L.HEE.L.HGG.. 
2 0 2 ...JCC..IJ..AAIK..DDDK.L.HEE.L.HGG.L L99 
1 0 1 ..IJCC..IJ..AA.K..DDDK.L.HEE.L.HGG.L I99 L99 
1 0 1 ..IJCC..IJ..AA.K..DDDK.L.HEE.L.H.GGL G99 I99 L99 
1 0 1 ..IJCC..IJ..AA.K..DDDK.L.H.EEL.H.GGL E99 G99 I99 L99 
1 0 1 ..IJCC..IJ...AAK..DDDK.L.H.EEL.H.GGL A99 E99 G99 I99 L99 
1 0 1 ..IJCC..IJ...AAK..DDDK.L.H.EEL.HGG.L A99 E99 G98 I99 L99 
1 0 1 ..IJCC..IJ...AAK..DDDK.L.HEE.L.H.GGL A99 G99 I99 L99 
1 0 1 ..IJCC..IJ..AA.K..DDDK.L.H.EEL.HGG.L E99 I99 L99 
1 0 1 ..IJCC..IJ...AAK..DDDK.L.HEE.L.HGG.L A99 I99 L99 
2 0 2 ..IJCC..IJ.L.AAK.LDDDK.L.HEE...HGG.. A99 I99 L97 
2 0 2 ..IJCC..IJ.L.AAK.LDDDK.L.HEE...H..GG A99 G98 I99 L97 
2 0 2 ..IJCC..IJ.L.AAK.LDDDK.L.H..EE.H..GG A99 E98 G98 I99 L97 
1 0 1 ..IJCC..IJ.L.AA..LDDD..L.H.KEE.H.KGG A99 E98 G98 I99 K98 L97 
1 0 1 ..IJCC..IJ.L.AA..L..DDDL.H.KEE.H.KGG A99 D98 E98 G98 I99 K98 L97 
1 0 1 ..IJCC..IJ.L.AA..L.HDDDL.H.KEE...KGG A99 D98 E98 G98 H99 I99 K98 L97 
1 0 1 ..IJCC..IJ.L...AAL.HDDDL.H.KEE...KGG A97 D98 E98 G98 H99 I99 K98 L97 
1 0 1 .HIJCC.HIJ.L...AAL..DDDL...KEE...KGG A97 D98 E98 G98 H96 I99 K98 L97 
1 0 1 .HIJCC.HIJ.L...AALDDD..L...KEE...KGG A97 D96 E98 G98 H96 I99 K98 L97 
1 0 1 .HIJCC.HIJ.L...AALDDDK.L...KEE....GG A97 D96 E98 G98 H96 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L...AALDDDK.L...KEEGG.... A97 D96 E98 G94 H96 I99 K97 L97 
1 0 1 .HIJCC.HIJ.L...AALDDD..L...KEEGG.K.. A97 D96 E98 G94 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L...AALDDD..L...KEE.GGK.. A97 D96 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L...AAL..DDDL...KEE.GGK.. A97 D94 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...L..DDDL...KEE.GGK.. A94 D94 E98 G93 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...L..DDDL...KEEGG.K.. A94 D94 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.LAA...L.DDD.L...KEEGG.K.. A94 D93 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.L.DDD.L...KEEGG.K.. A92 D93 E98 G92 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L..AA.L.DDD.L...KEE.GGK.. A92 D93 E98 G91 H96 I99 K96 L97 
1 0 1 .HIJCC.HIJ.L.AA..L.DDD.L...KEE.GGK.. A91 D93 E98 G91 H96 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.L.DDD.L...KEE.GGK.. A92 D93 E98 G91 H95 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.L..DDDL...KEE.GGK.. A92 D92 E98 G91 H95 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.L..DDDL...KEEGG.K.. A92 D92 E98 G90 H95 I99 K96 L97 
1 0 1 ..IJCC.HIJ.L.HAA.LDDD..L...KEEGG.K.. A92 D90 E98 G90 H95 I99 K96 L97 
