2 0 2 HIBBCCHIDDL.HAAKL.EEEKL...JFF...JGG. 
2 0 2 HIBBCCHIDDL.HAAKL.EEEKL...JFF...J.GG G99 
2 0 2 HIBBCCHIDDL.HAAKL.EEEKL...J.FF..J.GG F99 G99 
1 0 1 HIBBCCHIDDL.HAA.L.EEE.L...JKFF..JKGG F99 G99 K98 
1 0 1 HIBBCCHIDDL.HAA.L..EEEL...JKFF..JKGG E99 F99 G99 K98 
1 0 1 HIBBCCHIDDL.H.AAL..EEEL...JKFF..JKGG A99 E99 F99 G99 K98 
1 0 1 .IBBCC.IDDL...AAL.HEEEL.H.JKFFH.JKGG A99 E99 F99 G99 H97 K98 
1 0 1 .IBBCC.IDDL.AA..L.HEEEL.H.JKFFH.JKGG A97 E99 F99 G99 H97 K98 
1 0 1 ..BBCC.IDDL..IAAL.HEEEL.H.JKFFH.JKGG A99 E99 F99 G99 H97 I99 K98 
1 0 1 ..BBCCHIDDL.HIAAL.HEEEL...JKFF..JKGG A99 E99 F99 G99 H95 I99 K98 
1 0 1 BB..CCHIDDL.HIAAL.HEEEL...JKFF..JKGG A99 B98 E99 F99 G99 H95 I99 K98 
1 0 1 BB..CC.IDDL.HIAAL.HEEEL.H.JKFF..JKGG A99 B98 E99 F99 G99 H94 I99 K98 
1 0 1 BBCC...IDDL.HIAAL.HEEEL.H.JKFF..JKGG A99 B98 C98 E99 F99 G99 H94 I99 K98 
1 0 1 BBCC...IDDL..IAAL.HEEEL.H.JKFFH.JKGG A99 B98 C98 E99 F99 G99 H93 I99 K98 
1 0 1 BBCCL..IDDL..IAAL.HEEE..H.JKFFH.JKGG A99 B98 C98 E99 F99 G99 H93 I99 K98 L99 
1 0 1 BBCCL..IDDL..IAAL.H..EEEH.JKFFH.JKGG A99 B98 C98 E97 F99 G99 H93 I99 K98 L99 
1 0 1 BBCCL..IDDL..IAAL.H.JEEEH.JKFFH..KGG A99 B98 C98 E97 F99 G99 H93 I99 J99 K98 L99 
1 0 1 BBCCL.HIDDL.HIAAL.H.JEEE..JKFF...KGG A99 B98 C98 E97 F99 G99 H91 I99 J99 K98 L99 
1 0 1 BBCCL.H.DDL.H.AAL.H.JEEE.IJKFF.I.KGG A99 B98 C98 E97 F99 G99 H91 I96 J99 K98 L99 
1 0 1 BBCCL.H.DDL.H.AAL.H..EEE.IJKFF.IJKGG A99 B98 C98 E97 F99 G99 H91 I96 J98 K98 L99 
1 0 1 BBCCL.H.DDL.HIAAL.HI.EEE..JKFF..JKGG A99 B98 C98 E97 F99 G99 H91 I94 J98 K98 L99 
1 0 1 BBCCL.H.DDL.HIAAL.HIEEE...JKFF..JKGG A99 B98 C98 E96 F99 G99 H91 I94 J98 K98 L99 
1 0 1 BBCCL.H.DDL.H.AAL.HIEEE..IJKFF..JKGG A99 B98 C98 E96 F99 G99 H91 I93 J98 K98 L99 
1 0 1 BBCCL...DDL...AAL.HIEEE.HIJKFFH.JKGG A99 B98 C98 E96 F99 G99 H89 I93 J98 K98 L99 
1 0 1 BBCCL...DDL...AAL.H.EEE.HIJKFFHIJKGG A99 B98 C98 E96 F99 G99 H89 I92 J98 K98 L99 
1 0 1 BBCCL...DDL...AAL.HEEE..HIJKFFHIJKGG A99 B98 C98 E95 F99 G99 H89 I92 J98 K98 L99 
1 0 1 BBCCL...DDL.H.AAL.HEEE..HIJKFF.IJKGG A99 B98 C98 E95 F99 G99 H88 I92 J98 K98 L99 
1 0 1 BBCC....DDL.H.AAL.HEEEL.HIJKFF.IJKGG A99 B98 C98 E95 F99 G99 H88 I92 J98 K98 L98 
1 0 1 BBCC....DDL.HAA.L.HEEEL.HIJKFF.IJKGG A98 B98 C98 E95 F99 G99 H88 I92 J98 K98 L98 
1 0 1 BBCC....DDL..AA.L.HEEEL.HIJKFFHIJKGG A98 B98 C98 E95 F99 G99 H87 I92 J98 K98 L98 
1 0 1 BBCC....DDL.AA..L.HEEEL.HIJKFFHIJKGG A97 B98 C98 E95 F99 G99 H87 I92 J98 K98 L98 
1 0 1 BBCC..DD..L.AA..L.HEEEL.HIJKFFHIJKGG A97 B98 C98 D98 E95 F99 G99 H87 I92 J98 K98 L98 
1 0 1 BBCC..DD..L...AAL.HEEEL.HIJKFFHIJKGG A95 B98 C98 D98 E95 F99 G99 H87 I92 J98 K98 L98 
1 0 1 BBCC...DD.L...AAL.HEEEL.HIJKFFHIJKGG A95 B98 C98 D97 E95 F99 G99 H87 I92 J98 K98 L98 
1 0 1 BBCC..HDD.L.H.AAL.HEEEL..IJKFF.IJKGG A95 B98 C98 D97 E95 F99 G99 H85 I92 J98 K98 L98 
1 0 1 BBCC..HDD.L.HAA.L.HEEEL..IJKFF.IJKGG A94 B98 C98 D97 E95 F99 G99 H85 I92 J98 K98 L98 
1 0 1 BBCCL.HDD.L.HAA.L.HEEE...IJKFF.IJKGG A94 B98 C98 D97 E95 F99 G99 H85 I92 J98 K98 L97 
1 0 1 BBCCL.HDD.L.HAA.L.H..EEE.IJKFF.IJKGG A94 B98 C98 D97 E93 F99 G99 H85 I92 J98 K98 L97 
1 0 1 BBCCL.HDD.L.HAA.L.H.JEEE.IJKFF.I.KGG A94 B98 C98 D97 E93 F99 G99 H85 I92 J97 K98 L97 
1 0 1 BBCCL.HDD.L.HAA.L.HIJEEE.IJKFF...KGG A94 B98 C98 D97 E93 F99 G99 H85 I91 J97 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.HIJEEEHIJKFFH..KGG A94 B98 C98 D97 E93 F99 G99 H83 I91 J97 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.HI.EEEHIJKFFH.JKGG A94 B98 C98 D97 E93 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.HIEEE.HIJKFFH.JKGG A94 B98 C98 D97 E92 F99 G99 H83 I91 J96 K98 L97 
1 0 1 BBCCL..DD.L..AA.L.H.EEE.HIJKFFHIJKGG A94 B98 C98 D97 E92 F99 G99 H83 I90 J96 K98 L97 
1 0 1 BBCCL..DD.L.HAA.L.H.EEE.HIJKFF.IJKGG A94 B98 C98 D97 E92 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.H.EEE.HIJKFF.IJKGG A93 B98 C98 D97 E92 F99 G99 H82 I90 J96 K98 L97 
1 0 1 BBCCL..DD.L.HIAAL.HIEEE.H.JKFF..JKGG A93 B98 C98 D97 E92 F99 G99 H82 I88 J96 K98 L97 
1 0 1 BBCCL..DD.L..IAAL.HIEEE.H.JKFFH.JKGG A93 B98 C98 D97 E92 F99 G99 H81 I88 J96 K98 L97 
1 0 1 BBCCL..DD.L..IAAL.HI.EEEH.JKFFH.JKGG A93 B98 C98 D97 E91 F99 G99 H81 I88 J96 K98 L97 
1 0 1 BBCCL..DD.L..IAAL.HIJEEEH.JKFFH..KGG A93 B98 C98 D97 E91 F99 G99 H81 I88 J95 K98 L97 
1 0 1 BBCCL..DD.L...AAL.H.JEEEHIJKFFHI.KGG A93 B98 C98 D97 E91 F99 G99 H81 I86 J95 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.H.JEEEHIJKFF.I.KGG A93 B98 C98 D97 E91 F99 G99 H80 I86 J95 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.HIJEEEHIJKFF...KGG A93 B98 C98 D97 E91 F99 G99 H80 I85 J95 K98 L97 
1 0 1 BBCCL..DD.L.H.AAL.HI.EEEHIJKFF..JKGG A93 B98 C98 D97 E91 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL.HDD.L.H.AAL.HI.EEE.IJKFF..JKGG A93 B98 C98 D97 E91 F99 G99 H79 I85 J94 K98 L97 
1 0 1 BBCCL...DDL.H.AAL.HI.EEEHIJKFF..JKGG A93 B98 C98 D96 E91 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.HI.EEEHIJKFF..JKGG A92 B98 C98 D96 E91 F99 G99 H80 I85 J94 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.HIJEEEHIJKFF...KGG A92 B98 C98 D96 E91 F99 G99 H80 I85 J93 K98 L97 
1 0 1 BBCCL...DDL.HAA.L.H.JEEEHIJKFF.I.KGG A92 B98 C98 D96 E91 F99 G99 H80 I84 J93 K98 L97 
1 0 1 BBCCL...DDL..AA.L.H.JEEEHIJKFFHI.KGG A92 B98 C98 D96 E91 F99 G99 H79 I84 J93 K98 L97 
1 0 1 BBCCL...DDL..AA.L.H..EEEHIJKFFHIJKGG A92 B98 C98 D96 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D96 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.HI.EEEHIJKFFH.JKGG A91 B98 C98 D96 E91 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL...DDL.AA..L.HIJEEEHIJKFFH..KGG A91 B98 C98 D96 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HIJEEEHIJKFFH..KGG A91 B98 C98 D94 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H.JEEEHIJKFFHI.KGG A91 B98 C98 D94 E91 F99 G99 H79 I82 J91 K98 L97 
1 0 1 BBCCL.DD..L...AAL.HIJEEEHIJKFFH..KGG A89 B98 C98 D94 E91 F99 G99 H79 I83 J91 K98 L97 
1 0 1 BBCCL.DD..L...AAL.HI.EEEHIJKFFH.JKGG A89 B98 C98 D94 E91 F99 G99 H79 I83 J90 K98 L97 
1 0 1 BBCCL.DD..L...AAL.H..EEEHIJKFFHIJKGG A89 B98 C98 D94 E91 F99 G99 H79 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.H.AAL.H..EEEHIJKFF.IJKGG A89 B98 C98 D94 E91 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.HIAAL.HI.EEEH.JKFF..JKGG A89 B98 C98 D94 E91 F99 G99 H78 I80 J90 K98 L97 
1 0 1 BBCCL.DD..L.HIAAL.HIJEEEH.JKFF...KGG A89 B98 C98 D94 E91 F99 G99 H78 I80 J89 K98 L97 
1 0 1 BBCCL...DDL.HIAAL.HIJEEEH.JKFF...KGG A89 B98 C98 D92 E91 F99 G99 H78 I80 J89 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.H..EEEHIJKFF.IJKGG A88 B98 C98 D94 E91 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.HAA.L.HEEE..HIJKFF.IJKGG A88 B98 C98 D94 E89 F99 G99 H78 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L..AA.L.HEEE..HIJKFFHIJKGG A88 B98 C98 D94 E89 F99 G99 H77 I82 J90 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HI.EEEHIJKFFH.JKGG A91 B98 C98 D94 E91 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.HIEEE.HIJKFFH.JKGG A91 B98 C98 D94 E90 F99 G99 H79 I83 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H.EEE.HIJKFFHIJKGG A91 B98 C98 D94 E90 F99 G99 H79 I82 J92 K98 L97 
1 0 1 BBCCL.DD..L.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D94 E91 F99 G99 H79 I84 J92 K98 L97 
1 0 1 BBCCL..DD.L.AA..L.H..EEEHIJKFFHIJKGG A91 B98 C98 D95 E91 F99 G99 H79 I84 J92 K98 L97 
