Initial board configuration: HBBB.MHCCJ.MAAIJLMDDIKL....KEEFFGG..

[['H' 'B' 'B' 'B' '.' 'M']
 ['H' 'C' 'C' 'J' '.' 'M']
 ['A' 'A' 'I' 'J' 'L' 'M']
 ['D' 'D' 'I' 'K' 'L' '.']
 ['.' '.' '.' 'K' 'E' 'E']
 ['F' 'F' 'G' 'G' '.' '.']]

Car fuel available: I:100; M:100; D:100; J:100; C:100; L:100; E:100; F:100; A:100; B:100; K:100; G:100; H:100; 

Runtime: 54.54205679893494
Search path length: 5719
Solution path length: 271
Solution path: | I  down 1| L    up 2| G right 2| F right 2| M  down 1| F  left 1| G  left 1| F  left 1| I  down 1| G right 1| K  down 1| I    up 1| J  down 1| F right 1| A right 1| J    up 1| M    up 1| F  left 1| I  down 1| K    up 1| G  left 1| I    up 1| F right 1| H  down 1| G right 1| F right 1| M  down 1| F  left 2| G  left 2| M    up 1| B  left 1| J    up 1| G right 2| F right 2| M  down 1| F  left 1| G  left 1| F  left 1| I  down 1| G right 1| K  down 1| I    up 1| A right 2| F right 1| I    up 1| K    up 1| G  left 1| F  left 1| G  left 1| M    up 1| G right 2| K  down 1| I  down 2| D right 4| K    up 1| G  left 1| I    up 2| G  left 1| I  down 1| A  left 2| G right 2| F right 2| A right 2| F  left 1| G  left 1| A  left 2| H  down 3| G right 1| K  down 1| H    up 3| D  left 1| F  left 1| I  down 1| D  left 2| K    up 1| G  left 1| A right 2| M  down 1| G right 1| K  down 1| D right 2| I    up 2| F right 1| I  down 1| A  left 1| F  left 1| H  down 2| I  down 1| D  left 2| K    up 1| G  left 1| H    up 1| A  left 1| G right 1| K  down 1| D right 2| I    up 1| F right 1| H  down 2| A  left 1| H    up 1| M    up 1| F  left 1| I  down 1| D right 1| K    up 1| G  left 1| I    up 1| G  left 1| A right 2| G right 2| F right 2| H  down 1| A  left 2| C  left 1| F  left 1| G  left 1| H    up 1| A right 3| G right 1| F right 1| I    up 2| F  left 2| G  left 2| H    up 1| G right 1| F right 1| G right 1| K  down 1| F  left 1| D  left 3| K    up 1| G  left 2| H  down 1| G right 1| F right 1| G right 1| F right 1| H  down 1| D  left 1| F  left 1| G  left 1| M  down 1| D right 1| G right 1| K  down 1| D  left 1| I  down 2| K    up 1| A  left 2| K    up 1| E  left 1| G  left 1| M  down 2| A  left 1| C right 1| I    up 1| E  left 2| K  down 1| C  left 1| J  down 1| B right 1| C right 1| M    up 3| G right 1| F right 1| M  down 2| L  down 3| F  left 1| K  down 1| L    up 3| M    up 1| J  down 1| M    up 1| L  down 3| C right 2| M  down 2| I    up 1| D right 1| H    up 1| F  left 1| M    up 2| B right 1| F right 1| H  down 1| D  left 1| M  down 1| I  down 1| C  left 3| M  down 1| J    up 1| K    up 1| F right 1| M    up 2| I    up 1| F  left 1| K  down 1| D right 2| H    up 1| F  left 1| D  left 1| K    up 1| F right 2| M  down 2| F  left 1| K  down 1| H  down 1| M    up 1| K    up 1| F right 1| B  left 1| H    up 1| F  left 2| K  down 1| F right 1| L    up 3| K    up 1| H  down 1| M  down 1| F right 1| H    up 1| F  left 2| K  down 1| D right 2| F right 1| H  down 1| D  left 3| J  down 1| I  down 1| C right 2| B  left 1| M    up 2| L  down 3| M  down 1| B right 3| M  down 1| C right 2| I    up 2| D right 1| H    up 1| F  left 1| J    up 1| K    up 1| G  left 2| M  down 1| G right 1| F right 1| H  down 1| A right 1| H    up 4| F  left 1| G  left 1| L  down 1| E  left 1| D  left 1| L    up 1| G right 1| F right 1| A  left 1| I  down 3| F  left 1| G  left 1| L  down 1| A right 1| H  down 1| L    up 1| G right 1| F right 1| B  left 3| J    up 1| A right 3

 I  down 1		99 HBBB.MHCCJ.MAA.JLMDDIKL...IKEEFFGG.. 
 L    up 2		98 HBBBLMHCCJLMAA.J.MDDIK....IKEEFFGG.. 
 G right 2		98 HBBBLMHCCJLMAA.J.MDDIK....IKEEFF..GG 
 F right 2		98 HBBBLMHCCJLMAA.J.MDDIK....IKEE..FFGG 
 M  down 1		99 HBBBL.HCCJLMAA.J.MDDIK.M..IKEE..FFGG 
 F  left 1		99 HBBBL.HCCJLMAA.J.MDDIK.M..IKEE.FF.GG 
 G  left 1		99 HBBBL.HCCJLMAA.J.MDDIK.M..IKEE.FFGG. 
 F  left 1		99 HBBBL.HCCJLMAA.J.MDDIK.M..IKEEFF.GG. 
 I  down 1		99 HBBBL.HCCJLMAA.J.MDD.K.M..IKEEFFIGG. 
 G right 1		99 HBBBL.HCCJLMAA.J.MDD.K.M..IKEEFFI.GG 
 K  down 1		99 HBBBL.HCCJLMAA.J.MDD...M..IKEEFFIKGG 
 I    up 1		99 HBBBL.HCCJLMAA.J.MDDI..M..IKEEFF.KGG 
 J  down 1		99 HBBBL.HCC.LMAA.J.MDDIJ.M..IKEEFF.KGG 
 F right 1		99 HBBBL.HCC.LMAA.J.MDDIJ.M..IKEE.FFKGG 
 A right 1		99 HBBBL.HCC.LM.AAJ.MDDIJ.M..IKEE.FFKGG 
 J    up 1		99 HBBBL.HCCJLM.AAJ.MDDI..M..IKEE.FFKGG 
 M    up 1		99 HBBBLMHCCJLM.AAJ.MDDI.....IKEE.FFKGG 
 F  left 1		99 HBBBLMHCCJLM.AAJ.MDDI.....IKEEFF.KGG 
 I  down 1		99 HBBBLMHCCJLM.AAJ.MDD......IKEEFFIKGG 
 K    up 1		99 HBBBLMHCCJLM.AAJ.MDD.K....IKEEFFI.GG 
 G  left 1		99 HBBBLMHCCJLM.AAJ.MDD.K....IKEEFFIGG. 
 I    up 1		99 HBBBLMHCCJLM.AAJ.MDDIK....IKEEFF.GG. 
 F right 1		99 HBBBLMHCCJLM.AAJ.MDDIK....IKEE.FFGG. 
 H  down 1		99 .BBBLMHCCJLMHAAJ.MDDIK....IKEE.FFGG. 
 G right 1		99 .BBBLMHCCJLMHAAJ.MDDIK....IKEE.FF.GG 
 F right 1		99 .BBBLMHCCJLMHAAJ.MDDIK....IKEE..FFGG 
 M  down 1		99 .BBBL.HCCJLMHAAJ.MDDIK.M..IKEE..FFGG 
 F  left 2		98 .BBBL.HCCJLMHAAJ.MDDIK.M..IKEEFF..GG 
 G  left 2		98 .BBBL.HCCJLMHAAJ.MDDIK.M..IKEEFFGG.. 
 M    up 1		99 .BBBLMHCCJLMHAAJ.MDDIK....IKEEFFGG.. 
 B  left 1		99 BBB.LMHCCJLMHAAJ.MDDIK....IKEEFFGG.. 
 J    up 1		99 BBBJLMHCCJLMHAA..MDDIK....IKEEFFGG.. 
 G right 2		98 BBBJLMHCCJLMHAA..MDDIK....IKEEFF..GG 
 F right 2		98 BBBJLMHCCJLMHAA..MDDIK....IKEE..FFGG 
 M  down 1		99 BBBJL.HCCJLMHAA..MDDIK.M..IKEE..FFGG 
 F  left 1		99 BBBJL.HCCJLMHAA..MDDIK.M..IKEE.FF.GG 
 G  left 1		99 BBBJL.HCCJLMHAA..MDDIK.M..IKEE.FFGG. 
 F  left 1		99 BBBJL.HCCJLMHAA..MDDIK.M..IKEEFF.GG. 
 I  down 1		99 BBBJL.HCCJLMHAA..MDD.K.M..IKEEFFIGG. 
 G right 1		99 BBBJL.HCCJLMHAA..MDD.K.M..IKEEFFI.GG 
 K  down 1		99 BBBJL.HCCJLMHAA..MDD...M..IKEEFFIKGG 
 I    up 1		99 BBBJL.HCCJLMHAA..MDDI..M..IKEEFF.KGG 
 A right 2		98 BBBJL.HCCJLMH..AAMDDI..M..IKEEFF.KGG 
