10 0 10 ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... 
10 0 10 ..CC.MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. L99 
10 0 10 ..CC.MDD.K.MAA.K.NI..EENI.JLGGHHJL.. E98 L99 
10 0 10 ..CC.MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. E98 J99 L99 
10 0 10 ..CC.MDD.K.MAA.K.NI.JEENI.JLGG.HHL.. E98 H99 J99 L99 
10 0 10 ..CC.MDD.K.MAA.K.N..JEENI.JLGGIHHL.. E98 H99 I99 J99 L99 
10 0 10 ..CC.MDD.K.M.AAK.N..JEENI.JLGGIHHL.. A99 E98 H99 I99 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI.JEEN..JLGG.HHL.. A99 E98 H99 I97 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI.JEEN..JLGGHH.L.. A99 E98 H98 I97 J99 L99 
10 0 10 ..CC.MDD.K.MIAAK.NI..EEN..JLGGHHJL.. A99 E98 H98 I97 J98 L99 
10 0 10 ..CC.MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 E96 H98 I97 J98 L99 
10 0 10 ..CC.MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 E96 H98 I97 J98 L98 
10 0 10 ..CC.M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 D99 E96 H98 I97 J98 L98 
10 0 10 ..CC.M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 D99 E96 H98 I96 J98 L98 
10 0 10 ..CC.M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 D99 E96 H98 I96 J98 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI..EENI.JLGGHHJL.. A99 D99 E94 H98 I96 J98 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI.JEENI.JLGGHH.L.. A99 D99 E94 H98 I96 J97 L97 
10 0 10 ..CC.M.DDK.M.AAK.NI.JEENI.JLGG.HHL.. A99 D99 E94 H97 I96 J97 L97 
10 0 10 I.CC.MIDDK.M.AAK.N..JEEN..JLGG.HHL.. A99 D99 E94 H97 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGG.HHL.. A98 D99 E94 H97 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGGHH.L.. A98 D99 E94 H96 I93 J97 L97 
10 0 10 I.CC.MIDDK.MAA.K.N...EEN..JLGGHHJL.. A98 D99 E94 H96 I93 J96 L97 
10 0 10 I.CC.MIDDK.MAA.K.NEE...N..JLGGHHJL.. A98 D99 E91 H96 I93 J96 L97 
10 0 10 I.CC.MIDDK.MAA.K.NEE.L.N..JLGGHHJ... A98 D99 E91 H96 I93 J96 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJL.N..JLGGHH.... A98 D99 E91 H96 I93 J95 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJL.N..JLGG....HH A98 D99 E91 H92 I93 J95 L96 
10 0 10 I.CC.MIDDK.MAA.K.NEEJ..N..JLGG...LHH A98 D99 E91 H92 I93 J95 L95 
10 0 10 I.CC.MIDDK.MAA.K.NEE...N..JLGG..JLHH A98 D99 E91 H92 I93 J94 L95 
10 0 10 I.CC.MIDDK.MAA.K.N...EEN..JLGG..JLHH A98 D99 E88 H92 I93 J94 L95 
10 0 10 I.CC.MIDDK.MAA.K.N..JEEN..JLGG...LHH A98 D99 E88 H92 I93 J93 L95 
10 0 10 I.CC.MIDDK.M.AAK.N..JEEN..JLGG...LHH A97 D99 E88 H92 I93 J93 L95 
10 0 10 ..CC.M.DDK.M.AAK.N..JEENI.JLGGI..LHH A97 D99 E88 H92 I89 J93 L95 
10 0 10 ..CC.M.DDK.M.AAK.N...EENI.JLGGI.JLHH A97 D99 E88 H92 I89 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.N...EEN..JLGG..JLHH A97 D99 E88 H92 I86 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.NEE...N..JLGG..JLHH A97 D99 E85 H92 I86 J92 L95 
10 0 10 ..CC.MIDDK.MIAAK.NEE.L.N..JLGG..J.HH A97 D99 E85 H92 I86 J92 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEE.L.N..JLGG..JHH. A97 D99 E85 H91 I86 J92 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJL.N..JLGG...HH. A97 D99 E85 H91 I86 J91 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJL.N..JLGGHH.... A97 D99 E85 H88 I86 J91 L94 
10 0 10 ..CC.MIDDK.MIAAK.NEEJ..N..JLGGHH.L.. A97 D99 E85 H88 I86 J91 L93 
10 0 10 ..CC.MIDDK.MIAAK.NEEJ..N..JLGG.HHL.. A97 D99 E85 H87 I86 J91 L93 
10 0 10 ..CC.MIDD..MIAAK.NEEJK.N..JLGG.HHL.. A97 D99 E85 H87 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEEJK.N..JLGG.HHL.. A97 D97 E85 H87 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEEJK.N..JLGGHH.L.. A97 D97 E85 H86 I86 J91 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.NEE.K.N..JLGGHHJL.. A97 D97 E85 H86 I86 J90 K99 L93 
10 0 10 ..CC.MI..DDMIAAK.N.EEK.N..JLGGHHJL.. A97 D97 E84 H86 I86 J90 K99 L93 
10 0 10 ..CC.M...DDM.AAK.NIEEK.NI.JLGGHHJL.. A97 D97 E84 H86 I84 J90 K99 L93 
10 0 10 ..CC.M...DDMAA.K.NIEEK.NI.JLGGHHJL.. A96 D97 E84 H86 I84 J90 K99 L93 
10 0 10 ..CC.M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. A96 D95 E84 H86 I84 J90 K99 L93 
10 0 10 ...CCM.DD..MAA.K.NIEEK.NI.JLGGHHJL.. A96 C99 D95 E84 H86 I84 J90 K99 L93 
10 0 10 ...CCM.DDK.MAA.K.NIEE..NI.JLGGHHJL.. A96 C99 D95 E84 H86 I84 J90 K98 L93 
10 0 10 ...CCM.DDK.MAA.K.NIEEL.NI.JLGGHHJ... A96 C99 D95 E84 H86 I84 J90 K98 L92 
10 0 10 CC...M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... A96 C96 D95 E84 H86 I84 J90 K98 L92 
5 0 5 CC.K.M.DDK.MAA...NIEEL.NI.JLGGHHJ... A96 C96 D95 E84 H86 I84 J90 K97 L92 
5 0 5 CC.K.M.DDK.MAA...NIEE..NI.JLGGHHJL.. A96 C96 D95 E84 H86 I84 J90 K97 L91 
5 0 5 CC.K.M.DDK.MAA...NI..EENI.JLGGHHJL.. A96 C96 D95 E82 H86 I84 J90 K97 L91 
5 0 5 CC.K.M.DDK.MAA...NI.JEENI.JLGGHH.L.. A96 C96 D95 E82 H86 I84 J89 K97 L91 
5 0 5 CC.K.M.DDK.MAA...NI.JEENI.JLGG.HHL.. A96 C96 D95 E82 H85 I84 J89 K97 L91 
5 0 5 CC.K.M.DDK.MAA...N..JEENI.JLGGIHHL.. A96 C96 D95 E82 H85 I83 J89 K97 L91 
5 0 5 CC.K.M.DDK.M...AAN..JEENI.JLGGIHHL.. A93 C96 D95 E82 H85 I83 J89 K97 L91 
5 0 5 CC.K.MIDDK.MI..AAN..JEEN..JLGG.HHL.. A93 C96 D95 E82 H85 I80 J89 K97 L91 
5 0 5 CC.K.MIDDK.MI..AAN..JEEN..JLGGHH.L.. A93 C96 D95 E82 H84 I80 J89 K97 L91 
5 0 5 CC.K.MIDDK.MI..AAN...EEN..JLGGHHJL.. A93 C96 D95 E82 H84 I80 J88 K97 L91 
5 0 5 CC.K.MIDDK.MI..AANEE...N..JLGGHHJL.. A93 C96 D95 E79 H84 I80 J88 K97 L91 
5 0 5 CC.K.MIDDK.MI..AANEE.L.N..JLGGHHJ... A93 C96 D95 E79 H84 I80 J88 K97 L90 
5 0 5 CC.K.MIDDK.MI.JAANEEJL.N...LGGHH.... A93 C96 D95 E79 H84 I80 J86 K97 L90 
5 0 5 CC.K.MIDDK.MI.JAANEEJL.N...LGG....HH A93 C96 D95 E79 H80 I80 J86 K97 L90 
5 0 5 CC.K.MIDDK.MI.JAANEEJ..N...LGG...LHH A93 C96 D95 E79 H80 I80 J86 K97 L89 
5 0 5 CC.K.MIDDK.MI..AANEE...N..JLGG..JLHH A93 C96 D95 E79 H80 I80 J84 K97 L89 
5 0 5 CC.K.MIDDK.MI..AAN...EEN..JLGG..JLHH A93 C96 D95 E76 H80 I80 J84 K97 L89 
5 0 5 CC.K.MIDDK.MI.JAAN..JEEN...LGG...LHH A93 C96 D95 E76 H80 I80 J82 K97 L89 
5 0 5 CC.K.M.DDK.M..JAAN..JEENI..LGGI..LHH A93 C96 D95 E76 H80 I77 J82 K97 L89 
5 0 5 CC.K.M.DDK.M...AAN..JEENI.JLGGI..LHH A93 C96 D95 E76 H80 I77 J81 K97 L89 
5 0 5 CC.K.M.DDK.MI..AANI.JEEN..JLGG...LHH A93 C96 D95 E76 H80 I75 J81 K97 L89 
5 0 5 CC.K.M.DDK.MIAA..NI.JEEN..JLGG...LHH A91 C96 D95 E76 H80 I75 J81 K97 L89 
5 0 5 CC.K.M.DDK.MIAA..NI..EEN..JLGG..JLHH A91 C96 D95 E76 H80 I75 J80 K97 L89 
5 0 5 CC.K.M.DDK.MIAA..NIEE..N..JLGG..JLHH A91 C96 D95 E74 H80 I75 J80 K97 L89 
5 0 5 CC.K.M.DDK.MIAA..NIEEL.N..JLGG..J.HH A91 C96 D95 E74 H80 I75 J80 K97 L88 
5 0 5 CC.K.M.DDK.MIAA..NIEEL.N..JLGG..JHH. A91 C96 D95 E74 H79 I75 J80 K97 L88 
5 0 5 CC.K.M.DDK.M.AA..N.EEL.NI.JLGGI.JHH. A91 C96 D95 E74 H79 I73 J80 K97 L88 
5 0 5 CC.K.M.DDK.M.AA..NEE.L.NI.JLGGI.JHH. A91 C96 D95 E73 H79 I73 J80 K97 L88 
5 0 5 CC.K.M.DDK.M.AA..NEE.L.NI.JLGGI.J.HH A91 C96 D95 E73 H78 I73 J80 K97 L88 
5 0 5 CC.K.M.DDK.M.AA..NEE...NI.JLGGI.JLHH A91 C96 D95 E73 H78 I73 J80 K97 L87 
5 0 5 CC.K.M.DDK.M.AA..NEEJ..NI.JLGGI..LHH A91 C96 D95 E73 H78 I73 J79 K97 L87 
5 0 5 CC.K.M.DDK.M...AANEEJ..NI.JLGGI..LHH A89 C96 D95 E73 H78 I73 J79 K97 L87 
5 0 5 CC.K.M.DDK.M...AANEEJL.NI.JLGGI...HH A89 C96 D95 E73 H78 I73 J79 K97 L86 
5 0 5 CC.K.M.DDK.M...AANEEJL.NI.JLGGIHH... A89 C96 D95 E73 H75 I73 J79 K97 L86 
5 0 5 CC.K.M.DDK.M...AANEEJ..NI.JLGGIHHL.. A89 C96 D95 E73 H75 I73 J79 K97 L85 
5 0 5 CC.K.M.DDK.M..JAANEEJ..NI..LGGIHHL.. A89 C96 D95 E73 H75 I73 J78 K97 L85 
5 0 5 CC.K.MDD.K.M..JAANEEJ..NI..LGGIHHL.. A89 C96 D94 E73 H75 I73 J78 K97 L85 
5 0 5 CC.K.MDD.K.M..JAANEEJL.NI..LGGIHH... A89 C96 D94 E73 H75 I73 J78 K97 L84 
5 0 5 CC.K.MDD.K.M..JAANEEJL.NI..LGGI...HH A89 C96 D94 E73 H72 I73 J78 K97 L84 
5 0 5 CC.K.MDD.K.M..JAANEEJ..NI..LGGI..LHH A89 C96 D94 E73 H72 I73 J78 K97 L83 
