5 0 5 .BBBCCDDJ..LI.JAALIEEE.LI..KFF.HHK.. 
5 0 5 .BBBCCDDJ..LI.JAALIEEE.LI..KFFHH.K.. H99 
5 0 5 .BBBCCDDJ..LI.JAALI.EEELI..KFFHH.K.. E99 H99 
5 0 5 BBB.CCDDJ..LI.JAALI.EEELI..KFFHH.K.. B99 E99 H99 
5 0 5 BBB.CCDDJ..LI.JAALI.EEELI..KFF.HHK.. B99 E99 H98 
5 0 5 BBB.CCDDJ..L..JAALI.EEELI..KFFIHHK.. B99 E99 H98 I99 
5 0 5 BBB.CCDDJ..L..JAALIEEE.LI..KFFIHHK.. B99 E98 H98 I99 
5 0 5 BBBCC.DDJ..L..JAALIEEE.LI..KFFIHHK.. B99 C99 E98 H98 I99 
5 0 5 BBBCC.DDJ..LI.JAALIEEE.LI..KFF.HHK.. B99 C99 E98 H98 I98 
5 0 5 BBBCC.DDJ..LI.JAALIEEE.LI..KFFHH.K.. B99 C99 E98 H97 I98 
5 0 5 BBBCCLDDJ..LI.JAALIEEE..I..KFFHH.K.. B99 C99 E98 H97 I98 L99 
5 0 5 BBBCCLDDJ..LI.JAALI..EEEI..KFFHH.K.. B99 C99 E96 H97 I98 L99 
5 0 5 BBBCCLDDJ..LI.JAALI..EEEI..KFF.HHK.. B99 C99 E96 H96 I98 L99 
5 0 5 BBBCCLDDJ..L..JAALI..EEEI..KFFIHHK.. B99 C99 E96 H96 I97 L99 
5 0 5 BBBCCLDDJ..L..JAALI.EEE.I..KFFIHHK.. B99 C99 E95 H96 I97 L99 
5 0 5 BBBCCLDD...L...AALI.JEEEI.JKFFIHHK.. B99 C99 E96 H96 I97 J98 L99 
5 0 5 BBBCCLDD...LAA...LI.JEEEI.JKFFIHHK.. A97 B99 C99 E96 H96 I97 J98 L99 
5 0 5 BBBCCL...DDLAA...LI.JEEEI.JKFFIHHK.. A97 B99 C99 D97 E96 H96 I97 J98 L99 
5 0 5 BBBCCL...DDL..AA.LI.JEEEI.JKFFIHHK.. A95 B99 C99 D97 E96 H96 I97 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI.JEEE..JKFF.HHK.. A95 B99 C99 D97 E96 H96 I95 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI.JEEE..JKFFHH.K.. A95 B99 C99 D97 E96 H95 I95 J98 L99 
5 0 5 BBBCCLI..DDLI.AA.LI..EEE..JKFFHHJK.. A95 B99 C99 D97 E96 H95 I95 J97 L99 
5 0 5 BBBCCLI..DDLI.AA.LIEEE....JKFFHHJK.. A95 B99 C99 D97 E94 H95 I95 J97 L99 
5 0 5 BBBCCL...DDLI.AA.LIEEE..I.JKFFHHJK.. A95 B99 C99 D97 E94 H95 I94 J97 L99 
5 0 5 BBBCCL...DDLI.AA.LI.EEE.I.JKFFHHJK.. A95 B99 C99 D97 E93 H95 I94 J97 L99 
5 0 5 BBBCC....DDLI.AA.LI.EEELI.JKFFHHJK.. A95 B99 C99 D97 E93 H95 I94 J97 L98 
5 0 5 BBBCC....DDLI..AALI.EEELI.JKFFHHJK.. A94 B99 C99 D97 E93 H95 I94 J97 L98 
5 0 5 BBBCC....DDLI..AALIEEE.LI.JKFFHHJK.. A94 B99 C99 D97 E92 H95 I94 J97 L98 
5 0 5 BBBCC....DDLIAA..LIEEE.LI.JKFFHHJK.. A92 B99 C99 D97 E92 H95 I94 J97 L98 
5 0 5 BBBCC.I..DDLIAA..LIEEE.L..JKFFHHJK.. A92 B99 C99 D97 E92 H95 I93 J97 L98 
5 0 5 BBBCC.I..DDLIAA..LI.EEEL..JKFFHHJK.. A92 B99 C99 D97 E91 H95 I93 J97 L98 
5 0 5 BBBCCLI..DDLIAA..LI.EEE...JKFFHHJK.. A92 B99 C99 D97 E91 H95 I93 J97 L97 
5 0 5 BBBCCLI..DDLI..AALI.EEE...JKFFHHJK.. A90 B99 C99 D97 E91 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI..AALI.EEE...JKFFHHJK.. A90 B99 C99 D95 E91 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI..AALI..EEE..JKFFHHJK.. A90 B99 C99 D95 E90 H95 I93 J97 L97 
5 0 5 BBBCCLIDD..LI.JAALI.JEEE...KFFHH.K.. A90 B99 C99 D95 E90 H95 I93 J95 L97 
5 0 5 BBBCCLIDD..LI.JAALI.JEEE...KFF.HHK.. A90 B99 C99 D95 E90 H94 I93 J95 L97 
5 0 5 BBBCCLIDD..LI..AALI.JEEE..JKFF.HHK.. A90 B99 C99 D95 E90 H94 I93 J94 L97 
5 0 5 BBBCCL.DD..LI..AALI.JEEEI.JKFF.HHK.. A90 B99 C99 D95 E90 H94 I92 J94 L97 
5 0 5 BBBCCL.DD..LI..AALI.JEEEI.JKFFHH.K.. A90 B99 C99 D95 E90 H93 I92 J94 L97 
5 0 5 BBBCCL.DD..LIAA..LI.JEEEI.JKFFHH.K.. A88 B99 C99 D95 E90 H93 I92 J94 L97 
5 0 5 BBBCCL.DD..LIAA..LI..EEEI.JKFFHHJK.. A88 B99 C99 D95 E90 H93 I92 J93 L97 
5 0 5 BBBCCL.DD..LIAA..LIEEE..I.JKFFHHJK.. A88 B99 C99 D95 E88 H93 I92 J93 L97 
5 0 5 BBBCCL.DD..LI..AALIEEE..I.JKFFHHJK.. A86 B99 C99 D95 E88 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI..AALIEEE..I.JKFFHHJK.. A86 B99 C99 D94 E88 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI..AALI..EEEI.JKFFHHJK.. A86 B99 C99 D94 E86 H93 I92 J93 L97 
5 0 5 BBBCCL..DD.LI.JAALI.JEEEI..KFFHH.K.. A86 B99 C99 D94 E86 H93 I92 J91 L97 
5 0 5 BBBCCL..DD.LI.JAALI.JEEEI..KFF.HHK.. A86 B99 C99 D94 E86 H92 I92 J91 L97 
5 0 5 BBBCCL..DD.L..JAALI.JEEEI..KFFIHHK.. A86 B99 C99 D94 E86 H92 I91 J91 L97 
5 0 5 BBBCCL...DDL..JAALI.JEEEI..KFFIHHK.. A86 B99 C99 D93 E86 H92 I91 J91 L97 
5 0 5 BBBCCL..JDDL..JAALI..EEEI..KFFIHHK.. A86 B99 C99 D93 E86 H92 I91 J90 L97 
5 0 5 BBBCCL..JDDL..JAALIEEE..I..KFFIHHK.. A86 B99 C99 D93 E84 H92 I91 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALIEEE.....KFF.HHK.. A86 B99 C99 D93 E84 H92 I89 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALIEEE.....KFFHH.K.. A86 B99 C99 D93 E84 H91 I89 J90 L97 
5 0 5 BBBCCLI.JDDLI.JAALI..EEE...KFFHH.K.. A86 B99 C99 D93 E82 H91 I89 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI..EEEI..KFFHH.K.. A86 B99 C99 D93 E82 H91 I88 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI.EEE.I..KFFHH.K.. A86 B99 C99 D93 E81 H91 I88 J90 L97 
5 0 5 BBBCCL..JDDLI.JAALI.EEE.I..KFF.HHK.. A86 B99 C99 D93 E81 H90 I88 J90 L97 
5 0 5 BBBCC...JDDLI.JAALI.EEELI..KFF.HHK.. A86 B99 C99 D93 E81 H90 I88 J90 L96 
5 0 5 BBBCC...JDDL..JAALI.EEELI..KFFIHHK.. A86 B99 C99 D93 E81 H90 I87 J90 L96 
5 0 5 BBB.CC..JDDL..JAALI.EEELI..KFFIHHK.. A86 B99 C98 D93 E81 H90 I87 J90 L96 
5 0 5 BBB.CC..JDDL..JAALIEEE.LI..KFFIHHK.. A86 B99 C98 D93 E80 H90 I87 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALIEEE.L...KFF.HHK.. A86 B99 C98 D93 E80 H90 I85 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALIEEE.L...KFFHH.K.. A86 B99 C98 D93 E80 H89 I85 J90 L96 
5 0 5 BBB.CCI.JDDLI.JAALI.EEEL...KFFHH.K.. A86 B99 C98 D93 E79 H89 I85 J90 L96 
5 0 5 BBB.CC..JDDLI.JAALI.EEELI..KFFHH.K.. A86 B99 C98 D93 E79 H89 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALI.EEELI..KFFHH.K.. A86 B98 C98 D93 E79 H89 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALI.EEELI..KFF.HHK.. A86 B98 C98 D93 E79 H88 I84 J90 L96 
5 0 5 .BBBCC..JDDLI.JAALIEEE.LI..KFF.HHK.. A86 B98 C98 D93 E78 H88 I84 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAAL.EEE.L...KFF.HHK.. A86 B98 C98 D93 E78 H88 I82 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAAL.EEE.L...KFFHH.K.. A86 B98 C98 D93 E78 H87 I82 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAALEEE..L...KFFHH.K.. A86 B98 C98 D93 E77 H87 I82 J90 L96 
5 0 5 IBBBCCI.JDDLI.JAALEEEK.L...KFFHH.... A86 B98 C98 D93 E77 H87 I82 J90 K99 L96 
5 0 5 IBBBCCI.JDDLI.JAALEEEK.L...KFF....HH A86 B98 C98 D93 E77 H83 I82 J90 K99 L96 
5 0 5 IBBBCCI.JDDLI.JAALEEE..L...KFF...KHH A86 B98 C98 D93 E77 H83 I82 J90 K98 L96 
5 0 5 IBBBCCI.JDDLI.JAAL..EEEL...KFF...KHH A86 B98 C98 D93 E75 H83 I82 J90 K98 L96 
5 0 5 .BBBCC..JDDL..JAALI.EEELI..KFFI..KHH A86 B98 C98 D93 E75 H83 I79 J90 K98 L96 
5 0 5 .BBBCC..JDDL..JAALIEEE.LI..KFFI..KHH A86 B98 C98 D93 E74 H83 I79 J90 K98 L96 
5 0 5 .BBBCCI.JDDLI.JAALIEEE.L...KFF...KHH A86 B98 C98 D93 E74 H83 I77 J90 K98 L96 
5 0 5 BBB.CCI.JDDLI.JAALIEEE.L...KFF...KHH A86 B97 C98 D93 E74 H83 I77 J90 K98 L96 
5 0 5 BBB.CCI.JDDLI.JAALI.EEEL...KFF...KHH A86 B97 C98 D93 E73 H83 I77 J90 K98 L96 
5 0 5 BBB.CC..JDDLI.JAALI.EEELI..KFF...KHH A86 B97 C98 D93 E73 H83 I76 J90 K98 L96 
5 0 5 BBBCC...JDDLI.JAALI.EEELI..KFF...KHH A86 B97 C97 D93 E73 H83 I76 J90 K98 L96 
5 0 5 BBBCC...JDDL..JAALI.EEELI..KFFI..KHH A86 B97 C97 D93 E73 H83 I75 J90 K98 L96 
5 0 5 BBBCC...JDDL..JAALIEEE.LI..KFFI..KHH A86 B97 C97 D93 E72 H83 I75 J90 K98 L96 
5 0 5 BBBCCL..JDDL..JAALIEEE..I..KFFI..KHH A86 B97 C97 D93 E72 H83 I75 J90 K98 L95 
5 0 5 BBBCCL..JDDL..JAALI..EEEI..KFFI..KHH A86 B97 C97 D93 E70 H83 I75 J90 K98 L95 
5 0 5 BBBCCLI.JDDLI.JAALI..EEE...KFF...KHH A86 B97 C97 D93 E70 H83 I73 J90 K98 L95 
5 0 5 BBBCCLI.JDDLI.JAALI.EEE....KFF...KHH A86 B97 C97 D93 E69 H83 I73 J90 K98 L95 
5 0 5 BBBCCLI..DDLI..AALI..EEE..JKFF..JKHH A86 B97 C97 D93 E70 H83 I73 J87 K98 L95 
5 0 5 BBBCCLI..DDLI..AALIEEE....JKFF..JKHH A86 B97 C97 D93 E68 H83 I73 J87 K98 L95 
5 0 5 BBBCCL...DDL...AALIEEE..I.JKFFI.JKHH A86 B97 C97 D93 E68 H83 I71 J87 K98 L95 
5 0 5 BBBCCL...DDL...AALI.EEE.I.JKFFI.JKHH A86 B97 C97 D93 E67 H83 I71 J87 K98 L95 
5 0 5 BBBCCL...DDLI..AALI.EEE.I.JKFF..JKHH A86 B97 C97 D93 E67 H83 I70 J87 K98 L95 
5 0 5 BBBCC....DDLI..AALI.EEELI.JKFF..JKHH A86 B97 C97 D93 E67 H83 I70 J87 K98 L94 
5 0 5 BBBCC....DDLI..AALIEEE.LI.JKFF..JKHH A86 B97 C97 D93 E66 H83 I70 J87 K98 L94 
5 0 5 BBBCC....DDLIAA..LIEEE.LI.JKFF..JKHH A84 B97 C97 D93 E66 H83 I70 J87 K98 L94 
5 0 5 BBBCC....DDL.AA..LIEEE.LI.JKFFI.JKHH A84 B97 C97 D93 E66 H83 I69 J87 K98 L94 
5 0 5 BBBCC....DDL.AA..LI.EEELI.JKFFI.JKHH A84 B97 C97 D93 E65 H83 I69 J87 K98 L94 
5 0 5 BBBCC.I..DDLIAA..LI.EEEL..JKFF..JKHH A84 B97 C97 D93 E65 H83 I67 J87 K98 L94 
5 0 5 BBBCC.I..DDLI.AA.LI.EEEL..JKFF..JKHH A83 B97 C97 D93 E65 H83 I67 J87 K98 L94 
5 0 5 BBBCC.I..DDLI.AA.LIEEE.L..JKFF..JKHH A83 B97 C97 D93 E64 H83 I67 J87 K98 L94 
5 0 5 BBBCC.IDD..LI.AA.LIEEE.L..JKFF..JKHH A83 B97 C97 D91 E64 H83 I67 J87 K98 L94 
5 0 5 BBBCC..DD..L..AA.LIEEE.LI.JKFFI.JKHH A83 B97 C97 D91 E64 H83 I65 J87 K98 L94 
5 0 5 BBBCC..DD..L..AA.LI.EEELI.JKFFI.JKHH A83 B97 C97 D91 E63 H83 I65 J87 K98 L94 
5 0 5 BBBCC..DD..LI.AA.LI.EEELI.JKFF..JKHH A83 B97 C97 D91 E63 H83 I64 J87 K98 L94 
5 0 5 BBBCC..DD..LIAA..LI.EEELI.JKFF..JKHH A82 B97 C97 D91 E63 H83 I64 J87 K98 L94 
5 0 5 BBBCCL.DD..LIAA..LI.EEE.I.JKFF..JKHH A82 B97 C97 D91 E63 H83 I64 J87 K98 L93 
5 0 5 BBBCCL.DD..L.AA..LI.EEE.I.JKFFI.JKHH A82 B97 C97 D91 E63 H83 I63 J87 K98 L93 
5 0 5 BBBCCL.DD..L.AA..LI..EEEI.JKFFI.JKHH A82 B97 C97 D91 E62 H83 I63 J87 K98 L93 
5 0 5 BBBCCL.DD..L.AA..LI.JEEEI.JKFFI..KHH A82 B97 C97 D91 E62 H83 I63 J86 K98 L93 
5 0 5 BBBCCLIDD..LIAA..LI.JEEE..JKFF...KHH A82 B97 C97 D91 E62 H83 I61 J86 K98 L93 
5 0 5 BBBCCLIDD..LI..AALI.JEEE..JKFF...KHH A80 B97 C97 D91 E62 H83 I61 J86 K98 L93 
5 0 5 BBBCCLIDD..LI.JAALI.JEEE...KFF...KHH A80 B97 C97 D91 E62 H83 I61 J85 K98 L93 
5 0 5 BBBCCL.DD..L..JAALI.JEEEI..KFFI..KHH A80 B97 C97 D91 E62 H83 I59 J85 K98 L93 
5 0 5 BBBCCL..DD.L..JAALI.JEEEI..KFFI..KHH A80 B97 C97 D90 E62 H83 I59 J85 K98 L93 
5 0 5 BBBCCL..DD.L...AALI..EEEI.JKFFI.JKHH A80 B97 C97 D90 E62 H83 I59 J83 K98 L93 
5 0 5 BBBCCL..DD.LI..AALI..EEEI.JKFF..JKHH A80 B97 C97 D90 E62 H83 I58 J83 K98 L93 
5 0 5 BBBCCL..DD.LI..AALI.JEEEI.JKFF...KHH A80 B97 C97 D90 E62 H83 I58 J82 K98 L93 
5 0 5 BBBCCL..DD.LIAA..LI.JEEEI.JKFF...KHH A78 B97 C97 D90 E62 H83 I58 J82 K98 L93 
5 0 5 BBBCCL...DDLIAA..LI.JEEEI.JKFF...KHH A78 B97 C97 D89 E62 H83 I58 J82 K98 L93 
5 0 5 BBBCCL...DDLIAA..LI..EEEI.JKFF..JKHH A78 B97 C97 D89 E62 H83 I58 J81 K98 L93 
5 0 5 BBBCCL...DDLI.AA.LI..EEEI.JKFF..JKHH A77 B97 C97 D89 E62 H83 I58 J81 K98 L93 
5 0 5 BBBCCL...DDL..AA.LI..EEEI.JKFFI.JKHH A77 B97 C97 D89 E62 H83 I57 J81 K98 L93 
5 0 5 BBBCCL...DDL..AA.LI.JEEEI.JKFFI..KHH A77 B97 C97 D89 E62 H83 I57 J80 K98 L93 
5 0 5 BBBCCLI..DDLI.AA.LI.JEEE..JKFF...KHH A77 B97 C97 D89 E62 H83 I55 J80 K98 L93 
5 0 5 BBBCCLI.DD.LI.AA.LI.JEEE..JKFF...KHH A77 B97 C97 D88 E62 H83 I55 J80 K98 L93 
5 0 5 BBBCCLI.DD.LI.AA.LI..EEE..JKFF..JKHH A77 B97 C97 D88 E62 H83 I55 J79 K98 L93 
5 0 5 BBBCCLI.DD.LI.AA.LIEEE....JKFF..JKHH A77 B97 C97 D88 E60 H83 I55 J79 K98 L93 
5 0 5 BBBCCL..DD.L..AA.LIEEE..I.JKFFI.JKHH A77 B97 C97 D88 E60 H83 I53 J79 K98 L93 
5 0 5 BBBCCL..DD.L..AA.LI.EEE.I.JKFFI.JKHH A77 B97 C97 D88 E59 H83 I53 J79 K98 L93 
5 0 5 BBBCCL..DD.LI.AA.LI.EEE.I.JKFF..JKHH A77 B97 C97 D88 E59 H83 I52 J79 K98 L93 
5 0 5 BBBCCLDD...LI.AA.LI.EEE.I.JKFF..JKHH A77 B97 C97 D86 E59 H83 I52 J79 K98 L93 
5 0 5 BBBCCLDD...LI.AA.LIEEE..I.JKFF..JKHH A77 B97 C97 D86 E58 H83 I52 J79 K98 L93 
5 0 5 BBBCC.DD...LI.AA.LIEEE.LI.JKFF..JKHH A77 B97 C97 D86 E58 H83 I52 J79 K98 L92 
5 0 5 BBBCC...DD.LI.AA.LIEEE.LI.JKFF..JKHH A77 B97 C97 D84 E58 H83 I52 J79 K98 L92 
5 0 5 BBB.CC..DD.LI.AA.LIEEE.LI.JKFF..JKHH A77 B97 C96 D84 E58 H83 I52 J79 K98 L92 
5 0 5 BBB.CC..DD.L..AA.LIEEE.LI.JKFFI.JKHH A77 B97 C96 D84 E58 H83 I51 J79 K98 L92 
