10 0 10 HIBBCCHI.DD.HAAKL.FFFKL...J.LM..JGGM 
5 0 5 HIBBCCHI.DD.HAA.L.FFFKL...JKLM..JGGM K99 
5 0 5 HIBBCCHI.DD.HAA.L.FFFKLM..JKLM..JGG. K99 M99 
5 0 5 HIBBCCHI.DD.HAA.L.FFFKLM..JKLM..J.GG G99 K99 M99 
5 0 5 HIBBCCHI.DD.HAA.L.FFF.LM..JKLM..JKGG G99 K98 M99 
5 0 5 HIBBCCHI.DD.HAA.L..FFFLM..JKLM..JKGG F99 G99 K98 M99 
5 0 5 HIBBCCHI.DD.H.AAL..FFFLM..JKLM..JKGG A99 F99 G99 K98 M99 
5 0 5 .IBBCC.I.DD...AAL.HFFFLMH.JKLMH.JKGG A99 F99 G99 H97 K98 M99 
5 0 5 .IBBCC.I.DD.AA..L.HFFFLMH.JKLMH.JKGG A97 F99 G99 H97 K98 M99 
5 0 5 .IBBCC.I..DDAA..L.HFFFLMH.JKLMH.JKGG A97 D99 F99 G99 H97 K98 M99 
5 0 5 .IBBCC.I..DD.AA.L.HFFFLMH.JKLMH.JKGG A96 D99 F99 G99 H97 K98 M99 
5 0 5 .IBBCCHI..DDHAA.L.HFFFLM..JKLM..JKGG A96 D99 F99 G99 H95 K98 M99 
5 0 5 .IBBCCHI..DDH.AAL.HFFFLM..JKLM..JKGG A95 D99 F99 G99 H95 K98 M99 
5 0 5 .IBBCC.I..DDH.AAL.HFFFLMH.JKLM..JKGG A95 D99 F99 G99 H94 K98 M99 
5 0 5 .IBBCC.IDD..H.AAL.HFFFLMH.JKLM..JKGG A95 D97 F99 G99 H94 K98 M99 
5 0 5 .IBBCC.IDDL.H.AAL.HFFFLMH.JK.M..JKGG A95 D97 F99 G99 H94 K98 L99 M99 
5 0 5 .IBBCC.IDDL...AAL.HFFFLMH.JK.MH.JKGG A95 D97 F99 G99 H93 K98 L99 M99 
5 0 5 .IBBCC.IDDL.AA..L.HFFFLMH.JK.MH.JKGG A93 D97 F99 G99 H93 K98 L99 M99 
5 0 5 .IBBCC.IDDL..AA.L.HFFFLMH.JK.MH.JKGG A94 D97 F99 G99 H93 K98 L99 M99 
5 0 5 HIBBCCHIDDL.HAA.L..FFFLM..JK.M..JKGG A94 D97 F99 G99 H90 K98 L99 M99 
5 0 5 HIBBCCHIDDL.HAA.L.FFF.LM..JK.M..JKGG A94 D97 F98 G99 H90 K98 L99 M99 
5 0 5 HIBBCCHIDDL.HAA.L.FFFKLM..JK.M..J.GG A94 D97 F98 G99 H90 K97 L99 M99 
5 0 5 HIBBCCHIDDL.HAA.L.FFFKLM..JK.M..JGG. A94 D97 F98 G98 H90 K97 L99 M99 
5 0 5 HIBBCCHIDDL.HAA.L.FFFKL...JK.M..JGGM A94 D97 F98 G98 H90 K97 L99 M98 
5 0 5 HIBBCCHIDDL.H.AAL.FFFKL...JK.M..JGGM A93 D97 F98 G98 H90 K97 L99 M98 
5 0 5 HIBBCCHIDD..H.AAL.FFFKL...JKLM..JGGM A93 D97 F98 G98 H90 K97 L98 M98 
5 0 5 HIBBCCHIDD..H.AAL.FFFKLM..JKLM..JGG. A93 D97 F98 G98 H90 K97 L98 M97 
5 0 5 HIBBCCHIDD..H.AAL.FFFKLM..JKLM..J.GG A93 D97 F98 G97 H90 K97 L98 M97 
5 0 5 HIBBCCHIDD..H.AAL.FFF.LM..JKLM..JKGG A93 D97 F98 G97 H90 K96 L98 M97 
5 0 5 HIBBCCHI..DDH.AAL.FFF.LM..JKLM..JKGG A93 D95 F98 G97 H90 K96 L98 M97 
5 0 5 H.BBCCHI..DDHIAAL.FFF.LM..JKLM..JKGG A93 D95 F98 G97 H90 I99 K96 L98 M97 
5 0 5 H.BBCCHI..DDHIAAL.FFFKLM..JKLM..J.GG A93 D95 F98 G97 H90 I99 K95 L98 M97 
5 0 5 H.BBCCHI..DDHIAAL.FFFKLM..JKLM..JGG. A93 D95 F98 G96 H90 I99 K95 L98 M97 
5 0 5 H.BBCCHI..DDHIAAL.FFFKL...JKLM..JGGM A93 D95 F98 G96 H90 I99 K95 L98 M96 
5 0 5 H.BBCCHI.DD.HIAAL.FFFKL...JKLM..JGGM A93 D94 F98 G96 H90 I99 K95 L98 M96 
5 0 5 HBB.CCHI.DD.HIAAL.FFFKL...JKLM..JGGM A93 B99 D94 F98 G96 H90 I99 K95 L98 M96 
5 0 5 HBB.CCHI.DD.HIAAL.FFFKLM..JKLM..JGG. A93 B99 D94 F98 G96 H90 I99 K95 L98 M95 
5 0 5 HBB.CCHI.DD.HIAAL.FFFKLM..JKLM..J.GG A93 B99 D94 F98 G95 H90 I99 K95 L98 M95 
5 0 5 HBB.CCHI.DD.HIAAL.FFF.LM..JKLM..JKGG A93 B99 D94 F98 G95 H90 I99 K94 L98 M95 
5 0 5 HBB.CCHI.DD.HIAAL..FFFLM..JKLM..JKGG A93 B99 D94 F97 G95 H90 I99 K94 L98 M95 
5 0 5 .BB.CC.I.DD..IAAL.HFFFLMH.JKLMH.JKGG A93 B99 D94 F97 G95 H87 I99 K94 L98 M95 
5 0 5 .BB.CC.I..DD.IAAL.HFFFLMH.JKLMH.JKGG A93 B99 D93 F97 G95 H87 I99 K94 L98 M95 
5 0 5 .BB.CCHI..DDHIAAL.HFFFLM..JKLM..JKGG A93 B99 D93 F97 G95 H85 I99 K94 L98 M95 
5 0 5 .BB.CCHIDD..HIAAL.HFFFLM..JKLM..JKGG A93 B99 D91 F97 G95 H85 I99 K94 L98 M95 
5 0 5 .BB.CC.IDD..HIAAL.HFFFLMH.JKLM..JKGG A93 B99 D91 F97 G95 H84 I99 K94 L98 M95 
5 0 5 .BB.CC.IDDL.HIAAL.HFFFLMH.JK.M..JKGG A93 B99 D91 F97 G95 H84 I99 K94 L97 M95 
5 0 5 .BB.CC.IDDL..IAAL.HFFFLMH.JK.MH.JKGG A93 B99 D91 F97 G95 H83 I99 K94 L97 M95 
5 0 5 .BBCC..IDDL..IAAL.HFFFLMH.JK.MH.JKGG A93 B99 C99 D91 F97 G95 H83 I99 K94 L97 M95 
5 0 5 .BBCCM.IDDLM.IAAL.HFFFL.H.JK..H.JKGG A93 B99 C99 D91 F97 G95 H83 I99 K94 L97 M92 
5 0 5 .BBCCM.IDD.M.IAAL.HFFFL.H.JKL.H.JKGG A93 B99 C99 D91 F97 G95 H83 I99 K94 L96 M92 
5 0 5 HBBCCMHIDD.MHIAAL..FFFL...JKL...JKGG A93 B99 C99 D91 F97 G95 H80 I99 K94 L96 M92 
5 0 5 HBBCCMHIDD.MHIAAL.FFF.L...JKL...JKGG A93 B99 C99 D91 F96 G95 H80 I99 K94 L96 M92 
5 0 5 HBBCCMHIDD.MHIAAL.FFFKL...JKL...J.GG A93 B99 C99 D91 F96 G95 H80 I99 K93 L96 M92 
5 0 5 HBBCCMHIDD.MHIAAL.FFFKL...JKL...JGG. A93 B99 C99 D91 F96 G94 H80 I99 K93 L96 M92 
5 0 5 HBBCCMHIDDLMHIAAL.FFFKL...JK....JGG. A93 B99 C99 D91 F96 G94 H80 I99 K93 L95 M92 
5 0 5 HBBCC.HIDDL.HIAAL.FFFKL...JK.M..JGGM A93 B99 C99 D91 F96 G94 H80 I99 K93 L95 M88 
5 0 5 HBB.CCHIDDL.HIAAL.FFFKL...JK.M..JGGM A93 B99 C98 D91 F96 G94 H80 I99 K93 L95 M88 
5 0 5 HBB.CCHIDDL.HIAAL.FFFKLM..JK.M..JGG. A93 B99 C98 D91 F96 G94 H80 I99 K93 L95 M87 
5 0 5 HBB.CCHIDDL.HIAAL.FFFKLM..JK.M..J.GG A93 B99 C98 D91 F96 G93 H80 I99 K93 L95 M87 
5 0 5 HBB.CCHIDDL.HIAAL.FFF.LM..JK.M..JKGG A93 B99 C98 D91 F96 G93 H80 I99 K92 L95 M87 
5 0 5 HBBCC.HIDDL.HIAAL.FFF.LM..JK.M..JKGG A93 B99 C97 D91 F96 G93 H80 I99 K92 L95 M87 
5 0 5 H.BBCCHIDDL.HIAAL.FFF.LM..JK.M..JKGG A93 B98 C98 D91 F96 G93 H80 I99 K92 L95 M87 
5 0 5 H.BBCCHIDDL.HIAAL..FFFLM..JK.M..JKGG A93 B98 C98 D91 F95 G93 H80 I99 K92 L95 M87 
5 0 5 H.BBCCHIDD..HIAAL..FFFLM..JKLM..JKGG A93 B98 C98 D91 F95 G93 H80 I99 K92 L94 M87 
5 0 5 ..BBCC.IDD...IAAL.HFFFLMH.JKLMH.JKGG A93 B98 C98 D91 F95 G93 H77 I99 K92 L94 M87 
5 0 5 BB..CC.IDD...IAAL.HFFFLMH.JKLMH.JKGG A93 B96 C98 D91 F95 G93 H77 I99 K92 L94 M87 
5 0 5 BBCC...IDD...IAAL.HFFFLMH.JKLMH.JKGG A93 B96 C96 D91 F95 G93 H77 I99 K92 L94 M87 
5 0 5 BBCC.M.IDD.M.IAAL.HFFFL.H.JKL.H.JKGG A93 B96 C96 D91 F95 G93 H77 I99 K92 L94 M84 
5 0 5 BBCC.MHIDD.MHIAAL.HFFFL...JKL...JKGG A93 B96 C96 D91 F95 G93 H75 I99 K92 L94 M84 
5 0 5 BBCCLMHIDDLMHIAAL.HFFF....JK....JKGG A93 B96 C96 D91 F95 G93 H75 I99 K92 L92 M84 
5 0 5 BBCCLMHIDDLMHIAAL.H..FFF..JK....JKGG A93 B96 C96 D91 F93 G93 H75 I99 K92 L92 M84 
5 0 5 BBCCLMHIDDLMHIAAL.H.JFFF..JK.....KGG A93 B96 C96 D91 F93 G93 H75 I99 J99 K92 L92 M84 
5 0 5 BBCCLM.IDDLM.IAAL.H.JFFFH.JK..H..KGG A93 B96 C96 D91 F93 G93 H73 I99 J99 K92 L92 M84 
5 0 5 BBCCLM..DDLM..AAL.H.JFFFHIJK..HI.KGG A93 B96 C96 D91 F93 G93 H73 I96 J99 K92 L92 M84 
5 0 5 BBCCLM..DDLM..AAL.H..FFFHIJK..HIJKGG A93 B96 C96 D91 F93 G93 H73 I96 J98 K92 L92 M84 
5 0 5 BBCCLM..DDLM.IAAL.HI.FFFH.JK..H.JKGG A93 B96 C96 D91 F93 G93 H73 I94 J98 K92 L92 M84 
5 0 5 BBCCLM..DDLM.IAAL.HIFFF.H.JK..H.JKGG A93 B96 C96 D91 F92 G93 H73 I94 J98 K92 L92 M84 
5 0 5 BBCCLM..DDLM..AAL.HIFFF.HIJK..H.JKGG A93 B96 C96 D91 F92 G93 H73 I93 J98 K92 L92 M84 
5 0 5 BBCCLMH.DDLMH.AAL.HIFFF..IJK....JKGG A93 B96 C96 D91 F92 G93 H71 I93 J98 K92 L92 M84 
5 0 5 BBCCLMH.DDLMH.AAL.H.FFF..IJK...IJKGG A93 B96 C96 D91 F92 G93 H71 I92 J98 K92 L92 M84 
5 0 5 BBCCLMH.DDLMH.AAL.HFFF...IJK...IJKGG A93 B96 C96 D91 F91 G93 H71 I92 J98 K92 L92 M84 
5 0 5 BBCCLM..DDLMH.AAL.HFFF..HIJK...IJKGG A93 B96 C96 D91 F91 G93 H70 I92 J98 K92 L92 M84 
5 0 5 BBCC.M..DD.MH.AAL.HFFFL.HIJKL..IJKGG A93 B96 C96 D91 F91 G93 H70 I92 J98 K92 L90 M84 
5 0 5 BBCC.M..DD.M..AAL.HFFFL.HIJKL.HIJKGG A93 B96 C96 D91 F91 G93 H69 I92 J98 K92 L90 M84 
5 0 5 BBCC.M..DDLM..AAL.HFFFL.HIJK..HIJKGG A93 B96 C96 D91 F91 G93 H69 I92 J98 K92 L89 M84 
5 0 5 BBCC.M..DDLMAA..L.HFFFL.HIJK..HIJKGG A91 B96 C96 D91 F91 G93 H69 I92 J98 K92 L89 M84 
5 0 5 BBCC....DDL.AA..L.HFFFLMHIJK.MHIJKGG A91 B96 C96 D91 F91 G93 H69 I92 J98 K92 L89 M81 
5 0 5 BBCC....DD..AA..L.HFFFLMHIJKLMHIJKGG A91 B96 C96 D91 F91 G93 H69 I92 J98 K92 L88 M81 
5 0 5 BBCC....DD...AA.L.HFFFLMHIJKLMHIJKGG A90 B96 C96 D91 F91 G93 H69 I92 J98 K92 L88 M81 
5 0 5 BBCC..H.DD..HAA.L.HFFFLM.IJKLM.IJKGG A90 B96 C96 D91 F91 G93 H67 I92 J98 K92 L88 M81 
5 0 5 BBCC.MH.DD.MHAA.L.HFFFL..IJKL..IJKGG A90 B96 C96 D91 F91 G93 H67 I92 J98 K92 L88 M78 
5 0 5 BBCC.MH.DDLMHAA.L.HFFFL..IJK...IJKGG A90 B96 C96 D91 F91 G93 H67 I92 J98 K92 L87 M78 
5 0 5 BBCC.M..DDLMHAA.L.HFFFL.HIJK...IJKGG A90 B96 C96 D91 F91 G93 H66 I92 J98 K92 L87 M78 
5 0 5 BBCC....DDL.HAA.L.HFFFLMHIJK.M.IJKGG A90 B96 C96 D91 F91 G93 H66 I92 J98 K92 L87 M75 
5 0 5 BBCC....DDL.H.AAL.HFFFLMHIJK.M.IJKGG A89 B96 C96 D91 F91 G93 H66 I92 J98 K92 L87 M75 
5 0 5 BBCC..H.DDL.H.AAL.HFFFLM.IJK.M.IJKGG A89 B96 C96 D91 F91 G93 H65 I92 J98 K92 L87 M75 
5 0 5 BBCC..HDD.L.H.AAL.HFFFLM.IJK.M.IJKGG A89 B96 C96 D90 F91 G93 H65 I92 J98 K92 L87 M75 
5 0 5 BBCC.MHDD.LMH.AAL.HFFFL..IJK...IJKGG A89 B96 C96 D90 F91 G93 H65 I92 J98 K92 L87 M72 
5 0 5 BBCC.MHDD..MH.AAL.HFFFL..IJKL..IJKGG A89 B96 C96 D90 F91 G93 H65 I92 J98 K92 L86 M72 
5 0 5 BBCC.MH..DDMH.AAL.HFFFL..IJKL..IJKGG A89 B96 C96 D88 F91 G93 H65 I92 J98 K92 L86 M72 
5 0 5 BBCC..H..DD.H.AAL.HFFFLM.IJKLM.IJKGG A89 B96 C96 D88 F91 G93 H65 I92 J98 K92 L86 M69 
5 0 5 BBCC.....DD...AAL.HFFFLMHIJKLMHIJKGG A89 B96 C96 D88 F91 G93 H63 I92 J98 K92 L86 M69 
5 0 5 BBCC......DD..AAL.HFFFLMHIJKLMHIJKGG A89 B96 C96 D87 F91 G93 H63 I92 J98 K92 L86 M69 
5 0 5 BBCC......DDH.AAL.HFFFLMHIJKLM.IJKGG A89 B96 C96 D87 F91 G93 H62 I92 J98 K92 L86 M69 
5 0 5 BBCC......DDHAA.L.HFFFLMHIJKLM.IJKGG A88 B96 C96 D87 F91 G93 H62 I92 J98 K92 L86 M69 
5 0 5 BBCC..DD....HAA.L.HFFFLMHIJKLM.IJKGG A88 B96 C96 D83 F91 G93 H62 I92 J98 K92 L86 M69 
5 0 5 BBCC.MDD...MHAA.L.HFFFL.HIJKL..IJKGG A88 B96 C96 D83 F91 G93 H62 I92 J98 K92 L86 M66 
5 0 5 BBCC.MDD...M.AA.L.HFFFL.HIJKL.HIJKGG A88 B96 C96 D83 F91 G93 H61 I92 J98 K92 L86 M66 
5 0 5 BBCCLMDD..LM.AA.L.HFFF..HIJK..HIJKGG A88 B96 C96 D83 F91 G93 H61 I92 J98 K92 L84 M66 
5 0 5 BBCCLMDD..LM.AA.L.H..FFFHIJK..HIJKGG A88 B96 C96 D83 F89 G93 H61 I92 J98 K92 L84 M66 
5 0 5 BBCCLMDD..LM.AA.L.H.JFFFHIJK..HI.KGG A88 B96 C96 D83 F89 G93 H61 I92 J97 K92 L84 M66 
5 0 5 BBCCLMDD..LM.AA.L.HIJFFFHIJK..H..KGG A88 B96 C96 D83 F89 G93 H61 I91 J97 K92 L84 M66 
5 0 5 BBCCLMDD..LMHAA.L.HIJFFFHIJK.....KGG A88 B96 C96 D83 F89 G93 H60 I91 J97 K92 L84 M66 
5 0 5 BBCCLMDD..LMHAA.L.HI.FFFHIJK....JKGG A88 B96 C96 D83 F89 G93 H60 I91 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMHAA.L.HIFFF.HIJK....JKGG A88 B96 C96 D83 F88 G93 H60 I91 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMHAA.L.H.FFF.HIJK...IJKGG A88 B96 C96 D83 F88 G93 H60 I90 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMH.AAL.H.FFF.HIJK...IJKGG A87 B96 C96 D83 F88 G93 H60 I90 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMHIAAL.HIFFF.H.JK....JKGG A87 B96 C96 D83 F88 G93 H60 I88 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMHIAAL.HI.FFFH.JK....JKGG A87 B96 C96 D83 F87 G93 H60 I88 J96 K92 L84 M66 
5 0 5 BBCCLMDD..LMHIAAL.HIJFFFH.JK.....KGG A87 B96 C96 D83 F87 G93 H60 I88 J95 K92 L84 M66 
5 0 5 BBCCLMDD..LM.IAAL.HIJFFFH.JK..H..KGG A87 B96 C96 D83 F87 G93 H59 I88 J95 K92 L84 M66 
5 0 5 BBCCLM.DD.LM.IAAL.HIJFFFH.JK..H..KGG A87 B96 C96 D82 F87 G93 H59 I88 J95 K92 L84 M66 
5 0 5 BBCCLM.DD.LM..AAL.HIJFFFHIJK..H..KGG A87 B96 C96 D82 F87 G93 H59 I87 J95 K92 L84 M66 
5 0 5 BBCCLM.DD.LM..AAL.HI.FFFHIJK..H.JKGG A87 B96 C96 D82 F87 G93 H59 I87 J94 K92 L84 M66 
5 0 5 BBCCLMHDD.LMH.AAL.HI.FFF.IJK....JKGG A87 B96 C96 D82 F87 G93 H57 I87 J94 K92 L84 M66 
5 0 5 BBCCLMHDD.LMH.AAL.H..FFF.IJK...IJKGG A87 B96 C96 D82 F87 G93 H57 I86 J94 K92 L84 M66 
5 0 5 BBCCLMHDD.LMH.AAL.H.JFFF.IJK...I.KGG A87 B96 C96 D82 F87 G93 H57 I86 J93 K92 L84 M66 
5 0 5 BBCCLM.DD.LMH.AAL.H.JFFFHIJK...I.KGG A87 B96 C96 D82 F87 G93 H56 I86 J93 K92 L84 M66 
5 0 5 BBCCLM.DD.LMHAA.L.H.JFFFHIJK...I.KGG A86 B96 C96 D82 F87 G93 H56 I86 J93 K92 L84 M66 
5 0 5 BBCCLM.DD.LMHAA.L.H..FFFHIJK...IJKGG A86 B96 C96 D82 F87 G93 H56 I86 J92 K92 L84 M66 
5 0 5 BBCCLM.DD.LMHAA.L.HFFF..HIJK...IJKGG A86 B96 C96 D82 F85 G93 H56 I86 J92 K92 L84 M66 
5 0 5 BBCCLMHDD.LMHAA.L.HFFF...IJK...IJKGG A86 B96 C96 D82 F85 G93 H55 I86 J92 K92 L84 M66 
5 0 5 BBCCLMHDD.LMHAA.L.H.FFF..IJK...IJKGG A86 B96 C96 D82 F84 G93 H55 I86 J92 K92 L84 M66 
