15 0 15 F..BBBF..H.KAA.HJKCCCIJK..GIDDEEG... 
15 0 15 F..BBBF..H.KAA.HJKCCC.JK..GIDDEEGI.. I99 
15 0 15 F..BBBF..H.KAA.HJK.CCCJK..GIDDEEGI.. C99 I99 
15 0 15 F..BBBF..HJKAA.HJK.CCC.K..GIDDEEGI.. C99 I99 J99 
15 0 15 F..BBBF..HJKAA.HJK..CCCK..GIDDEEGI.. C98 I99 J99 
15 0 15 F..BBBF..HJK.AAHJK..CCCK..GIDDEEGI.. A99 C98 I99 J99 
15 0 15 F..BBBF..HJK.AAHJKCCC..K..GIDDEEGI.. A99 C96 I99 J99 
15 0 15 F..BBBF..HJK.AAHJKCCCI.K..GIDDEEG... A99 C96 I98 J99 
15 0 15 ...BBBF..HJKFAAHJKCCCI.K..GIDDEEG... A99 C96 F99 I98 J99 
15 0 15 ...BBBF..H.KFAAHJKCCCIJK..GIDDEEG... A99 C96 F99 I98 J98 
15 0 15 ...BBBF..H.KFAAHJKCCC.JK..GIDDEEGI.. A99 C96 F99 I97 J98 
15 0 15 ...BBBF..H.KFAAHJK.CCCJK..GIDDEEGI.. A99 C95 F99 I97 J98 
15 0 15 ...BBBF..HJKFAAHJK.CCC.K..GIDDEEGI.. A99 C95 F99 I97 J97 
15 0 15 ...BBB...HJK.AAHJKFCCC.KF.GIDDEEGI.. A99 C95 F97 I97 J97 
15 0 15 ...BBB...HJKAA.HJKFCCC.KF.GIDDEEGI.. A98 C95 F97 I97 J97 
15 0 15 ...BBB...HJKAA.HJKF.CCCKF.GIDDEEGI.. A98 C94 F97 I97 J97 
15 0 15 BBB......HJKAA.HJKF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 I97 J97 
10 0 10 BBB.J....HJKAA.H.KF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 I97 J96 
5 0 5 BBBHJ....HJKAA...KF.CCCKF.GIDDEEGI.. A98 B97 C94 F97 H99 I97 J96 
5 0 5 BBBHJ....HJKAA...KFCCC.KF.GIDDEEGI.. A98 B97 C93 F97 H99 I97 J96 
5 0 5 BBBHJ....HJK...AAKFCCC.KF.GIDDEEGI.. A95 B97 C93 F97 H99 I97 J96 
5 0 5 BBBHJ.F..HJKF..AAK.CCC.K..GIDDEEGI.. A95 B97 C93 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKF..AAK..CCCK..GIDDEEGI.. A95 B97 C92 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..K..CCCK..GIDDEEGI.. A93 B97 C92 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..KCCC..K..GIDDEEGI.. A93 B97 C90 F95 H99 I97 J96 
5 0 5 BBBHJ.F..HJKFAA..KCCCI.K..GIDDEEG... A93 B97 C90 F95 H99 I96 J96 
5 0 5 BBBHJ.F..HJKF..AAKCCCI.K..GIDDEEG... A91 B97 C90 F95 H99 I96 J96 
5 0 5 BBBHJKF..HJKF..AAKCCCI....GIDDEEG... A91 B97 C90 F95 H99 I96 J96 K99 
5 0 5 BBBHJKF..HJKF..AAKCCC.....GIDDEEGI.. A91 B97 C90 F95 H99 I95 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK...CCC..GIDDEEGI.. A91 B97 C87 F95 H99 I95 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAK...CCC...IDDEE.I.. A91 B97 C87 F95 G97 H99 I95 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAK...CCC...IDD.EEI.. A91 B97 C87 E99 F95 G97 H99 I95 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAKCCC......IDD.EEI.. A91 B97 C84 E99 F95 G97 H99 I95 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAKCCCI.....IDD.EE... A91 B97 C84 E99 F95 G97 H99 I94 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAKCCCI.....IDD....EE A91 B97 C84 E96 F95 G97 H99 I94 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAKCCC......IDD...IEE A91 B97 C84 E96 F95 G97 H99 I93 J96 K99 
5 0 5 BBBHJKF.GHJKF.GAAK...CCC...IDD...IEE A91 B97 C81 E96 F95 G97 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAK...CCC..GIDD..GIEE A91 B97 C81 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAKCCC.....GIDD..GIEE A91 B97 C78 E96 F95 G94 H99 I93 J96 K99 
5 0 5 BBBHJKF..HJKF..AAKCCCI....GIDD..G.EE A91 B97 C78 E96 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJKF..HJKF..AAKCCCI....GIDD..GEE. A91 B97 C78 E95 F95 G94 H99 I92 J96 K99 
5 0 5 BBBHJ.F..HJKF..AAKCCCI.K..GIDD..GEE. A91 B97 C78 E95 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJ.F..HJKFAA..KCCCI.K..GIDD..GEE. A89 B97 C78 E95 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJ.F..HJKFAA..KCCCI.K..GIDD..G.EE A89 B97 C78 E94 F95 G94 H99 I92 J96 K98 
5 0 5 BBBHJ.F..HJKFAA..KCCC..K..GIDD..GIEE A89 B97 C78 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKFAA..K..CCCK..GIDD..GIEE A89 B97 C76 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF..AAK..CCCK..GIDD..GIEE A87 B97 C76 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF..AAK.CCC.K..GIDD..GIEE A87 B97 C75 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ.F..HJKF.AA.K.CCC.K..GIDD..GIEE A86 B97 C75 E94 F95 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK..AA.K.CCC.KF.GIDDF.GIEE A86 B97 C75 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJK..AA.K..CCCKF.GIDDF.GIEE A86 B97 C74 E94 F92 G94 H99 I91 J96 K98 
5 0 5 BBBHJ....HJKF.AA.KF.CCCK..GIDD..GIEE A86 B97 C74 E94 F90 G94 H99 I91 J96 K98 
5 0 5 BBBHJK...HJKF.AA.KF.CCC...GIDD..GIEE A86 B97 C74 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF.AA.KF..CCC..GIDD..GIEE A86 B97 C73 E94 F90 G94 H99 I91 J96 K97 
5 0 5 BBBHJK...HJKF.AA.KF.GCCC..GIDD...IEE A86 B97 C73 E94 F90 G93 H99 I91 J96 K97 
5 0 5 BBBHJK...HJK..AA.K..GCCCF.GIDDF..IEE A86 B97 C73 E94 F88 G93 H99 I91 J96 K97 
