11 0 11 HBBL..H.JLCCI.JAAMI.KDDM..KEEN.FF..N 
10 0 10 HBBL..H.JLCCI.JAAMI.KDDM..KEEN...FFN F98 
9 0 9 HBBL..H.JLCCI.JAAMI..DDM..KEEN..KFFN F98 K99 
8 0 8 HBBL..H.JLCC..JAAM...DDMI.KEENI.KFFN F98 I98 K99 
7 0 7 .BBL..H.JLCCH.JAAM...DDMI.KEENI.KFFN F98 H99 I98 K99 
7 0 7 .BBL..H.JLCCH.JAAMI..DDMI.KEEN..KFFN F98 H99 I97 K99 
7 0 7 BB.L..H.JLCCH.JAAM...DDMI.KEENI.KFFN B99 F98 H99 I98 K99 
7 0 7 BB.L..H.JLCCH.JAAM..KDDMI.KEENI..FFN B99 F98 H99 I98 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENI..FFN B99 F98 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENIFF..N B99 F96 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCH..AAM..KDDMI.KEENI.FF.N B99 F97 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCHAA..M..KDDMI.KEENI..FFN A98 B99 F98 H99 I98 J99 K98 
7 0 7 BBJL..H.JLCCHAA..M...DDMI.KEENI.KFFN A98 B99 F98 H99 I98 J99 K97 
7 0 7 BBJL..H.JLCCH..AAM...DDMI.KEENI.KFFN B99 F98 H99 I98 J99 K99 
8 0 8 BBJL..H.JLCCH..AAMI..DDMI.KEEN..KFFN B99 F98 H99 I97 J99 K99 
8 0 8 BBJL..H.JLCCH..AAM.DD..MI.KEENI.KFFN B99 D98 F98 H99 I98 J99 K99 
8 0 8 BBJL..H.JLCCH..AAM..DD.MI.KEENI.KFFN B99 D99 F98 H99 I98 J99 K99 
8 0 8 BBJL....JLCCH..AAMH..DDMI.KEENI.KFFN B99 F98 H98 I98 J99 K99 
8 0 8 BBJL..H.JLCCHAA..MI..DDMI.KEEN..KFFN A98 B99 F98 H99 I97 J99 K97 
8 0 8 BBJL..H.JLCCHAA..M.DD..MI.KEENI.KFFN A98 B99 D98 F98 H99 I98 J99 K97 
8 0 8 BBJ...H.J.CCHAAL.M.DDL.MI.KEENI.KFFN A98 B99 D98 F98 H99 I98 J99 K97 L98 
8 0 8 BBJ...H.JCC.HAAL.M.DDL.MI.KEENI.KFFN A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 
8 0 8 BBJ..MH.JCCMHAAL...DDL..I.KEENI.KFFN A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 M98 
7 0 7 BBJ..MH.JCCMHAAL.N.DDL.NI.KEE.I.KFF. A98 B99 C99 D98 F98 H99 I98 J99 K97 L98 M98 N98 
7 0 7 BBJ..MH.JCCMHAAL.N.DDL.NI.KEE.I.K.FF A98 B99 C99 D98 F97 H99 I98 J99 K97 L98 M98 N98 
7 0 7 BBJ..MH.JCCMHAAL.N.DDL.NI.K.EEI.K.FF A98 B99 C99 D98 E99 F97 H99 I98 J99 K97 L98 M98 N98 
7 0 7 BBJ..MH.JCCMHAA..N.DDL.NI.KLEEI.K.FF A98 B99 C99 D98 E99 F97 H99 I98 J99 K97 L97 M98 N98 
6 0 6 BBJ..MH.JCCMH..AAN.DDL.NI.KLEEI.K.FF A96 B99 C99 D98 E99 F97 H99 I98 J99 K97 L97 M98 N98 
6 0 6 BB...MH.JCCMH.JAAN.DDL.NI.KLEEI.K.FF A96 B99 C99 D98 E99 F97 H99 I98 J98 K97 L97 M98 N98 
6 0 6 ...BBMH.JCCMH.JAAN.DDL.NI.KLEEI.K.FF A96 B96 C99 D98 E99 F97 H99 I98 J98 K97 L97 M98 N98 
6 0 6 ...BBMH.JCCMH.JAANDD.L.NI.KLEEI.K.FF A96 B96 C99 D97 E99 F97 H99 I98 J98 K97 L97 M98 N98 
6 0 6 ..JBBMH.JCCMH..AANDD.L.NI.KLEEI.K.FF A96 B96 C99 D97 E99 F97 H99 I98 J97 K97 L97 M98 N98 
6 0 6 H.JBBMH.JCCM...AANDD.L.NI.KLEEI.K.FF A96 B96 C99 D97 E99 F97 H98 I98 J97 K97 L97 M98 N98 
6 0 6 H.JBBMH.JCCM...AAN.DDL.NI.KLEEI.K.FF A96 B96 C99 D96 E99 F97 H98 I98 J97 K97 L97 M98 N98 
6 0 6 H..BBMH.JCCM..JAANDD.L.NI.KLEEI.K.FF A96 B96 C99 D97 E99 F97 H98 I98 J98 K97 L97 M98 N98 
6 0 6 HBB..MH.JCCM..JAANDD.L.NI.KLEEI.K.FF A96 B94 C99 D97 E99 F97 H98 I98 J98 K97 L97 M98 N98 
6 0 6 H.BB.MH.JCCM..JAANDD.L.NI.KLEEI.K.FF A96 B95 C99 D97 E99 F97 H98 I98 J98 K97 L97 M98 N98 
6 0 6 .BB..MH.JCCMH.JAANDD.L.NI.KLEEI.K.FF A96 B94 C99 D97 E99 F97 H99 I98 J98 K97 L97 M98 N98 
6 0 6 ..BB.MH.JCCMH.JAANDD.L.NI.KLEEI.K.FF A96 B95 C99 D97 E99 F97 H99 I98 J98 K97 L97 M98 N98 
6 0 6 ..JBBMH.JCCMH..AAN.DDL.NI.KLEEI.K.FF A96 B96 C99 D98 E99 F97 H99 I98 J97 K97 L97 M98 N98 
6 0 6 H..BBMH.JCCM..JAAN.DDL.NI.KLEEI.K.FF A96 B96 C99 D98 E99 F97 H98 I98 J98 K97 L97 M98 N98 
7 0 7 H..BBMH.JCCM..JAAN.DDL.NI.KLEEI.KFF. A96 B96 C99 D98 E99 F96 H98 I98 J98 K97 L97 M98 N98 
7 0 7 H..BBMH.JCCM..JAAN.DD..NI.KLEEI.KLFF A96 B96 C99 D98 E99 F97 H98 I98 J98 K97 L96 M98 N98 
