8 0 8 ......CCI..LH.IAALHDDK.LEEJK....JGGG 
7 0 7 ..I...CCI..LH..AALHDDK.LEEJK....JGGG I99 
7 0 7 ..I...CCI...H..AALHDDK.LEEJK.L..JGGG I99 L99 
7 0 7 ..I...CCI...HAA..LHDDK.LEEJK.L..JGGG A98 I99 L99 
6 0 6 ..IK..CCIK..HAA..LHDD..LEEJ..L..JGGG A98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH..DDLEEJ..L..JGGG A98 D98 I99 K97 L99 
5 0 5 ..IK..CCIK..HAA..LH.JDDLEEJ..L...GGG A98 D98 I99 J99 K97 L99 
4 0 4 ..IK.LCCIK.LHAA..LH.JDD.EEJ......GGG A98 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ......GGG A96 D98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ...GGG... A96 D98 G97 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ....GGG.. A96 D98 G98 I99 J99 K97 L97 
4 0 4 ..IK.LCCIK.LH..AALH.JDD.EEJ.....GGG. A96 D98 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH..AALH.J.DDEEJ.....GGG. A96 D97 G99 I99 J99 K97 L97 
5 0 5 ..IK.LCCIK.LH.JAALH.JDD.EE......GGG. A96 D98 G99 I99 J98 K97 L97 
4 0 4 ..IK.LCCIK.LH.JAALH.JDD.....EE..GGG. A96 D98 E96 G99 I99 J98 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE..GGG. A96 D98 E96 G99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EE...GGG A96 D98 E96 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE....GGG A96 D98 E95 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE.GGG... A96 D98 E95 G95 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.JEE.GGG... A96 D98 E95 G95 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.JEE...GGG. A96 D98 E95 G93 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.JEE...GGG. A93 D98 E95 G93 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.JEE....GGG A93 D98 E95 G92 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.J.EE...GGG A93 D98 E94 G92 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.J.EE.GGG.. A93 D98 E94 G90 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.J.EEHGGG.. A93 D98 E94 G90 H98 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.J.EEH.GGG. A93 D98 E94 G89 H98 I99 J97 K97 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.J.EEH.GGG. A93 D98 E94 G89 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.J.EEH..GGG A93 D98 E94 G88 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.JEE.H..GGG A93 D98 E93 G88 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.JEE.HGGG.. A93 D98 E93 G86 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.JEE..GGG.. A93 D98 E93 G86 H97 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.JEE.H.GGG. A93 D98 E93 G89 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.J.EE..GGG. A93 D98 E94 G89 H97 I99 J97 K96 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.JEE.HGGG.. A93 D98 E93 G90 H98 I99 J97 K97 L97 
1 0 1 ..I..LCCIK.LAA.K.L..JDD.H.J.EEHGGG.. A93 D98 E94 G90 H98 I99 J97 K96 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.J.EE.GGG.. A93 D98 E94 G90 H99 I99 J97 K96 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.J.EEH..GGG A93 D98 E94 G92 H98 I99 J97 K97 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.J.EE...GGG A93 D98 E94 G92 H99 I99 J97 K96 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.JEE.H..GGG A93 D98 E95 G92 H98 I99 J97 K97 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.JEE....GGG A93 D98 E95 G92 H99 I99 J97 K96 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.JEE..GGG.. A93 D98 E95 G92 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...LH.JDD.H.J.EE..GGG. A93 D98 E94 G93 H99 I99 J97 K97 L97 
1 0 1 ..IK.LCCIK.LAA...L..JDD.H.JEE.H.GGG. A93 D98 E95 G93 H98 I99 J97 K97 L97 
1 0 1 ..I..LCCIK.LAA.K.LH.JDD.H.JEE...GGG. A93 D98 E95 G93 H99 I99 J97 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.JEE...GGG. A93 D97 E95 G93 H99 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.JEE...GGG. A93 D98 E95 G93 H99 I99 J97 K96 L96 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.JEE.H.GGG. A93 D97 E95 G93 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.JEE.H.GGG. A93 D98 E95 G93 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.J.EE..GGG. A93 D97 E94 G93 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.J.EE..GGG. A93 D98 E94 G93 H99 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.JEE..GGG.. A93 D97 E95 G92 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.JEE..GGG.. A93 D98 E95 G92 H99 I99 J97 K97 L96 
2 0 2 ..I..LCCIK.LAA.K.LH..DD.H.JEE...JGGG A93 D98 E95 G92 H99 I99 J96 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH..DDLH.JEE...JGGG A93 D98 E95 G92 H99 I99 J96 K96 L96 
2 0 2 ..I...CCIK.LAA.K.LH..DDLH.J.EE..JGGG A93 D98 E94 G92 H99 I99 J96 K96 L96 
2 0 2 ..I...CCIK.LAA.K.L...DDLH.J.EEH.JGGG A93 D98 E94 G92 H98 I99 J96 K96 L96 
2 0 2 ..IK..CCIK.LAA...L...DDLH.J.EEH.JGGG A93 D98 E94 G92 H98 I99 J96 K95 L96 
2 0 2 ..IK..CCIK.LAA...L...DDLH.JEE.H.JGGG A93 D98 E93 G92 H98 I99 J96 K95 L96 
2 0 2 ..IK..CCIK.LAA...LH..DDLH.J.EE..JGGG A93 D98 E94 G92 H99 I99 J96 K95 L96 
2 0 2 ..I...CCIK.LAA.K.L...DDLH.JEE.H.JGGG A93 D98 E95 G92 H98 I99 J96 K96 L96 
2 0 2 ..IK..CCIK.LAA...LH..DDLH.JEE...JGGG A93 D98 E95 G92 H99 I99 J96 K95 L96 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.JEE....GGG A93 D97 E95 G92 H99 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.JEE....GGG A93 D98 E95 G92 H99 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.L.AAK.LH.JDD.H.JEE....GGG A92 D98 E95 G92 H99 I99 J97 K96 L97 
2 0 2 .....LCCIK.LAAIK.LH.JDD.H.JEE....GGG A93 D98 E95 G92 H99 I98 J97 K96 L97 
2 0 2 ..IK.LCCIK.LAA...L...DD.H.JEE.H.JGGG A93 D98 E95 G92 H98 I99 J96 K97 L97 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.JEE.H..GGG A93 D97 E95 G92 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.JEE.H..GGG A93 D98 E95 G92 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L.AA..L..JDD.H.JEE.H..GGG A92 D98 E95 G92 H98 I99 J97 K97 L97 
2 0 2 ...K.LCCIK.LAAI..L..JDD.H.JEE.H..GGG A93 D98 E95 G92 H98 I98 J97 K97 L97 
2 0 2 ..I..LCCIK.LAA.K.LH..DD.H.J.EE..JGGG A93 D98 E94 G92 H99 I99 J96 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.J.EE...GGG A93 D97 E94 G92 H99 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.J.EE...GGG A93 D98 E94 G92 H99 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.L.AAK.LH.JDD.H.J.EE...GGG A92 D98 E94 G92 H99 I99 J97 K96 L97 
2 0 2 .....LCCIK.LAAIK.LH.JDD.H.J.EE...GGG A93 D98 E94 G92 H99 I98 J97 K96 L97 
2 0 2 ..IK.LCCIK.LAA...L...DD.H.J.EEH.JGGG A93 D98 E94 G92 H98 I99 J96 K97 L97 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.J.EEH..GGG A93 D97 E94 G92 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.J.EEH..GGG A93 D98 E94 G92 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L.AA..L..JDD.H.J.EEH..GGG A92 D98 E94 G92 H98 I99 J97 K97 L97 
2 0 2 ...K.LCCIK.LAAI..L..JDD.H.J.EEH..GGG A93 D98 E94 G92 H98 I98 J97 K97 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.J.EE.GGG.. A93 D97 E94 G90 H99 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.J.EE.GGG.. A93 D98 E94 G90 H99 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.J.EEHGGG.. A93 D97 E94 G90 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.J.EEHGGG.. A93 D98 E94 G90 H98 I99 J97 K96 L96 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.JEE.HGGG.. A93 D97 E93 G90 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.JEE.HGGG.. A93 D98 E93 G90 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.JEE.HGGG.. A90 D98 E93 G90 H98 I99 J97 K97 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.JDD.H.J.EEGGG... A93 D98 E94 G87 H97 I99 J97 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.J.EE..GGG. A93 D97 E94 G89 H97 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.J.EE..GGG. A93 D98 E94 G89 H97 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.JEE.H.GGG. A93 D97 E93 G89 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.JEE.H.GGG. A93 D98 E93 G89 H98 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.LAA.K.LH.JDD.H.JEE.GGG... A93 D98 E93 G85 H97 I99 J97 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.LH.J.DDH.JEE..GGG.. A93 D97 E93 G86 H97 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.LH.JDDLH.JEE..GGG.. A93 D98 E93 G86 H97 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.JEE.HGGG.. A93 D97 E93 G86 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.JEE.HGGG.. A93 D98 E93 G86 H98 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.LAA.K.L...DD.H.JEE.H.JGGG A93 D98 E93 G88 H98 I99 J96 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.JEE.H..GGG A93 D97 E93 G88 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.JEE.H..GGG A93 D98 E93 G88 H98 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.L.AAK.L..JDD.H.JEE.H..GGG A92 D98 E93 G88 H98 I99 J97 K96 L97 
2 0 2 .....LCCIK.LAAIK.L..JDD.H.JEE.H..GGG A93 D98 E93 G88 H98 I98 J97 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.L...DD.H.J.EEH.JGGG A93 D98 E94 G88 H98 I99 J96 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.J.EEH..GGG A93 D97 E94 G88 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.J.EEH..GGG A93 D98 E94 G88 H98 I99 J97 K96 L96 
2 0 2 ..I..LCCIK.L.AAK.L..JDD.H.J.EEH..GGG A92 D98 E94 G88 H98 I99 J97 K96 L97 
2 0 2 .....LCCIK.LAAIK.L..JDD.H.J.EEH..GGG A93 D98 E94 G88 H98 I98 J97 K96 L97 
2 0 2 ..I..LCCIK.LAA.K.L..J.DDH.J.EEH.GGG. A93 D97 E94 G89 H98 I99 J97 K96 L97 
2 0 2 ..I...CCIK.LAA.K.L..JDDLH.J.EEH.GGG. A93 D98 E94 G89 H98 I99 J97 K96 L96 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.J.EEH.GGG. A93 D97 E94 G89 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.J.EEH.GGG. A93 D98 E94 G89 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.LAA...L..J.DDH.J.EEHGGG.. A93 D97 E94 G90 H98 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...L..JDDLH.J.EEHGGG.. A93 D98 E94 G90 H98 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.J.EEHGGG.. A90 D98 E94 G90 H98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.J.EE.GGG.. A93 D97 E94 G90 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.J.EE.GGG.. A93 D98 E94 G90 H99 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.J.EE.GGG.. A90 D98 E94 G90 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.JDD.H.J.EEGGG... A93 D98 E94 G89 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH..DD.H.J.EE..JGGG A93 D98 E94 G92 H99 I99 J96 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.J.EE...GGG A93 D97 E94 G92 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.J.EE...GGG A93 D98 E94 G92 H99 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L.AA..LH.JDD.H.J.EE...GGG A92 D98 E94 G92 H99 I99 J97 K97 L97 
2 0 2 ...K.LCCIK.LAAI..LH.JDD.H.J.EE...GGG A93 D98 E94 G92 H99 I98 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH..DD.H.JEE...JGGG A93 D98 E95 G92 H99 I99 J96 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.JEE....GGG A93 D97 E95 G92 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.JEE....GGG A93 D98 E95 G92 H99 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L.AA..LH.JDD.H.JEE....GGG A92 D98 E95 G92 H99 I99 J97 K97 L97 
2 0 2 ...K.LCCIK.LAAI..LH.JDD.H.JEE....GGG A93 D98 E95 G92 H99 I98 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.J.DDH.JEE...GGG. A93 D97 E95 G93 H99 I99 J97 K97 L97 
2 0 2 ..IK..CCIK.LAA...LH.JDDLH.JEE...GGG. A93 D98 E95 G93 H99 I99 J97 K97 L96 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.JEE.H.GGG. A96 D98 E95 G93 H98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.JEE..GGG.. A96 D98 E95 G94 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.J.EEGGG... A96 D98 E94 G95 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LAA...LH.JDD.H.JEE.GGG... A93 D98 E95 G95 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...JEE..GGG.. A96 D98 E95 G96 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.JEE.H..GGG A96 D98 E95 G98 H98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.JEE....GGG A96 D98 E95 G98 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LHAA..LH.JDD...JEE....GGG A94 D98 E95 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AAL..JDD.H.J.EEH..GGG A96 D98 E96 G98 H98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.L...AALH.JDD.H.J.EE...GGG A96 D98 E96 G98 H99 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LHAA..LH.JDD...J.EE...GGG A94 D98 E96 G98 I99 J97 K97 L97 
2 0 2 ..IK.LCCIK.LH..AALH.JDD...J.EEGGG... A96 D98 E96 G97 I99 J97 K97 L97 
