9 0 9 BBH...F.HCCCFAAIJKDD.IJKG..I.LGEEE.L 
7 0 7 BBH...F.HCCCFAAIJK.DDIJKG..I.LGEEE.L D99 
7 0 7 BBH...F.HCCCFAAIJK.DDIJKG..I.LG.EEEL D99 E99 
7 0 7 BBH...F.HCCCFAAI.K.DDIJKG..IJLG.EEEL D99 E99 J99 
7 0 7 BBH...F.HCCCFAAI.K.DDIJKG..IJLGEEE.L D99 J99 
8 0 8 BBH...F.HCCCFAAI.K.DDI.KG..IJLGEEEJL D99 J98 
9 0 9 BBH...F.HCCCFAAI.KGDDI.KG..IJL.EEEJL D99 G99 J98 
9 0 9 BBH...F.HCCCFAAI.KGDDI.KG..IJLEEE.JL D99 E99 G99 J98 
9 0 9 BBH...F.HCCCFAAIJKGDDIJKG..I.LEEE..L D99 E99 G99 J96 
9 0 9 BBH...F.HCCCFAA.JKGDDIJKG..I.LEEEI.L D99 E99 G99 I99 J96 
9 0 9 BBH...F.HCCCFAA..KGDDIJKG..IJLEEEI.L D99 E99 G99 I99 J95 
9 0 9 BBH...F.HCCCF..AAKGDDIJKG..IJLEEEI.L A98 D99 E99 G99 I99 J95 
9 0 9 BBH...F.HCCCF..AAKGDDI.KG..IJLEEEIJL A98 D99 E99 G99 I99 J94 
9 0 9 BB....F.HCCCF.HAAKGDDI.KG..IJLEEEIJL A98 D99 E99 G99 H99 I99 J94 
8 0 8 ....BBF.HCCCF.HAAKGDDI.KG..IJLEEEIJL A98 B96 D99 E99 G99 H99 I99 J94 
7 0 7 ..H.BBF.HCCCF..AAKGDDI.KG..IJLEEEIJL A98 B96 D99 E99 G99 H98 I99 J94 
6 0 6 F.H.BBF.HCCC...AAKGDDI.KG..IJLEEEIJL A98 B96 D99 E99 F99 G99 H98 I99 J94 
6 0 6 F.H.BBF.HCCC...AAKGDDIJKG..IJLEEEI.L A98 B96 D99 E99 F99 G99 H98 I99 J93 
6 0 6 F.H.BBF.HCCC.AA..KGDDIJKG..IJLEEEI.L A96 B96 D99 E99 F99 G99 H98 I99 J93 
5 0 5 F.H.BBF.HCCC.AAI.KGDDIJKG..IJLEEE..L A96 B96 D99 E99 F99 G99 H98 I98 J93 
5 0 5 F.H.BBF.HCCC.AAI.KGDDI.KG..IJLEEE.JL A96 B96 D99 E99 F99 G99 H98 I98 J92 
5 0 5 F.HBB.F.HCCC.AAI.KGDDI.KG..IJLEEE.JL A96 B95 D99 E99 F99 G99 H98 I98 J92 
5 0 5 F.HBB.F.HCCC.AAIJKGDDIJKG..I.LEEE..L A96 B95 D99 E99 F99 G99 H98 I98 J90 
5 0 5 F.H.BBF.HCCC.AAIJKGDDIJKG..I.LEEE..L A96 B96 D99 E99 F99 G99 H98 I98 J92 
5 0 5 F.HBB.F.HCCC.AAI.KGDDIJKG..IJLEEE..L A96 B95 D99 E99 F99 G99 H98 I98 J93 
6 0 6 F.HBB.F.HCCC.AAI.KGDDIJKG..IJL..EEEL A96 B95 D99 E97 F99 G99 H98 I98 J93 
5 0 5 F.HBB.F.HCCC.AAI.K.DDIJKG..IJLG.EEEL A96 B95 D99 E97 F99 G98 H98 I98 J93 
5 0 5 F.HBB.F.HCCC.AAI.K.DDIJKG..IJLGEEE.L A96 B95 D99 E96 F99 G98 H98 I98 J93 
5 0 5 F.HBB.F.HCCC.AAIJK.DDIJKG..I.LGEEE.L A96 B95 D99 E96 F99 G98 H98 I98 J92 
5 0 5 F.HBB.F.HCCCAA.IJK.DDIJKG..I.LGEEE.L A95 B95 D99 E96 F99 G98 H98 I98 J92 
5 0 5 F.HBB.F.HCCCAA.IJK.DDIJKG..I.LG.EEEL A95 B95 D99 E95 F99 G98 H98 I98 J92 
5 0 5 F.H.BBF.HCCCAA.IJK.DDIJKG..I.LG.EEEL A95 B94 D99 E95 F99 G98 H98 I98 J92 
5 0 5 F.H.BBF.HCCCAA.I.K.DDIJKG..IJLG.EEEL A95 B94 D99 E95 F99 G98 H98 I98 J91 
5 0 5 F.H.BBF.HCCCAA.I.K.DDIJKG..IJLGEEE.L A95 B94 D99 E94 F99 G98 H98 I98 J91 
5 0 5 F.H.BBF.HCCC.AAIJK.DDIJKG..I.LG.EEEL A94 B94 D99 E95 F99 G98 H98 I98 J92 
5 0 5 F.H.BBF.HCCCAA.IJK.DDIJKG..I.LGEEE.L A95 B94 D99 E96 F99 G98 H98 I98 J92 
5 0 5 F.H.BBF.HCCC.AAIJK.DDIJKG..I.LGEEE.L A96 B94 D99 E96 F99 G98 H98 I98 J92 
5 0 5 F.HBB.F.HCCCAA.I.K.DDIJKG..IJLGEEE.L A95 B95 D99 E96 F99 G98 H98 I98 J93 
5 0 5 F.H.BBF.HCCC.AAI.K.DDIJKG..IJLGEEE.L A96 B94 D99 E96 F99 G98 H98 I98 J93 
5 0 5 F.HBB.F.HCCC.AAIJK.DDIJKG..I.LG.EEEL A96 B95 D99 E97 F99 G98 H98 I98 J92 
5 0 5 F.HBB.F.HCCCAA.I.K.DDIJKG..IJLG.EEEL A95 B95 D99 E97 F99 G98 H98 I98 J93 
5 0 5 F.H.BBF.HCCC.AAI.K.DDIJKG..IJLG.EEEL A96 B94 D99 E97 F99 G98 H98 I98 J93 
6 0 6 F.H.BBF.HCCC.AAI.KDD.IJKG..IJLG.EEEL A96 B94 D98 E97 F99 G98 H98 I98 J93 
6 0 6 ..H.BBF.HCCCFAAI.K.DDIJKG..IJLG.EEEL A96 B94 D99 E97 F98 G98 H98 I98 J93 
6 0 6 F.HBB.F.HCCCAA.I.KDD.IJKG..IJLG.EEEL A95 B95 D98 E97 F99 G98 H98 I98 J93 
6 0 6 F..BB.F..CCCAA.I.KDDHIJKG.HIJLG.EEEL A95 B95 D98 E97 F99 G98 H95 I98 J93 
5 0 5 F..BB.FCCC..AA.I.KDDHIJKG.HIJLG.EEEL A95 B95 C98 D98 E97 F99 G98 H95 I98 J93 
4 0 4 F..BBKFCCC.KAA.I..DDHIJ.G.HIJLG.EEEL A95 B95 C98 D98 E97 F99 G98 H95 I98 J93 K98 
4 0 4 F..BBKFCCC.KAA.I..DDHIJ.G.HIJLGEEE.L A95 B95 C98 D98 E96 F99 G98 H95 I98 J93 K98 
4 0 4 F..BBKFCCC.KAA.I..DDHIJLG.HIJLGEEE.. A95 B95 C98 D98 E96 F99 G98 H95 I98 J93 K98 L99 
4 0 4 F..BBKFCCC.KAA.I..DDHIJLG.HIJLG..EEE A95 B95 C98 D98 E94 F99 G98 H95 I98 J93 K98 L99 
3 0 3 F..BBKFCCC.K.AAI..DDHIJLG.HIJLG..EEE A94 B95 C98 D98 E94 F99 G98 H95 I98 J93 K98 L99 
3 0 3 F..BBKFCCC.K.AAI..DD.IJLG.HIJLG.HEEE A94 B95 C98 D98 E94 F99 G98 H94 I98 J93 K98 L99 
3 0 3 F..BBKFCCC.K.AAIJ.DD.IJLG.HI.LG.HEEE A94 B95 C98 D98 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F..BBKFCCC.K.AAIJ..DDIJLG.HI.LG.HEEE A94 B95 C98 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F..BBKF.CCCK.AAIJ..DDIJLG.HI.LG.HEEE A94 B95 C97 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F..BBKF.CCCK.AAI...DDIJLG.HIJLG.HEEE A94 B95 C97 D97 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAI...DDIJLG.HIJLG.HEEE A94 B93 C97 D97 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAI..DD.IJLG.HIJLG.HEEE A94 B93 C97 D96 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAI..DDHIJLG.HIJLG..EEE A94 B93 C97 D96 E94 F99 G98 H93 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAIJ.DDHIJLG.HI.LG..EEE A94 B93 C97 D96 E94 F99 G98 H93 I98 J90 K98 L99 
3 0 3 FBB..KFCCC.K.AAIJ.DDHIJLG.HI.LG..EEE A94 B93 C96 D96 E94 F99 G98 H93 I98 J90 K98 L99 
3 0 3 F.BB.KFCCC.K.AAIJ.DDHIJLG.HI.LG..EEE A94 B92 C96 D96 E94 F99 G98 H93 I98 J90 K98 L99 
3 0 3 F..BBKF.CCCK.AAIJ.DDHIJLG.HI.LG..EEE A94 B91 C97 D96 E94 F99 G98 H93 I98 J90 K98 L99 
3 0 3 F.BB.KF.CCCK.AAIJ.DDHIJLG.HI.LG..EEE A94 B92 C97 D96 E94 F99 G98 H93 I98 J90 K98 L99 
3 0 3 F.BB.KF.CCCK.AAIJ.DD.IJLG.HI.LG.HEEE A94 B92 C97 D96 E94 F99 G98 H92 I98 J90 K98 L99 
3 0 3 F.BB.KF.CCCK.AAI..DDHIJLG.HIJLG..EEE A94 B92 C97 D96 E94 F99 G98 H93 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAIJ.DD.IJLG.HI.LG.HEEE A94 B93 C97 D96 E94 F99 G98 H94 I98 J90 K98 L99 
3 0 3 F.BB.KF.CCCK.AAI..DD.IJLG.HIJLG.HEEE A94 B92 C97 D96 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 FBB..KFCCC.K.AAI...DDIJLG.HIJLG.HEEE A94 B93 C96 D97 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 F.BB.KFCCC.K.AAI...DDIJLG.HIJLG.HEEE A94 B92 C96 D97 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 F.BB.KF.CCCK.AAI...DDIJLG.HIJLG.HEEE A94 B94 C97 D97 E94 F99 G98 H94 I98 J91 K98 L99 
3 0 3 FBB..KF.CCCK.AAIJ..DDIJLG.HI.LG.HEEE A94 B93 C97 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F.BB.KF.CCCK.AAIJ..DDIJLG.HI.LG.HEEE A94 B94 C97 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 FBB..KFCCC.K.AAIJ..DDIJLG.HI.LG.HEEE A94 B93 C98 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F.BB.KFCCC.K.AAIJ..DDIJLG.HI.LG.HEEE A94 B94 C98 D97 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F..BBKF.CCCK.AAIJ.DD.IJLG.HI.LG.HEEE A94 B95 C97 D98 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 FBB..KFCCC.K.AAIJ.DD.IJLG.HI.LG.HEEE A94 B93 C98 D98 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F.BB.KFCCC.K.AAIJ.DD.IJLG.HI.LG.HEEE A94 B94 C98 D98 E94 F99 G98 H94 I98 J92 K98 L99 
3 0 3 F..BBKFCCC.K.AAI...DDIJLG.HIJLG.HEEE A94 B95 C98 D97 E94 F99 G98 H94 I98 J93 K98 L99 
3 0 3 F..BBKF.CCCK.AAI..DD.IJLG.HIJLG.HEEE A94 B95 C97 D98 E94 F99 G98 H94 I98 J93 K98 L99 
3 0 3 FBB..KFCCC.K.AAI..DD.IJLG.HIJLG.HEEE A94 B93 C98 D98 E94 F99 G98 H94 I98 J93 K98 L99 
3 0 3 F.BB.KFCCC.K.AAI..DD.IJLG.HIJLG.HEEE A94 B94 C98 D98 E94 F99 G98 H94 I98 J93 K98 L99 
3 0 3 F..BBKFCCC.K.AAIJ.DDHIJLG.HI.LG..EEE A94 B95 C98 D98 E94 F99 G98 H95 I98 J92 K98 L99 
3 0 3 F..BBKF.CCCK.AAI..DDHIJLG.HIJLG..EEE A94 B95 C97 D98 E94 F99 G98 H95 I98 J93 K98 L99 
3 0 3 FBB..KFCCC.K.AAI..DDHIJLG.HIJLG..EEE A94 B93 C98 D98 E94 F99 G98 H95 I98 J93 K98 L99 
3 0 3 F.BB.KFCCC.K.AAI..DDHIJLG.HIJLG..EEE A94 B94 C98 D98 E94 F99 G98 H95 I98 J93 K98 L99 
4 0 4 F.BB.KFCCC.K.AAI..DDHIJLG.HIJLGEEE.. A94 B94 C98 D98 E92 F99 G98 H95 I98 J93 K98 L99 
4 0 4 F.BB.KFCCC.K.AAI..DDHIJ.G.HIJLGEEE.L A94 B94 C98 D98 E92 F99 G98 H95 I98 J93 K98 L98 
