10 0 10 .HI.BB.HI..LAAI..LGCCDDLGEEJK.FFFJK. 
10 0 10 .HI.BB.HI...AAI...GCCDDLGEEJKLFFFJKL L98 
10 0 10 .HIBB..HI...AAI...GCCDDLGEEJKLFFFJKL B99 L98 
10 0 10 .HIBBL.HI..LAAI..LGCCDD.GEEJK.FFFJK. B99 L95 
9 0 9 .HIBBL.HI..LAAI..LGCC.DDGEEJK.FFFJK. B99 D99 L95 
7 0 7 .HIBBL.HIJ.LAAIJ.LGCC.DDGEE.K.FFF.K. B99 D99 J97 L95 
6 0 6 .HIBBL.HIJ.LAAIJ.LGCC.DDGEE.K..FFFK. B99 D99 F99 J97 L95 
6 0 6 .HIBBL.HIJ.LAAIJ.LGCC.DDG.EEK..FFFK. B99 D99 E99 F99 J97 L95 
7 0 7 .HIBBL.HIJ.LAAIJ.L.CC.DDG.EEK.GFFFK. B99 D99 E99 F99 G99 J97 L95 
7 0 7 .HIBBL.HIJ.LAAIJ.L.CCDD.G.EEK.GFFFK. B99 D98 E99 F99 G99 J97 L95 
7 0 7 .HIBBL.HIJ.LAAIJ.L.CCDD.GEE.K.GFFFK. B99 D98 E98 F99 G99 J97 L95 
7 0 7 .HIBBL.HIJ.LAAIJ.LCC.DD.GEE.K.GFFFK. B99 C99 D98 E98 F99 G99 J97 L95 
6 0 6 .HIBB..HIJ..AAIJ..CC.DDLGEE.KLGFFFKL B99 C99 D98 E98 F99 G99 J97 L92 
5 0 5 .HI.BB.HIJ..AAIJ..CC.DDLGEE.KLGFFFKL B98 C99 D98 E98 F99 G99 J97 L92 
5 0 5 .HI.BB.HIJ..AAIJ..CC.DDLG.EEKLGFFFKL B98 C99 D98 E97 F99 G99 J97 L92 
5 0 5 .HI.BB.HIJ.LAAIJ.LCC.DDLG.EEK.GFFFK. B98 C99 D98 E97 F99 G99 J97 L90 
5 0 5 .HI.BB.HIJ..AAIJ.LCC.DDLG.EEKLGFFFK. B98 C99 D98 E97 F99 G99 J97 L91 
5 0 5 .HI.BB.HIJ.LAAIJ.LCC.DDLGEE.K.GFFFK. B98 C99 D98 E98 F99 G99 J97 L90 
5 0 5 .HI.BB.HIJ..AAIJ.LCC.DDLGEE.KLGFFFK. B98 C99 D98 E98 F99 G99 J97 L91 
6 0 6 .HI.BB.HIJ..AAIJ.LCCDD.LGEE.KLGFFFK. B98 C99 D97 E98 F99 G99 J97 L91 
5 0 5 .HI.BB.HIJK.AAIJKLCCDD.LGEE..LGFFF.. B98 C99 D97 E98 F99 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLGEE..LGFFF.. B98 C99 D96 E98 F99 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLGEE..LG..FFF B98 C99 D96 E98 F97 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLG..EELG..FFF B98 C99 D96 E96 F97 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLG..EELG.FFF. B98 C99 D96 E96 F96 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLG..EELG.FFFL B98 C99 D96 E96 F96 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLG..EELGFFF.L B98 C99 D96 E96 F95 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLG.EE.LGFFF.L B98 C99 D96 E95 F95 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG.EE..GFFF.. B98 C99 D96 E95 F95 G99 J97 K97 L88 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG.EE..G..FFF B98 C99 D96 E95 F93 G99 J97 K97 L88 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG.EE..G.FFF. B98 C99 D96 E95 F94 G99 J97 K97 L88 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLGEE...G.FFF. B98 C99 D96 E94 F94 G99 J97 K97 L88 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG..EE.GFFF.. B98 C99 D96 E96 F95 G99 J97 K97 L88 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLGEE..LG.FFFL B98 C99 D96 E94 F96 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLG.EE.LG.FFFL B98 C99 D96 E95 F96 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLG.EE.LG.FFF. B98 C99 D96 E95 F96 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG..EE.G.FFF. B98 C99 D96 E96 F96 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLG..EE.G..FFF B98 C99 D96 E96 F97 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLG.EE.LG..FFF B98 C99 D96 E97 F97 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJKLAAIJKLCC.DDLGEE...G..FFF B98 C99 D96 E98 F97 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLGEE..LG.FFF. B98 C99 D96 E98 F98 G99 J97 K97 L91 
4 0 4 .HI.BB.HIJK.AAIJK.CC.DDLGEE..LGFFF.L B98 C99 D96 E98 F99 G99 J97 K97 L90 
4 0 4 .HI.BB.HIJK.AAIJKLCC.DDLG..EELGFFF.. B98 C99 D96 E96 F99 G99 J97 K97 L91 
