10 0 10 .....L..ICCLG.IAAMG.JDDMH.JKEEHFFK.. 
8 0 8 ..I..L..ICCLG..AAMG.JDDMH.JKEEHFFK.. I99 
7 0 7 G.I..LG.ICCL...AAM..JDDMH.JKEEHFFK.. G98 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEE.FFK.. G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH.JDDMH.JKEEFF.K.. F99 G98 H99 I99 
6 0 6 G.I..LG.ICCL...AAMH..DDMH.JKEEFFJK.. F99 G98 H99 I99 J99 
6 0 6 G.I..LG.ICCL...AAMHDD..MH.JKEEFFJK.. D98 F99 G98 H99 I99 J99 
6 0 6 ..I..LG.ICCLG..AAMH.JDDMH.JKEE.FFK.. G97 H99 I99 
7 0 7 G.I..LG.ICCL...AAMHDDK.MH.JKEEFFJ... D98 F99 G98 H99 I99 J99 K99 
7 0 7 G.I..LG.ICCLH..AAMHDD..M..JKEEFFJK.. D98 F99 G98 H98 I99 J99 
7 0 7 G.I..LG.ICCL.AA..MHDD..MH.JKEEFFJK.. A98 D98 F99 G98 H99 I99 J99 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.J.EEFFJ... A98 D98 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK.MHDDK.MH.JEE.FFJ... A98 D98 E99 F99 G98 H99 I99 J99 K98 
7 0 7 G.I..LG.ICCL.AAK..HDDK..H.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 M98 
7 0 7 G.I...G.ICC..AAK.LHDDK.LH.JEEMFFJ..M A98 D98 E99 F99 G98 H99 I99 J99 K98 L98 M98 
7 0 7 G.I...G.I.CC.AAK.LHDDK.LH.JEEMFFJ..M A98 C99 D98 E99 F99 G98 H99 I99 J99 K98 L98 M98 
7 0 7 G.IK..G.IKCC.AA..LHDD..LH.JEEMFFJ..M A98 C99 D98 E99 F99 G98 H99 I99 J99 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..LH..DDLH.JEEMFFJ..M A98 C99 D96 E99 F99 G98 H99 I99 J99 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..LH.JDDLH.JEEMFF...M A98 C99 D96 E99 F99 G98 H99 I99 J98 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..LH.JDDLH.JEEM...FFM A98 C99 D96 E99 F96 G98 H99 I99 J98 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..LH..DDLH.JEEM..JFFM A98 C99 D96 E99 F96 G98 H99 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCC.AA..L...DDLH.JEEMH.JFFM A98 C99 D96 E99 F96 G98 H98 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AAL...DDLH.JEEMH.JFFM A96 C99 D96 E99 F96 G98 H98 I99 J97 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AAL..JDDLH.JEEMH..FFM A96 C99 D96 E99 F96 G98 H98 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AAL..JDDLH.JEEMHFF..M A96 C99 D96 E99 F94 G98 H98 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AALH.JDDLH.JEEM.FF..M A96 C99 D96 E99 F94 G98 H97 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCC...AALH.JDDLH.JEEM..FF.M A96 C99 D96 E99 F93 G98 H97 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...LH.JDDLH.JEEM..FF.M A93 C99 D96 E99 F93 G98 H97 I99 J96 K96 L98 M98 
6 0 6 G.IK..G.IKCCAA...L..JDDLH.JEEMH.FF.M A93 C99 D96 E99 F93 G98 H96 I99 J96 K96 L98 M98 
6 0 6 G.I...G.IKCCAA.K.L..JDDLH.JEEMH.FF.M A93 C99 D96 E99 F93 G98 H96 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.L..JDDLH.JEEMH..FFM A93 C99 D96 E99 F92 G98 H96 I99 J96 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.L...DDLH.JEEMH.JFFM A93 C99 D96 E99 F92 G98 H96 I99 J95 K95 L98 M98 
6 0 6 G.I...G.IKCCAA.K.LH..DDLH.JEEM..JFFM A93 C99 D96 E99 F92 G98 H95 I99 J95 K95 L98 M98 
