8 0 8 BBK...IJKDDNIJAA.NEELM....LMGGHHH... 
6 0 6 BBK...IJKDDNIJ.AANEELM....LMGGHHH... A99 
5 0 5 BBK...IJKDD.IJ.AANEELM.N..LMGGHHH... A99 N99 
6 0 6 BBK...IJKDD.IJ.AANEELM.N..LMGG...HHH A99 H97 N99 
6 0 6 BBK...IJKDD.IJ.AANEE.M.N..LMGG..LHHH A99 H97 L99 N99 
6 0 6 BBK...IJKDD.IJ.AAN.EEM.N..LMGG..LHHH A99 E99 H97 L99 N99 
6 0 6 BBK....JKDD..J.AAN.EEM.NI.LMGGI.LHHH A99 E99 H97 I97 L99 N99 
6 0 6 BBK....JKDD..J.AANEE.M.NI.LMGGI.LHHH A99 E98 H97 I97 L99 N99 
6 0 6 BBK....JKDD..J.AANEELM.NI.LMGGI..HHH A99 E98 H97 I97 L98 N99 
6 0 6 BBK....JKDD..J.AANEELM.NI.LMGGIHHH.. A99 E98 H95 I97 L98 N99 
6 0 6 BBK....JKDD..J.AANEELM.NI.LMGGI.HHH. A99 E98 H96 I97 L98 N99 
6 0 6 BB.....JKDD..JKAANEELM.NI.LMGGI..HHH A99 E98 H97 I97 K99 L98 N99 
5 0 5 ....BB.JKDD..JKAANEELM.NI.LMGGI..HHH A99 B96 E98 H97 I97 K99 L98 N99 
4 0 4 ..K.BB.JKDD..J.AANEELM.NI.LMGGI..HHH A99 B96 E98 H97 I97 K98 L98 N99 
4 0 4 ..K.BB.JKDD..J.AANEELM.NI.LMGGIHHH.. A99 B96 E98 H95 I97 K98 L98 N99 
4 0 4 .JK.BB.JKDD....AANEELM.NI.LMGGIHHH.. A99 B96 E98 H95 I97 J99 K98 L98 N99 
4 0 4 .JK.BB.JKDD....AANEELM.NI.LMGGI.HHH. A99 B96 E98 H94 I97 J99 K98 L98 N99 
4 0 4 .JK.BB.JKDD.AA...NEELM.NI.LMGGI.HHH. A96 B96 E98 H94 I97 J99 K98 L98 N99 
3 0 3 .JK.BB.JKDD.AA.M.NEELM.NI.L.GGI.HHH. A96 B96 E98 H94 I97 J99 K98 L98 M99 N99 
3 0 3 .JK.BB.JKDD.AA.M.NEELM.NI.L.GGI..HHH A96 B96 E98 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JK.BB.JKDD.AA.M.NEE.M.NI.L.GGI.LHHH A96 B96 E98 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JK.BB.JKDD.AA.M.N.EEM.NI.L.GGI.LHHH A96 B96 E97 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JKBB..JKDD.AA.M.N.EEM.NI.L.GGI.LHHH A96 B95 E97 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JKBB..JKDD.AA.M.NEE.M.NI.L.GGI.LHHH A96 B95 E98 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JKBB..JKDD.AA.M.NEELM.NI.L.GGI..HHH A96 B95 E98 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JKDD.AA.M.NEELM.NI.L.GGIHHH.. A96 B95 E98 H91 I97 J99 K98 L98 M99 N99 
3 0 3 .JK.BB.JKDD.AA.M.NEELM.NI.L.GGIHHH.. A96 B96 E98 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JKDD.AA.M.NEELM.NI.L.GGI.HHH. A96 B95 E98 H94 I97 J99 K98 L98 M99 N99 
4 0 4 .JKBB..JKDD.AA.M.NEELM.NI.LGG.I.HHH. A96 B95 E98 G99 H94 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JK.DDAA.M.NEELM.NI.LGG.I.HHH. A96 B95 D99 E98 G99 H94 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JK.DDAA.M.NEELM.NI.LGG.I..HHH A96 B95 D99 E98 G99 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JK.DDAA.M.NEE.M.NI.LGG.I.LHHH A96 B95 D99 E98 G99 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JKBB..JK.DDAA.M.N.EEM.NI.LGG.I.LHHH A96 B95 D99 E97 G99 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JK.BB.JK.DDAA.M.N.EEM.NI.LGG.I.LHHH A96 B94 D99 E97 G99 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JK.BB.JK.DDAA.M.NEE.M.NI.LGG.I.LHHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L97 M99 N99 
3 0 3 .JK.BB.JK.DDAA.M.NEELM.NI.LGG.I..HHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JK.BB.JK.DDAA.M.NEELM.NI.LGG.IHHH.. A96 B94 D99 E98 G99 H91 I97 J99 K98 L98 M99 N99 
3 0 3 .JKBB..JK.DDAA.M.NEELM.NI.LGG.IHHH.. A96 B95 D99 E98 G99 H93 I97 J99 K98 L98 M99 N99 
3 0 3 .JK.BB.JK.DDAA.M.NEELM.NI.LGG.I.HHH. A96 B94 D99 E98 G99 H94 I97 J99 K98 L98 M99 N99 
4 0 4 .JK.BB.JK.DDAA.M..EELM..I.LGGNI.HHHN A96 B94 D99 E98 G99 H94 I97 J99 K98 L98 M99 N97 
4 0 4 .JK.BB.JK.DDAA.M..EELM.NI.LGGNI.HHH. A96 B94 D99 E98 G99 H94 I97 J99 K98 L98 M99 N98 
4 0 4 .JK.BB.JKMDDAA.M.NEEL..NI.LGG.I.HHH. A96 B94 D99 E98 G99 H94 I97 J99 K98 L98 M98 N99 
4 0 4 .JKBB..JK.DDAA.M..EELM..I.LGGNIHHH.N A96 B95 D99 E98 G99 H93 I97 J99 K98 L98 M99 N97 
4 0 4 .JKBB..JK.DDAA.M..EELM.NI.LGGNIHHH.. A96 B95 D99 E98 G99 H93 I97 J99 K98 L98 M99 N98 
4 0 4 .JKBB..JKMDDAA.M.NEEL..NI.LGG.IHHH.. A96 B95 D99 E98 G99 H93 I97 J99 K98 L98 M98 N99 
4 0 4 .JK.BB.JK.DDAA.M..EELM..I.LGGNIHHH.N A96 B94 D99 E98 G99 H91 I97 J99 K98 L98 M99 N97 
4 0 4 .JK.BB.JK.DDAA.M..EELM.NI.LGGNIHHH.. A96 B94 D99 E98 G99 H91 I97 J99 K98 L98 M99 N98 
4 0 4 .JK.BB.JKMDDAA.M.NEEL..NI.LGG.IHHH.. A96 B94 D99 E98 G99 H91 I97 J99 K98 L98 M98 N99 
4 0 4 .JK.BB.JK.DDAA.M..EELM.NI.LGGNI..HHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L98 M99 N98 
4 0 4 .JK.BB.JKMDDAA.M.NEEL..NI.LGG.I..HHH A96 B94 D99 E98 G99 H93 I97 J99 K98 L98 M98 N99 
4 0 4 .JK.BB.JK.DD.AAM.NEELM.NI.LGG.I..HHH A95 B94 D99 E98 G99 H93 I97 J99 K98 L98 M99 N99 
4 0 4 .J..BB.JK.DDAAKM.NEELM.NI.LGG.I..HHH A96 B94 D99 E98 G99 H93 I97 J99 K97 L98 M99 N99 
