0 0 0 ..CC.MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... 
1 1 0 ..CC.MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. L99 
1 1 0 ..CC.MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 
1 1 0 ..CC.M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... D99 
1 1 0 ...CCMDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C99 
1 1 0 CC...MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C98 
1 1 0 .CC..MDD.K.MAA.K.NIEEL.NI.JLGGHHJ... C99 
2 2 0 .CCK.MDD.K.MAA...NIEEL.NI.JLGGHHJ... C99 K99 
2 2 0 .CC..MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C99 L99 
2 2 0 CC...MDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C98 L99 
2 2 0 ...CCMDD.K.MAA.K.NIEE..NI.JLGGHHJL.. C99 L99 
2 2 0 ..CC.M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. D99 L99 
2 2 0 ..CC.MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 L99 
2 2 0 ..CC.MDD...MAA.K.NIEEK.NI.JLGGHHJL.. K99 L99 
2 2 0 ..CC.MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. E99 L99 
2 2 0 ..CC.MDD.K.MAA.K.NI..EENI.JLGGHHJL.. E98 L99 
2 2 0 .CC..MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 
2 2 0 CC...MDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C98 
2 2 0 ...CCMDD.K.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 
2 2 0 ..CC.M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 D99 
2 2 0 ..CC.MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 I99 
2 2 0 .CC..M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C99 D99 
2 2 0 CC...M.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C98 D99 
2 2 0 ...CCM.DDK.MAA.K.NIEEL.NI.JLGGHHJ... C99 D99 
2 2 0 CC.K.MDD.K.MAA...NIEEL.NI.JLGGHHJ... C98 K99 
3 3 0 CC.K.MDD.K.MAA.L.NIEEL.NI.J.GGHHJ... C98 K99 L99 
3 3 0 CC.K.MDD.K.M...AANIEEL.NI.JLGGHHJ... A97 C98 K99 
3 3 0 CC.K.MDD.K.M..AA.NIEEL.NI.JLGGHHJ... A98 C98 K99 
3 3 0 .CCK.M.DDK.MAA...NIEEL.NI.JLGGHHJ... C99 D99 K99 
3 3 0 .CCK.MDD.K.M.AA..NIEEL.NI.JLGGHHJ... A99 C99 K99 
3 3 0 .CCK.MDD.K.M..AA.NIEEL.NI.JLGGHHJ... A98 C99 K99 
3 3 0 .CCK.MDD.K.M...AANIEEL.NI.JLGGHHJ... A97 C99 K99 
3 3 0 .CCK.MDD.K.MAA.L.NIEEL.NI.J.GGHHJ... C99 K99 L99 
3 3 0 .CCK.MDD.K.MAA...NIEE..NI.JLGGHHJL.. C99 K99 L99 
3 3 0 .CC..M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C99 D99 L99 
3 3 0 .CC..MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 L99 
3 3 0 .CC..MDD...MAA.K.NIEEK.NI.JLGGHHJL.. C99 K99 L99 
3 3 0 .CC..MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C99 E99 L99 
3 3 0 .CC..MDD.K.MAA.K.NI..EENI.JLGGHHJL.. C99 E98 L99 
3 3 0 CC...M.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C98 D99 L99 
3 3 0 CC.K.MDD.K.MAA...NIEE..NI.JLGGHHJL.. C98 K99 L99 
3 3 0 CC...MDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C98 L99 
3 3 0 CC...MDD...MAA.K.NIEEK.NI.JLGGHHJL.. C98 K99 L99 
3 3 0 CC...MDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C98 E99 L99 
3 3 0 CC...MDD.K.MAA.K.NI..EENI.JLGGHHJL.. C98 E98 L99 
3 3 0 ...CCM.DDK.MAA.K.NIEE..NI.JLGGHHJL.. C99 D99 L99 
3 3 0 ...CCMDD.K.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 L99 
3 3 0 ...CCMDD...MAA.K.NIEEK.NI.JLGGHHJL.. C99 K99 L99 
3 3 0 ...CCMDD.K.MAA.K.NI.EE.NI.JLGGHHJL.. C99 E99 L99 
3 3 0 ...CCMDD.K.MAA.K.NI..EENI.JLGGHHJL.. C99 E98 L99 
3 3 0 ..CC.M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 D99 L99 
3 3 0 ..CC.M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. D99 K99 L99 
3 3 0 ..CC.M.DDK.MAA.K.NI.EE.NI.JLGGHHJL.. D99 E99 L99 
3 3 0 ..CC.M.DDK.MAA.K.NI..EENI.JLGGHHJL.. D99 E98 L99 
3 3 0 ..CC.MDD...M.AAK.NIEEK.NI.JLGGHHJL.. A99 K99 L99 
3 3 0 ..CC.MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 I99 L99 
3 3 0 ..CC.MDD.K.M.AAK.NI.EE.NI.JLGGHHJL.. A99 E99 L99 
3 3 0 ..CC.MDD.K.M.AAK.NI..EENI.JLGGHHJL.. A99 E98 L99 
3 3 0 ..CC.M..DD.MAA.K.NIEEK.NI.JLGGHHJL.. D98 K99 L99 
3 3 0 ..CC.M...DDMAA.K.NIEEK.NI.JLGGHHJL.. D97 K99 L99 
3 3 0 ..CC.MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. E98 J99 L99 
3 3 0 ..CC.MDD.K.MAAJK.NI.JEENI..LGGHH.L.. E98 J98 L99 
3 3 0 ..CC.MDDJK.MAAJK.NI..EENI..LGGHH.L.. E98 J97 L99 
3 3 0 .CC..M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 D99 
3 3 0 .CC..MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 I99 
3 3 0 CC...M.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C98 D99 
3 3 0 CC.K.MDD.K.M.AA..NIEEL.NI.JLGGHHJ... A99 C98 K99 
3 3 0 CC...MDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C98 I99 
3 3 0 ...CCM.DDK.M.AAK.NIEEL.NI.JLGGHHJ... A99 C99 D99 
3 3 0 ...CCMDD.K.MIAAK.NIEEL.N..JLGGHHJ... A99 C99 I99 
3 3 0 ..CC.M.DDK.MIAAK.NIEEL.N..JLGGHHJ... A99 D99 I99 
3 3 0 ..CC.MIDDK.MIAAK.N.EEL.N..JLGGHHJ... A99 D99 I98 
3 3 0 I.CC.MIDDK.M.AAK.N.EEL.N..JLGGHHJ... A99 D99 I97 
3 3 0 CC.K.M.DDK.MAA...NIEEL.NI.JLGGHHJ... C98 D99 K99 
4 4 0 CC.K.M.DDK.MAA.L.NIEEL.NI.J.GGHHJ... C98 D99 K99 L99 
4 4 0 CC.K.MDD.K.M.AAL.NIEEL.NI.J.GGHHJ... A99 C98 K99 L99 
4 4 0 CC.K.MDD.K.MAA.L.NIEEL.NI.JGG.HHJ... C98 G99 K99 L99 
4 4 0 CC.K.M.DDK.M...AANIEEL.NI.JLGGHHJ... A97 C98 D99 K99 
4 4 0 CC.K.MDD.K.MI..AANIEEL.N..JLGGHHJ... A97 C98 I99 K99 
4 4 0 CC.K.MDD.K.M...AANIEE..NI.JLGGHHJL.. A97 C98 K99 L99 
4 4 0 CC.K.M.DDK.M..AA.NIEEL.NI.JLGGHHJ... A98 C98 D99 K99 
4 4 0 CC.K.MDD.K.MI.AA.NIEEL.N..JLGGHHJ... A98 C98 I99 K99 
4 4 0 CC.K.MDD.K.M..AA.NIEE..NI.JLGGHHJL.. A98 C98 K99 L99 
4 4 0 .CCK.M.DDK.M.AA..NIEEL.NI.JLGGHHJ... A99 C99 D99 K99 
4 4 0 .CCK.M.DDK.M..AA.NIEEL.NI.JLGGHHJ... A98 C99 D99 K99 
4 4 0 .CCK.M.DDK.M...AANIEEL.NI.JLGGHHJ... A97 C99 D99 K99 
4 4 0 .CCK.M.DDK.MAA.L.NIEEL.NI.J.GGHHJ... C99 D99 K99 L99 
4 4 0 .CCK.M.DDK.MAA...NIEE..NI.JLGGHHJL.. C99 D99 K99 L99 
4 4 0 .CCK.MDD.K.MIAA..NIEEL.N..JLGGHHJ... A99 C99 I99 K99 
4 4 0 .CCK.MDD.K.M.AAL.NIEEL.NI.J.GGHHJ... A99 C99 K99 L99 
4 4 0 .CCK.MDD.K.M.AA..NIEE..NI.JLGGHHJL.. A99 C99 K99 L99 
4 4 0 .CCK.MDD.K.MI.AA.NIEEL.N..JLGGHHJ... A98 C99 I99 K99 
4 4 0 .CCK.MDD.K.M..AA.NIEE..NI.JLGGHHJL.. A98 C99 K99 L99 
4 4 0 .CCK.MDD.K.MI..AANIEEL.N..JLGGHHJ... A97 C99 I99 K99 
4 4 0 .CCK.MDD.K.M...AANIEE..NI.JLGGHHJL.. A97 C99 K99 L99 
4 4 0 .CCK.MDD.K.MAA.L.NIEEL.NI.JGG.HHJ... C99 G99 K99 L99 
4 4 0 .CCK.MDD.K.MAA...NI.EE.NI.JLGGHHJL.. C99 E99 K99 L99 
4 4 0 .CCK.MDD.K.MAA...NI..EENI.JLGGHHJL.. C99 E98 K99 L99 
4 4 0 .CC..M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 D99 L99 
4 4 0 .CC..M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. C99 D99 K99 L99 
4 4 0 .CC..M.DDK.MAA.K.NI.EE.NI.JLGGHHJL.. C99 D99 E99 L99 
4 4 0 .CC..M.DDK.MAA.K.NI..EENI.JLGGHHJL.. C99 D99 E98 L99 
4 4 0 .CC..MDD...M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 K99 L99 
4 4 0 .CC..MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 C99 I99 L99 
4 4 0 .CC..MDD.K.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C99 E99 L99 
4 4 0 .CC..MDD.K.M.AAK.NI..EENI.JLGGHHJL.. A99 C99 E98 L99 
4 4 0 .CC..M..DD.MAA.K.NIEEK.NI.JLGGHHJL.. C99 D98 K99 L99 
4 4 0 .CC..M...DDMAA.K.NIEEK.NI.JLGGHHJL.. C99 D97 K99 L99 
4 4 0 .CC..MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. C99 E98 J99 L99 
4 4 0 .CC..MDD.K.MAAJK.NI.JEENI..LGGHH.L.. C99 E98 J98 L99 
4 4 0 .CC..MDDJK.MAAJK.NI..EENI..LGGHH.L.. C99 E98 J97 L99 
4 4 0 CC.K.M.DDK.MAA...NIEE..NI.JLGGHHJL.. C98 D99 K99 L99 
4 4 0 CC...M.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 C98 D99 L99 
4 4 0 CC...M.DD..MAA.K.NIEEK.NI.JLGGHHJL.. C98 D99 K99 L99 
4 4 0 CC...M.DDK.MAA.K.NI.EE.NI.JLGGHHJL.. C98 D99 E99 L99 
4 4 0 CC...M.DDK.MAA.K.NI..EENI.JLGGHHJL.. C98 D99 E98 L99 
4 4 0 CC.K.MDD.K.M.AA..NIEE..NI.JLGGHHJL.. A99 C98 K99 L99 
4 4 0 CC.K.MDD.K.MAA...NI.EE.NI.JLGGHHJL.. C98 E99 K99 L99 
4 4 0 CC.K.MDD.K.MAA...NI..EENI.JLGGHHJL.. C98 E98 K99 L99 
4 4 0 CC...MDD...M.AAK.NIEEK.NI.JLGGHHJL.. A99 C98 K99 L99 
4 4 0 CC...MDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 C98 I99 L99 
4 4 0 CC...MDD.K.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C98 E99 L99 
4 4 0 CC...MDD.K.M.AAK.NI..EENI.JLGGHHJL.. A99 C98 E98 L99 
4 4 0 CC...M..DD.MAA.K.NIEEK.NI.JLGGHHJL.. C98 D98 K99 L99 
4 4 0 CC...M...DDMAA.K.NIEEK.NI.JLGGHHJL.. C98 D97 K99 L99 
4 4 0 CC...MDD.K.MAA.K.NI.JEENI.JLGGHH.L.. C98 E98 J99 L99 
4 4 0 CC...MDD.K.MAAJK.NI.JEENI..LGGHH.L.. C98 E98 J98 L99 
4 4 0 CC...MDDJK.MAAJK.NI..EENI..LGGHH.L.. C98 E98 J97 L99 
4 4 0 CCJ..MDDJK.MAA.K.NI..EENI..LGGHH.L.. C98 E98 J96 L99 
4 4 0 ...CCM.DDK.M.AAK.NIEE..NI.JLGGHHJL.. A99 C99 D99 L99 
4 4 0 ...CCM.DD..MAA.K.NIEEK.NI.JLGGHHJL.. C99 D99 K99 L99 
4 4 0 ...CCM.DDK.MAA.K.NI.EE.NI.JLGGHHJL.. C99 D99 E99 L99 
4 4 0 ...CCM.DDK.MAA.K.NI..EENI.JLGGHHJL.. C99 D99 E98 L99 
4 4 0 ...CCMDD...M.AAK.NIEEK.NI.JLGGHHJL.. A99 C99 K99 L99 
4 4 0 ...CCMDD.K.MIAAK.NIEE..N..JLGGHHJL.. A99 C99 I99 L99 
4 4 0 ...CCMDD.K.M.AAK.NI.EE.NI.JLGGHHJL.. A99 C99 E99 L99 
4 4 0 ...CCMDD.K.M.AAK.NI..EENI.JLGGHHJL.. A99 C99 E98 L99 
4 4 0 ...CCM..DD.MAA.K.NIEEK.NI.JLGGHHJL.. C99 D98 K99 L99 
4 4 0 ...CCM...DDMAA.K.NIEEK.NI.JLGGHHJL.. C99 D97 K99 L99 
4 4 0 ...CCMDD.K.MAA.K.NI.JEENI.JLGGHH.L.. C99 E98 J99 L99 
4 4 0 ...CCMDD.K.MAAJK.NI.JEENI..LGGHH.L.. C99 E98 J98 L99 
4 4 0 ...CCMDDJK.MAAJK.NI..EENI..LGGHH.L.. C99 E98 J97 L99 
