0 0 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.NGGHH.. 
1 1 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.NGG..HH H98 
1 1 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.NGG.HH. H99 
1 1 0 .JBBCC.JK.M.AAK.M.IDDL.NIFFL.NGGHH.N N99 
1 1 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..NGGHH.. L98 
1 1 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..NGGHH.. L99 
1 1 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL..GGHH.. N99 
1 1 0 .JBBCC.JK...AAK..NIDDL.NIFFLMNGGHHM. M97 
1 1 0 .JBBCC.JK...AAK..NIDDLMNIFFLMNGGHH.. M98 
1 1 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.NGGHH.. M99 
2 2 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.NGG..HH H98 M99 
2 2 0 .JBBCC.JK...AAK..NIDDLMNIFFLMNGG..HH H98 M98 
2 2 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL..GG..HH H98 N99 
2 2 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..NGG..HH H98 L99 
2 2 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..NGG..HH H98 L98 
2 2 0 .JBBCC.JK.M.AAK.MNIDD..NIFFL.NGG.LHH H98 L99 
2 2 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.N.GG.HH G99 H98 
2 2 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.N..GGHH G98 H98 
2 2 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.NGG.HH. H99 M99 
2 2 0 .JBBCC.JK...AAK..NIDDLMNIFFLMNGG.HH. H99 M98 
2 2 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL..GG.HH. H99 N99 
2 2 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..NGG.HH. H99 L99 
2 2 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..NGG.HH. H99 L98 
2 2 0 .JBBCC.JK.M.AAK.M.IDDL.NIFFL.NGG.HHN H99 N99 
2 2 0 .JBBCC.JK.M.AAK.MNIDDL.NIFFL.N.GGHH. G99 H99 
2 2 0 .JBBCC.JK...AAK.M.IDDLMNIFFL.NGGHH.N M99 N99 
2 2 0 .JBBCC.JK...AAK...IDDLMNIFFLMNGGHH.N M98 N99 
2 2 0 .JBBCC.JK...AAK...IDDL.NIFFLMNGGHHMN M97 N99 
2 2 0 .JBBCC.JK.M.AAKLM.IDDL.NIFF..NGGHH.N L99 N99 
2 2 0 .JBBCC.JKLM.AAKLM.IDD..NIFF..NGGHH.N L98 N99 
2 2 0 .JBBCC.JKL..AAKLMNIDD.MNIFF..NGGHH.. L98 M99 
2 2 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MNGGHH.. L98 M98 
2 2 0 .JBBCC.JKL..AAKL.NIDD..NIFF.MNGGHHM. L98 M97 
2 2 0 .JBBCC.JKLMNAAKLMNIDD..NIFF...GGHH.. L98 N99 
2 2 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..NGGHH.. D99 L98 
2 2 0 .JBBCC.JKLM.AAKLMNI..DDNIFF..NGGHH.. D98 L98 
2 2 0 .JBBCC.JKLM.AAKLMNIDD..NI.FF.NGGHH.. F99 L98 
2 2 0 .JBBCC.JKLM.AAKLMNIDD..NI..FFNGGHH.. F98 L98 
2 2 0 .JBBCC.JK...AAKLMNIDDLMNIFF..NGGHH.. L99 M99 
2 2 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MNGGHH.. L99 M98 
2 2 0 .JBBCC.JK...AAKL.NIDDL.NIFF.MNGGHHM. L99 M97 
2 2 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF...GGHH.. L99 N99 
2 2 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.NGGHH.. F99 L99 
2 2 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFNGGHH.. F98 L99 
2 2 0 .JBBCC.JK..NAAK.MNIDDLMNIFFL..GGHH.. M99 N99 
2 2 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM.GGHH.. M98 N99 
2 2 0 .JBBCC.JK..NAAK..NIDDL.NIFFLM.GGHHM. M97 N99 
3 3 0 .JBBCC.JK..NAAK.MNIDDLMNIFFL..GG..HH H98 M99 N99 
3 3 0 .JBBCC.JK...AAKLMNIDDLMNIFF..NGG..HH H98 L99 M99 
3 3 0 .JBBCC.JKL..AAKLMNIDD.MNIFF..NGG..HH H98 L98 M99 
3 3 0 .JBBCC.JK...AAK.MNIDD.MNIFFL.NGG.LHH H98 L99 M99 
3 3 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.N.GG.HH G99 H98 M99 
3 3 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.N..GGHH G98 H98 M99 
3 3 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM.GG..HH H98 M98 N99 
3 3 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MNGG..HH H98 L99 M98 
3 3 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MNGG..HH H98 L98 M98 
3 3 0 .JBBCC.JK...AAK..NIDD.MNIFFLMNGG.LHH H98 L99 M98 
3 3 0 .JBBCC.JK...AAK..NIDDLMNIFFLMN.GG.HH G99 H98 M98 
3 3 0 .JBBCC.JK...AAK..NIDDLMNIFFLMN..GGHH G98 H98 M98 
3 3 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF...GG..HH H98 L99 N99 
3 3 0 .JBBCC.JKLMNAAKLMNIDD..NIFF...GG..HH H98 L98 N99 
3 3 0 .JBBCC.JK.MNAAK.MNIDD..NIFFL..GG.LHH H98 L99 N99 
3 3 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL...GG.HH G99 H98 N99 
3 3 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL....GGHH G98 H98 N99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.NGG..HH F99 H98 L99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFNGG..HH F98 H98 L99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..N.GG.HH G99 H98 L99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..N..GGHH G98 H98 L99 
3 3 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..NGG..HH D99 H98 L98 
3 3 0 .JBBCC.JKLM.AAKLMNI..DDNIFF..NGG..HH D98 H98 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NI.FF.NGG..HH F99 H98 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NI..FFNGG..HH F98 H98 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..N.GG.HH G99 H98 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..N..GGHH G98 H98 L98 
3 3 0 .JBBCC.JK.M.AAK.MNI.DD.NIFFL.NGG.LHH D99 H98 L99 
3 3 0 .JBBCC.JK.M.AAK.MNI..DDNIFFL.NGG.LHH D98 H98 L99 
3 3 0 .JBBCC.JK.M.AAK.MNIDD..NIFFL.N.GGLHH G99 H98 L99 
3 3 0 .JBBCC.JK.M.AAK.MN.DDL.NIFFL.NIGG.HH G99 H98 I99 
3 3 0 .JBBCC.JK.M.AAK.MN.DDL.NIFFL.NI.GGHH G98 H98 I99 
3 3 0 .JBBCC.JK..NAAK.MNIDDLMNIFFL..GG.HH. H99 M99 N99 
3 3 0 .JBBCC.JK...AAKLMNIDDLMNIFF..NGG.HH. H99 L99 M99 
3 3 0 .JBBCC.JKL..AAKLMNIDD.MNIFF..NGG.HH. H99 L98 M99 
3 3 0 .JBBCC.JK...AAK.M.IDDLMNIFFL.NGG.HHN H99 M99 N99 
3 3 0 .JBBCC.JK...AAK.MNIDDLMNIFFL.N.GGHH. G99 H99 M99 
3 3 0 .JBBCC.JK..NAAK..NIDDLMNIFFLM.GG.HH. H99 M98 N99 
3 3 0 .JBBCC.JK...AAKL.NIDDLMNIFF.MNGG.HH. H99 L99 M98 
3 3 0 .JBBCC.JKL..AAKL.NIDD.MNIFF.MNGG.HH. H99 L98 M98 
3 3 0 .JBBCC.JK...AAK...IDDLMNIFFLMNGG.HHN H99 M98 N99 
3 3 0 .JBBCC.JK...AAK..NIDDLMNIFFLMN.GGHH. G99 H99 M98 
3 3 0 .JBBCC.JK.MNAAKLMNIDDL.NIFF...GG.HH. H99 L99 N99 
3 3 0 .JBBCC.JKLMNAAKLMNIDD..NIFF...GG.HH. H99 L98 N99 
3 3 0 .JBBCC.JK.MNAAK.MNIDDL.NIFFL...GGHH. G99 H99 N99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NI.FF.NGG.HH. F99 H99 L99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NI..FFNGG.HH. F98 H99 L99 
3 3 0 .JBBCC.JK.M.AAKLM.IDDL.NIFF..NGG.HHN H99 L99 N99 
3 3 0 .JBBCC.JK.M.AAKLMNIDDL.NIFF..N.GGHH. G99 H99 L99 
3 3 0 .JBBCC.JKLM.AAKLMNI.DD.NIFF..NGG.HH. D99 H99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNI..DDNIFF..NGG.HH. D98 H99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NI.FF.NGG.HH. F99 H99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NI..FFNGG.HH. F98 H99 L98 
3 3 0 .JBBCC.JKLM.AAKLM.IDD..NIFF..NGG.HHN H99 L98 N99 
3 3 0 .JBBCC.JKLM.AAKLMNIDD..NIFF..N.GGHH. G99 H99 L98 
3 3 0 .JBBCC.JK.M.AAK.M.IDDL.NIFFL.N.GGHHN G99 H99 N99 
3 3 0 .JBBCC.JK.M.AAK.MN.DDL.NIFFL.NIGGHH. G99 H99 I99 
3 3 0 .JBBCC.JK...AAKLM.IDDLMNIFF..NGGHH.N L99 M99 N99 
3 3 0 .JBBCC.JKL..AAKLM.IDD.MNIFF..NGGHH.N L98 M99 N99 
3 3 0 .JBBCC.JK...AAKL..IDDLMNIFF.MNGGHH.N L99 M98 N99 
3 3 0 .JBBCC.JKL..AAKL..IDD.MNIFF.MNGGHH.N L98 M98 N99 
3 3 0 .JBBCC.JK...AAKL..IDDL.NIFF.MNGGHHMN L99 M97 N99 
3 3 0 .JBBCC.JKL..AAKL..IDD..NIFF.MNGGHHMN L98 M97 N99 
3 3 0 .JBBCC.JK.M.AAKLM.IDDL.NI.FF.NGGHH.N F99 L99 N99 
3 3 0 .JBBCC.JK.M.AAKLM.IDDL.NI..FFNGGHH.N F98 L99 N99 
3 3 0 .JBBCC.JKLM.AAKLM.I.DD.NIFF..NGGHH.N D99 L98 N99 
3 3 0 .JBBCC.JKLM.AAKLM.I..DDNIFF..NGGHH.N D98 L98 N99 
3 3 0 .JBBCC.JKLM.AAKLM.IDD..NI.FF.NGGHH.N F99 L98 N99 
3 3 0 .JBBCC.JKLM.AAKLM.IDD..NI..FFNGGHH.N F98 L98 N99 
3 3 0 .JBBCC.JKL.NAAKLMNIDD.MNIFF...GGHH.. L98 M99 N99 
3 3 0 .JBBCC.JKL..AAKLMNI.DDMNIFF..NGGHH.. D99 L98 M99 
3 3 0 .JBBCC.JKL..AAKLMNIDD.MNI.FF.NGGHH.. F99 L98 M99 
3 3 0 .JBBCC.JKL..AAKLMNIDD.MNI..FFNGGHH.. F98 L98 M99 
3 3 0 .JBBCC.JKL.NAAKL.NIDD.MNIFF.M.GGHH.. L98 M98 N99 
3 3 0 .JBBCC.JKL..AAKL.NI.DDMNIFF.MNGGHH.. D99 L98 M98 
3 3 0 .JBBCC.JKL..AAKL.NIDD.MNI.FFMNGGHH.. F99 L98 M98 
3 3 0 .JBBCC.JKL.NAAKL.NIDD..NIFF.M.GGHHM. L98 M97 N99 
3 3 0 .JBBCC.JKL..AAKL.NI.DD.NIFF.MNGGHHM. D99 L98 M97 
3 3 0 .JBBCC.JKL..AAKL.NI..DDNIFF.MNGGHHM. D98 L98 M97 
3 3 0 .JBBCC.JKL..AAKL.NIDD..NI.FFMNGGHHM. F99 L98 M97 
3 3 0 .JBBCC.JKLMNAAKLMNI.DD.NIFF...GGHH.. D99 L98 N99 
3 3 0 .JBBCC.JKLMNAAKLMNI..DDNIFF...GGHH.. D98 L98 N99 
3 3 0 .JBBCC.JKLMNAAKLMNIDD..NI.FF..GGHH.. F99 L98 N99 
3 3 0 .JBBCC.JKLMNAAKLMNIDD..NI..FF.GGHH.. F98 L98 N99 
3 3 0 .JBBCC.JKLMNAAKLMNIDD..NI...FFGGHH.. F97 L98 N99 
3 3 0 .JBBCC.JKLM.AAKLMNI.DD.NI.FF.NGGHH.. D99 F99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNI.DD.NI..FFNGGHH.. D99 F98 L98 
3 3 0 .JBBCC.J.LM.AAKLMNI.KDDNIFF..NGGHH.. D98 K99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNI..DDNI.FF.NGGHH.. D98 F99 L98 
3 3 0 .JBBCC.JKLM.AAKLMNI..DDNI..FFNGGHH.. D98 F98 L98 
3 3 0 .JBBCC.JK..NAAKLMNIDDLMNIFF...GGHH.. L99 M99 N99 
3 3 0 .JBBCC.JK...AAKLMNIDDLMNI.FF.NGGHH.. F99 L99 M99 
3 3 0 .JBBCC.JK...AAKLMNIDDLMNI..FFNGGHH.. F98 L99 M99 
3 3 0 .JBBCC.JK..NAAKL.NIDDLMNIFF.M.GGHH.. L99 M98 N99 
