0 0 0 ..IBBMCCIJLMHAAJL.H.DD..FFFK..GG.K.. 
1 1 0 ..IBBMCCIJLMHAAJL.H.DD..FFFK...GGK.. G99 
1 1 0 ..IBBMCCIJLMHAAJL.H...DDFFFK..GG.K.. D98 
1 1 0 ..IBBMCCIJLMHAAJL.H..DD.FFFK..GG.K.. D99 
1 1 0 ..IBBMCCIJLMHAAJL.HDD...FFFK..GG.K.. D99 
1 1 0 ..IBBMCCIJ.MHAAJ..H.DD..FFFKL.GG.KL. L97 
1 1 0 ..IBBMCCIJ.MHAAJ..H.DDL.FFFKL.GG.K.. L98 
1 1 0 ..IBBMCCIJ.MHAAJL.H.DDL.FFFK..GG.K.. L99 
1 1 0 ..IBB.CCIJL.HAAJL.H.DD..FFFK.MGG.K.M M96 
1 1 0 ..IBB.CCIJL.HAAJL.H.DD.MFFFK.MGG.K.. M97 
1 1 0 ..IBB.CCIJL.HAAJLMH.DD.MFFFK..GG.K.. M98 
1 1 0 ..IBB.CCIJLMHAAJLMH.DD..FFFK..GG.K.. M99 
2 2 0 ..I.BBCCIJLMHAAJLMH.DD..FFFK..GG.K.. B99 M99 
2 2 0 ..IBB.CCIJLMHAAJLMH.DD..FFFK...GGK.. G99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMH.DD.MFFFK...GGK.. G99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.H.DD.MFFFK.M.GGK.. G99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.H.DD..FFFK.M.GGK.M G99 M96 
2 2 0 ..IBBMCCIJ.MHAAJL.H.DDL.FFFK...GGK.. G99 L99 
2 2 0 ..IBBMCCIJ.MHAAJ..H.DDL.FFFKL..GGK.. G99 L98 
2 2 0 ..IBBMCCIJ.MHAAJ..H.DD..FFFKL..GGKL. G99 L97 
2 2 0 ..IBBMCCIJLMHAAJL.HDD...FFFK...GGK.. D99 G99 
2 2 0 ..IBBMCCIJLMHAAJL.H..DD.FFFK...GGK.. D99 G99 
2 2 0 ..IBBMCCIJLMHAAJL.H...DDFFFK...GGK.. D98 G99 
2 2 0 ..IBB.CCIJLMHAAJLMH...DDFFFK..GG.K.. D98 M99 
2 2 0 ..IBBMCCI.LMHAAJL.H..JDDFFFK..GG.K.. D98 J99 
2 2 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK..GG.... D98 K99 
2 2 0 ..IBB.CCIJLMHAAJLMH..DD.FFFK..GG.K.. D99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMH..DDMFFFK..GG.K.. D99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.H..DDMFFFK.MGG.K.. D99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.H..DD.FFFK.MGG.K.M D99 M96 
2 2 0 ..IBB.CCIJLMHAAJLMHDD...FFFK..GG.K.. D99 M99 
2 2 0 ..IBB.CCIJL.HAAJLMHDD..MFFFK..GG.K.. D99 M98 
2 2 0 ..IBB.CCIJL.HAAJL.HDD..MFFFK.MGG.K.. D99 M97 
2 2 0 ..IBB.CCIJL.HAAJL.HDD...FFFK.MGG.K.M D99 M96 
2 2 0 ..IBBMCCI.LMHAAJL.HDDJ..FFFK..GG.K.. D99 J99 
2 2 0 ..IBBMCCIJ.MHAAJL.HDD.L.FFFK..GG.K.. D99 L99 
2 2 0 ..IBBMCCIJ.MHAAJ..HDD.L.FFFKL.GG.K.. D99 L98 
2 2 0 ..IBBMCCIJ.MHAAJ..HDD...FFFKL.GG.KL. D99 L97 
2 2 0 ..IBBMCCIJLMHAAJL.HDDK..FFFK..GG.... D99 K99 
2 2 0 ..IBB.CCIJ.MHAAJ.MH.DD..FFFKL.GG.KL. L97 M99 
2 2 0 ..IBB.CCIJ..HAAJ.MH.DD.MFFFKL.GG.KL. L97 M98 
2 2 0 ..IBB.CCIJ..HAAJ..H.DD.MFFFKLMGG.KL. L97 M97 
2 2 0 ..IBB.CCIJ..HAAJ..H.DD..FFFKLMGG.KLM L97 M96 
2 2 0 ..IBBMCCIJ.MHAAJ..H..DD.FFFKL.GG.KL. D99 L97 
2 2 0 ..IBBMCCIJ.MHAAJ..H...DDFFFKL.GG.KL. D98 L97 
2 2 0 ..IBB.CCIJ.MHAAJ.MH.DDL.FFFKL.GG.K.. L98 M99 
2 2 0 ..IBB.CCIJ..HAAJ.MH.DDLMFFFKL.GG.K.. L98 M98 
2 2 0 ..IBB.CCIJ..HAAJ..H.DDLMFFFKLMGG.K.. L98 M97 
2 2 0 ..IBB.CCIJ..HAAJ..H.DDL.FFFKLMGG.K.M L98 M96 
2 2 0 ..IBB.CCIJ.MHAAJLMH.DDL.FFFK..GG.K.. L99 M99 
2 2 0 ..IBB.CCIJ..HAAJLMH.DDLMFFFK..GG.K.. L99 M98 
2 2 0 ..IBB.CCIJ..HAAJL.H.DDLMFFFK.MGG.K.. L99 M97 
2 2 0 ..IBB.CCIJ..HAAJL.H.DDL.FFFK.MGG.K.M L99 M96 
2 2 0 ..I.BBCCIJL.HAAJL.H.DD..FFFK.MGG.K.M B99 M96 
2 2 0 ..IBB.CCIJL.HAAJL.H...DDFFFK.MGG.K.M D98 M96 
2 2 0 ..I.BBCCIJL.HAAJL.H.DD.MFFFK.MGG.K.. B99 M97 
2 2 0 ..I.BBCCIJL.HAAJLMH.DD.MFFFK..GG.K.. B99 M98 
3 3 0 ..IJBBCCIJL.HAA.LMH.DD.MFFFK..GG.K.. B99 J99 M98 
3 3 0 ..IJBBCCIJLMHAA.LMH.DD..FFFK..GG.K.. B99 J99 M99 
3 3 0 ..I.BBCCIJ.MHAAJLMH.DDL.FFFK..GG.K.. B99 L99 M99 
3 3 0 ..I.BBCCIJ.MHAAJ.MH.DDL.FFFKL.GG.K.. B99 L98 M99 
3 3 0 ..I.BBCCIJ.MHAAJ.MH.DD..FFFKL.GG.KL. B99 L97 M99 
3 3 0 ..I.BBCCIJLMHAAJLMHDD...FFFK..GG.K.. B99 D99 M99 
3 3 0 ..I.BBCCIJLMHAAJLMH..DD.FFFK..GG.K.. B99 D99 M99 
3 3 0 ..I.BBCCIJLMHAAJLMH...DDFFFK..GG.K.. B99 D98 M99 
3 3 0 ..I.BBCCIJLMHAAJLMH.DD..FFFK...GGK.. B99 G99 M99 
3 3 0 ..IBB.CCIJ.MHAAJLMH.DDL.FFFK...GGK.. G99 L99 M99 
3 3 0 ..IBB.CCIJ.MHAAJ.MH.DDL.FFFKL..GGK.. G99 L98 M99 
3 3 0 ..IBB.CCIJ.MHAAJ.MH.DD..FFFKL..GGKL. G99 L97 M99 
3 3 0 ..IBB.CCIJLMHAAJLMHDD...FFFK...GGK.. D99 G99 M99 
3 3 0 ..IBB.CCIJLMHAAJLMH..DD.FFFK...GGK.. D99 G99 M99 
3 3 0 ..IBB.CCIJLMHAAJLMH...DDFFFK...GGK.. D98 G99 M99 
3 3 0 ..I.BBCCIJL.HAAJLMH.DD.MFFFK...GGK.. B99 G99 M98 
3 3 0 ..IBB.CCIJ..HAAJLMH.DDLMFFFK...GGK.. G99 L99 M98 
3 3 0 ..IBB.CCIJ..HAAJ.MH.DDLMFFFKL..GGK.. G99 L98 M98 
3 3 0 ..IBB.CCIJ..HAAJ.MH.DD.MFFFKL..GGKL. G99 L97 M98 
3 3 0 ..IBB.CCIJL.HAAJLMHDD..MFFFK...GGK.. D99 G99 M98 
3 3 0 ..IBB.CCIJL.HAAJLMH..DDMFFFK...GGK.. D99 G99 M98 
3 3 0 ..I.BBCCIJL.HAAJL.H.DD.MFFFK.M.GGK.. B99 G99 M97 
3 3 0 ..IBB.CCIJ..HAAJL.H.DDLMFFFK.M.GGK.. G99 L99 M97 
3 3 0 ..IBB.CCIJ..HAAJ..H.DDLMFFFKLM.GGK.. G99 L98 M97 
3 3 0 ..IBB.CCIJ..HAAJ..H.DD.MFFFKLM.GGKL. G99 L97 M97 
3 3 0 ..IBB.CCIJL.HAAJL.HDD..MFFFK.M.GGK.. D99 G99 M97 
3 3 0 ..IBB.CCIJL.HAAJL.H..DDMFFFK.M.GGK.. D99 G99 M97 
3 3 0 ..I.BBCCIJL.HAAJL.H.DD..FFFK.M.GGK.M B99 G99 M96 
3 3 0 ..IBB.CCIJ..HAAJL.H.DDL.FFFK.M.GGK.M G99 L99 M96 
3 3 0 ..IBB.CCIJ..HAAJ..H.DDL.FFFKLM.GGK.M G99 L98 M96 
3 3 0 ..IBB.CCIJ..HAAJ..H.DD..FFFKLM.GGKLM G99 L97 M96 
3 3 0 ..IBB.CCIJL.HAAJL.HDD...FFFK.M.GGK.M D99 G99 M96 
3 3 0 ..IBB.CCIJL.HAAJL.H..DD.FFFK.M.GGK.M D99 G99 M96 
3 3 0 ..IBB.CCIJL.HAAJL.H...DDFFFK.M.GGK.M D98 G99 M96 
3 3 0 ..IBBMCCIJ.MHAAJL.HDD.L.FFFK...GGK.. D99 G99 L99 
3 3 0 ..IBBMCCIJ.MHAAJ..HDD.L.FFFKL..GGK.. D99 G99 L98 
3 3 0 ..IBBMCCIJ.MHAAJ..HDD...FFFKL..GGKL. D99 G99 L97 
3 3 0 ..IBBMCCIJ.MHAAJ..H..DD.FFFKL..GGKL. D99 G99 L97 
3 3 0 ..IBBMCCIJ.MHAAJ..H...DDFFFKL..GGKL. D98 G99 L97 
3 3 0 ..IBBMCCI.LMHAAJL.HDDJ..FFFK...GGK.. D99 G99 J99 
3 3 0 ..IBBMCCIJLMHAAJL.HDDK..FFFK...GG... D99 G99 K99 
3 3 0 ..IBBMCCI.LMHAAJL.H..JDDFFFK...GGK.. D98 G99 J99 
3 3 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK...GG... D98 G99 K99 
3 3 0 ..IBB.CCI.LMHAAJLMH..JDDFFFK..GG.K.. D98 J99 M99 
3 3 0 ..IBB.CCIJLMHAAJLMH..KDDFFFK..GG.... D98 K99 M99 
3 3 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK....GG.. D98 G98 K99 
3 3 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK.....GG. D98 G97 K99 
3 3 0 ..IBBMCCIJLMHAAJL.H..KDDFFFK......GG D98 G96 K99 
3 3 0 ..I.BBCCIJL.HAAJLMH..DDMFFFK..GG.K.. B99 D99 M98 
3 3 0 ..I.BBCCIJL.HAAJL.H..DDMFFFK.MGG.K.. B99 D99 M97 
3 3 0 ..I.BBCCIJL.HAAJL.H..DD.FFFK.MGG.K.M B99 D99 M96 
3 3 0 ..IBB.CCI.LMHAAJLMHDDJ..FFFK..GG.K.. D99 J99 M99 
3 3 0 ..IBB.CCIJ.MHAAJLMHDD.L.FFFK..GG.K.. D99 L99 M99 
